onset	duration	trial_type	slow
34.29199999999992	0.5640000000003056	first_stage	0
38.858000000000175	0.8919999999998254	second_stage	0
42.75199999999995	1.5	feedback	n/a
50.82000000000015	0.5219999999999345	first_stage	0
55.34400000000005	1.4409999999998035	second_stage	0
59.78600000000007	1.5	feedback	n/a
70.35600000000022	0.5499999999997272	first_stage	0
74.90900000000009	0.7860000000000582	second_stage	0
78.69700000000013	1.5	feedback	n/a
86.51499999999987	0.7250000000003638	first_stage	0
91.24299999999994	1.2719999999999343	second_stage	0
95.51600000000008	1.5	feedback	n/a
102.22000000000024	0.7229999999999563	first_stage	0
106.94500000000016	1.1469999999999343	second_stage	0
111.09299999999983	1.5	feedback	n/a
117.86099999999986	0.7820000000001528	first_stage	0
122.64499999999998	1.3110000000001492	second_stage	0
126.95600000000012	1.5	feedback	n/a
136.95100000000002	0.5900000000001455	first_stage	0
141.54300000000012	0.7899999999999636	second_stage	0
145.33399999999986	1.5	feedback	n/a
152.28499999999983	0.6710000000002765	first_stage	0
156.95800000000008	0.7869999999998072	second_stage	0
160.7460000000001	1.5	feedback	n/a
168.44700000000014	0.6079999999997199	first_stage	0
173.05700000000027	1.0209999999997308	second_stage	0
177.07900000000018	1.5	feedback	n/a
184.4479999999999	0.6750000000001819	first_stage	0
189.125	0.7100000000000364	second_stage	0
192.83600000000027	1.5	feedback	n/a
200.98100000000028	0.51299999999992	first_stage	0
205.49699999999984	0.9830000000001746	second_stage	0
209.48100000000028	1.5	feedback	n/a
216.34500000000023	0.5999999999999089	first_stage	0
220.9479999999999	1.2270000000003165	second_stage	0
225.176	1.5	feedback	n/a
233.915	0.5709999999999127	first_stage	0
238.48800000000023	0.6029999999996107	second_stage	0
242.09200000000007	1.5	feedback	n/a
250.558	0.6089999999999236	first_stage	0
255.1689999999999	0.5180000000000291	second_stage	0
258.6880000000001	1.5	feedback	n/a
266.35199999999986	0.6640000000002146	first_stage	0
271.0190000000003	0.5389999999997599	second_stage	0
274.55999999999995	1.5	feedback	n/a
282.819	0.6440000000002328	first_stage	0
287.4650000000001	0.5619999999998981	second_stage	0
291.0270000000001	1.5	feedback	n/a
299.1869999999999	0.5050000000001091	first_stage	0
303.694	0.9960000000000946	second_stage	0
307.69100000000026	1.5	feedback	n/a
318.4369999999999	0.6550000000002001	first_stage	0
323.09400000000005	0.8009999999999309	second_stage	0
326.8960000000002	1.5	feedback	n/a
334.93499999999995	0.6120000000000799	first_stage	0
339.5500000000002	0.5909999999998945	second_stage	0
343.1420000000003	1.5	feedback	n/a
350.3220000000002	0.5180000000000291	first_stage	0
354.84200000000016	0.9450000000001636	second_stage	0
358.788	1.5	feedback	n/a
367.904	0.7100000000000364	first_stage	0
372.616	1.026000000000295	second_stage	0
376.6440000000002	1.5	feedback	n/a
384.6379999999999	0.6690000000003238	first_stage	0
389.30900000000014	0.75	second_stage	0
393.06	1.5	feedback	n/a
401.2640000000002	0.6880000000001019	first_stage	0
405.9540000000002	1.0239999999998872	second_stage	0
409.9790000000002	1.5	feedback	n/a
416.866	0.8070000000002437	first_stage	0
421.6750000000001	0.7349999999996726	second_stage	0
425.41100000000006	1.5	feedback	n/a
432.4169999999999	0.6159999999999854	first_stage	0
437.0349999999999	0.6420000000002801	second_stage	0
440.6770000000001	1.5	feedback	n/a
448.31199999999984	0.6449999999999818	first_stage	0
452.95899999999983	1.1760000000003856	second_stage	0
457.136	1.5	feedback	n/a
464.41400000000016	0.6659999999997126	first_stage	0
469.0819999999998	1.3670000000001892	second_stage	0
473.45000000000033	1.5	feedback	n/a
480.90000000000015	0.73700000000008	first_stage	0
485.6390000000002	0.8519999999998618	second_stage	0
489.4920000000001	1.5	feedback	n/a
496.14899999999983	0.6310000000003129	first_stage	0
500.78200000000015	1.181999999999789	second_stage	0
504.96500000000015	1.5	feedback	n/a
513.692	0.7069999999998801	first_stage	0
518.4009999999998	1.2210000000000036	second_stage	0
522.623	1.5	feedback	n/a
531.5830000000002	0.612999999999829	first_stage	0
536.1979999999999	1.5850000000004911	second_stage	0
540.7849999999999	1.5	feedback	n/a
547.6970000000001	0.7169999999996435	first_stage	0
552.4160000000002	0.8170000000000073	second_stage	0
556.2340000000004	1.5	feedback	n/a
563.2929999999998	0.5270000000000437	first_stage	0
567.8209999999998	1.3559999999997672	second_stage	0
572.1779999999999	1.5	feedback	n/a
579.3040000000002	0.6989999999996144	first_stage	0
584.0050000000001	0.6539999999995416	second_stage	0
587.6599999999999	1.5	feedback	n/a
595.1999999999998	0.6069999999999709	first_stage	0
599.808	0.4849999999996726	second_stage	0
603.2939999999999	1.5	feedback	n/a
610.7520000000004	0.5729999999994106	first_stage	0
615.3270000000002	0.5149999999994179	second_stage	0
618.8419999999996	1.5	feedback	n/a
627.4250000000002	0.5990000000001601	first_stage	0
632.0259999999997	1.4450000000006185	second_stage	0
636.4719999999998	1.5	feedback	n/a
641.875	0.5990000000001601	first_stage	0
646.4750000000004	0.5869999999995343	second_stage	0
650.0630000000001	1.5	feedback	n/a
657.2529999999998	0.5750000000007276	first_stage	0
661.8299999999998	0.7449999999998909	second_stage	0
665.5749999999998	1.5	feedback	n/a
673.4139999999998	0.5820000000003347	first_stage	0
677.9980000000005	1.4939999999996871	second_stage	0
682.4930000000004	1.5	feedback	n/a
689.0470000000005	0.7669999999998254	first_stage	0
693.8159999999997	1.3479999999999563	second_stage	0
698.165	1.5	feedback	n/a
705.4890000000005	0.6599999999998545	first_stage	0
710.1499999999997	0.6140000000004875	second_stage	0
713.7650000000003	1.5	feedback	n/a
722.9980000000005	0.6499999999996362	first_stage	0
727.6499999999997	1.2780000000002474	second_stage	0
731.9290000000002	1.5	feedback	n/a
