onset	duration	trial_type	response_time	Offer	IsFairBlock
3.996400	3.522020	event_accept_outgroup	1.727290	10	1
3.996400	3.522020	event_outgroup	1.727290	10	1
3.996400	33.500000	block_outgroup_fair	n/a	n/a	n/a
8.276870	3.505200	event_accept_outgroup	1.383260	7	1
8.276870	3.505200	event_outgroup	1.383260	7	1
8.276870	0	event_RT	1.383260	7	1
12.541900	3.521890	event_accept_outgroup	1.021210	9	1
12.541900	3.521890	event_outgroup	1.021210	9	1
12.541900	0	event_RT	1.021210	9	1
16.820700	3.503010	event_accept_outgroup	1.263000	9	1
16.820700	3.503010	event_outgroup	1.263000	9	1
16.820700	0	event_RT	1.263000	9	1
21.083000	3.514640	event_reject_outgroup	1.238280	3	1
21.083000	3.514640	event_outgroup	1.238280	3	1
21.083000	0	event_RT	1.238280	3	1
25.355100	3.510900	event_reject_outgroup	1.019030	8	1
25.355100	3.510900	event_outgroup	1.019030	8	1
25.355100	0	event_RT	1.019030	8	1
29.633500	3.513400	event_reject_outgroup	1.361700	5	1
29.633500	3.513400	event_outgroup	1.361700	5	1
29.633500	0	event_RT	1.361700	5	1
33.902900	3.509830	event_accept_outgroup	1.094820	7	1
33.902900	3.509830	event_outgroup	1.094820	7	1
33.902900	0	event_RT	1.094820	7	1
47.428000	3.519350	event_accept_computer	1.297610	10	1
47.428000	3.519350	event_computer	1.297610	10	1
47.428000	33.500000	block_computer_fair	n/a	n/a	n/a
51.714900	3.512380	event_reject_computer	1.230620	5	1
51.714900	3.512380	event_computer	1.230620	5	1
51.714900	0	event_RT	1.230620	5	1
55.983900	3.506930	event_accept_computer	1.465500	8	1
55.983900	3.506930	event_computer	1.465500	8	1
55.983900	0	event_RT	1.465500	8	1
60.254400	3.530620	event_reject_computer	1.031280	3	1
60.254400	3.530620	event_computer	1.031280	3	1
60.254400	0	event_RT	1.031280	3	1
64.536100	3.514960	event_accept_computer	1.120600	8	1
64.536100	3.514960	event_computer	1.120600	8	1
64.536100	0	event_RT	1.120600	8	1
68.818800	3.517000	event_accept_computer	1.491270	7	1
68.818800	3.517000	event_computer	1.491270	7	1
68.818800	0	event_RT	1.491270	7	1
73.101000	3.515830	event_accept_computer	1.496250	10	1
73.101000	3.515830	event_computer	1.496250	10	1
73.101000	0	event_RT	1.496250	10	1
77.375000	3.520620	event_accept_computer	1.308730	9	1
77.375000	3.520620	event_computer	1.308730	9	1
77.375000	0	event_RT	1.308730	9	1
88.902900	3.513660	event_reject_outgroup	1.373650	4	0
88.902900	3.513660	event_outgroup	1.373650	4	0
88.902900	33.500000	block_outgroup_unfair	n/a	n/a	n/a
93.181200	3.520540	event_reject_outgroup	1.315890	1	0
93.181200	3.520540	event_outgroup	1.315890	1	0
93.181200	0	event_RT	1.315890	1	0
97.460100	3.514380	event_accept_outgroup	1.306550	9	0
97.460100	3.514380	event_outgroup	1.306550	9	0
97.460100	0	event_RT	1.306550	9	0
101.733000	3.522760	event_reject_outgroup	1.387570	2	0
101.733000	3.522760	event_outgroup	1.387570	2	0
101.733000	0	event_RT	1.387570	2	0
106.024000	3.526390	event_reject_outgroup	1.049980	1	0
106.024000	3.526390	event_outgroup	1.049980	1	0
106.024000	0	event_RT	1.049980	1	0
110.308000	3.524860	event_reject_outgroup	1.752990	5	0
110.308000	3.524860	event_outgroup	1.752990	5	0
110.308000	0	event_RT	1.752990	5	0
114.597000	3.519490	event_reject_outgroup	1.400820	4	0
114.597000	3.519490	event_outgroup	1.400820	4	0
114.597000	0	event_RT	1.400820	4	0
118.884000	3.511430	event_reject_outgroup	1.032330	3	0
118.884000	3.511430	event_outgroup	1.032330	3	0
118.884000	0	event_RT	1.032330	3	0
134.417000	3.525640	event_accept_computer	2.014120	7	1
134.417000	3.525640	event_computer	2.014120	7	1
134.417000	33.500000	block_computer_fair	n/a	n/a	n/a
138.710000	3.511920	event_accept_computer	1.290430	9	1
138.710000	3.511920	event_computer	1.290430	9	1
138.710000	0	event_RT	1.290430	9	1
142.990000	3.517200	event_reject_computer	1.331130	5	1
142.990000	3.517200	event_computer	1.331130	5	1
142.990000	0	event_RT	1.331130	5	1
147.265000	3.509490	event_accept_computer	1.209910	7	1
147.265000	3.509490	event_computer	1.209910	7	1
147.265000	0	event_RT	1.209910	7	1
151.532000	3.514970	event_accept_computer	1.729920	9	1
151.532000	3.514970	event_computer	1.729920	9	1
151.532000	0	event_RT	1.729920	9	1
155.814000	3.503410	event_accept_computer	1.033420	10	1
155.814000	3.503410	event_computer	1.033420	10	1
155.814000	0	event_RT	1.033420	10	1
160.086000	3.504840	event_reject_computer	1.315890	1	1
160.086000	3.504840	event_computer	1.315890	1	1
160.086000	0	event_RT	1.315890	1	1
164.350000	3.530320	event_accept_computer	1.356280	8	1
164.350000	3.530320	event_computer	1.356280	8	1
164.350000	0	event_RT	1.356280	8	1
175.882000	3.513290	event_accept_ingroup	1.483130	7	1
175.882000	3.513290	event_ingroup	1.483130	7	1
175.882000	33.500000	block_ingroup_fair	n/a	n/a	n/a
180.162000	3.517770	event_accept_ingroup	1.022640	7	1
180.162000	3.517770	event_ingroup	1.022640	7	1
180.162000	0	event_RT	1.022640	7	1
184.448000	3.519240	event_accept_ingroup	2.175700	9	1
184.448000	3.519240	event_ingroup	2.175700	9	1
184.448000	0	event_RT	2.175700	9	1
188.736000	3.514640	event_accept_ingroup	1.072450	7	1
188.736000	3.514640	event_ingroup	1.072450	7	1
188.736000	0	event_RT	1.072450	7	1
193.011000	3.520080	event_accept_ingroup	1.568450	9	1
193.011000	3.520080	event_ingroup	1.568450	9	1
193.011000	0	event_RT	1.568450	9	1
197.298000	3.519820	event_reject_ingroup	1.551380	2	1
197.298000	3.519820	event_ingroup	1.551380	2	1
197.298000	0	event_RT	1.551380	2	1
201.586000	3.520920	event_accept_ingroup	1.449930	8	1
201.586000	3.520920	event_ingroup	1.449930	8	1
201.586000	0	event_RT	1.449930	8	1
205.875000	3.518540	event_reject_ingroup	1.381920	6	1
205.875000	3.518540	event_ingroup	1.381920	6	1
205.875000	0	event_RT	1.381920	6	1
221.411000	3.506240	event_reject_computer	1.541300	4	0
221.411000	3.506240	event_computer	1.541300	4	0
221.411000	33.500000	block_computer_unfair	n/a	n/a	n/a
225.682000	3.527730	event_reject_computer	1.023010	2	0
225.682000	3.527730	event_computer	1.023010	2	0
225.682000	0	event_RT	1.023010	2	0
229.974000	3.522820	event_reject_computer	2.302300	7	0
229.974000	3.522820	event_computer	2.302300	7	0
229.974000	0	event_RT	2.302300	7	0
234.265000	3.507790	event_reject_computer	1.265520	2	0
234.265000	3.507790	event_computer	1.265520	2	0
234.265000	0	event_RT	1.265520	2	0
238.540000	3.513190	event_reject_computer	1.026180	3	0
238.540000	3.513190	event_computer	1.026180	3	0
238.540000	0	event_RT	1.026180	3	0
242.820000	3.511390	event_reject_computer	1.099340	2	0
242.820000	3.511390	event_computer	1.099340	2	0
242.820000	0	event_RT	1.099340	2	0
247.091000	3.525570	event_reject_computer	1.281590	6	0
247.091000	3.525570	event_computer	1.281590	6	0
247.091000	0	event_RT	1.281590	6	0
251.381000	3.515440	event_reject_computer	1.028930	2	0
251.381000	3.515440	event_computer	1.028930	2	0
251.381000	0	event_RT	1.028930	2	0
262.914000	3.513150	event_reject_ingroup	1.289200	4	0
262.914000	3.513150	event_ingroup	1.289200	4	0
262.914000	33.500000	block_ingroup_unfair	n/a	n/a	n/a
267.196000	3.520580	event_reject_ingroup	1.026800	3	0
267.196000	3.520580	event_ingroup	1.026800	3	0
267.196000	0	event_RT	1.026800	3	0
271.484000	3.508960	event_accept_ingroup	1.159100	8	0
271.484000	3.508960	event_ingroup	1.159100	8	0
271.484000	0	event_RT	1.159100	8	0
275.761000	3.506690	event_reject_ingroup	1.018410	2	0
275.761000	3.506690	event_ingroup	1.018410	2	0
275.761000	0	event_RT	1.018410	2	0
280.028000	3.508550	event_reject_ingroup	1.021520	3	0
280.028000	3.508550	event_ingroup	1.021520	3	0
280.028000	0	event_RT	1.021520	3	0
284.305000	3.509520	event_reject_ingroup	1.333340	1	0
284.305000	3.509520	event_ingroup	1.333340	1	0
284.305000	0	event_RT	1.333340	1	0
288.580000	3.506860	event_reject_ingroup	1.110100	5	0
288.580000	3.506860	event_ingroup	1.110100	5	0
288.580000	0	event_RT	1.110100	5	0
292.855000	3.509150	event_reject_ingroup	1.272220	4	0
292.855000	3.509150	event_ingroup	1.272220	4	0
292.855000	0	event_RT	1.272220	4	0
306.374000	3.510600	event_reject_computer	1.165230	2	0
306.374000	3.510600	event_computer	1.165230	2	0
306.374000	33.500000	block_computer_unfair	n/a	n/a	n/a
310.648000	3.513310	event_accept_computer	1.694450	10	0
310.648000	3.513310	event_computer	1.694450	10	0
310.648000	0	event_RT	1.694450	10	0
314.924000	3.503370	event_reject_computer	1.454780	1	0
314.924000	3.503370	event_computer	1.454780	1	0
314.924000	0	event_RT	1.454780	1	0
319.190000	3.519360	event_reject_computer	1.325310	1	0
319.190000	3.519360	event_computer	1.325310	1	0
319.190000	0	event_RT	1.325310	1	0
323.469000	3.506970	event_reject_computer	1.617590	1	0
323.469000	3.506970	event_computer	1.617590	1	0
323.469000	0	event_RT	1.617590	1	0
327.732000	3.525690	event_reject_computer	1.023620	1	0
327.732000	3.525690	event_computer	1.023620	1	0
327.732000	0	event_RT	1.023620	1	0
332.007000	3.510490	event_reject_computer	1.752570	6	0
332.007000	3.510490	event_computer	1.752570	6	0
332.007000	0	event_RT	1.752570	6	0
336.279000	3.517710	event_reject_computer	1.017310	4	0
336.279000	3.517710	event_computer	1.017310	4	0
336.279000	0	event_RT	1.017310	4	0
351.806000	3.525630	event_reject_ingroup	1.236880	4	0
351.806000	3.525630	event_ingroup	1.236880	4	0
351.806000	33.500000	block_ingroup_unfair	n/a	n/a	n/a
356.097000	3.526060	event_reject_ingroup	1.031620	4	0
356.097000	3.526060	event_ingroup	1.031620	4	0
356.097000	0	event_RT	1.031620	4	0
360.381000	3.518410	event_reject_ingroup	1.018480	4	0
360.381000	3.518410	event_ingroup	1.018480	4	0
360.381000	0	event_RT	1.018480	4	0
364.667000	3.518110	event_reject_ingroup	1.018780	1	0
364.667000	3.518110	event_ingroup	1.018780	1	0
364.667000	0	event_RT	1.018780	1	0
368.953000	3.515240	event_reject_ingroup	1.686900	4	0
368.953000	3.515240	event_ingroup	1.686900	4	0
368.953000	0	event_RT	1.686900	4	0
373.237000	3.519630	event_reject_ingroup	1.156630	6	0
373.237000	3.519630	event_ingroup	1.156630	6	0
373.237000	0	event_RT	1.156630	6	0
377.519000	3.520710	event_accept_ingroup	1.928430	8	0
377.519000	3.520710	event_ingroup	1.928430	8	0
