participant_id	animal_ID	species	strainRRID	strain	cage	cohort	sex	fur.colour	genotype	dad_ID_cage	litter_size	DOB	injection_date	injection	PFF.batch
sub-MCHxSYNx1	001_001	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_1	1	F	agouti	WT	ST_2B	15	2019-09-26	2019-12-16	PBS	n/a
sub-MCHxSYNx2	001_002	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_1	1	F	agouti	hemi	ST_2B	15	2019-09-26	2019-12-16	PBS	n/a
sub-MCHxSYNx3	001_003	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_2	1	F	agouti	hemi	ST_2B	15	2019-09-26	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx4	001_004	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_2	1	F	agouti	WT	ST_2B	15	2019-09-26	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx5	001_006	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_3	1	M	agouti	hemi	ST_2B	15	2019-09-26	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx6	001_007	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_3	1	M	agouti	hemi	ST_2B	15	2019-09-26	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx7	001_008	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_3	1	M	agouti	hemi	ST_2B	15	2019-09-26	2019-12-18	Ms-PFF	m19L03s
sub-MCHxSYNx8	001_009	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_3	1	M	agouti	WT	ST_2B	15	2019-09-26	2019-12-16	Ms-PFF	m19L03s
sub-MCHxSYNx9	001_010	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_4	1	M	agouti	hemi	ST_2B	15	2019-09-26	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx10	001_013	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_4	1	M	agouti	hemi	ST_2B	15	2019-09-26	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx11	001_014	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_5	1	M	agouti	WT	ST_1B	21	2019-09-25	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx12	001_015	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_5	1	M	agouti	hemi	ST_1B	21	2019-09-25	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx13	001_016	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_5	1	M	agouti	hemi	ST_1B	21	2019-09-25	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx14	001_017	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_5	1	M	agouti	WT	ST_1B	21	2019-09-25	2019-12-17	Hu-PFF	19L03s
sub-MCHxSYNx15	001_018	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_6	1	M	agouti	WT	ST_1B	21	2019-09-25	2019-12-16	PBS	n/a
sub-MCHxSYNx16	001_019	mus musculus	RRID:IMSR_JAX:004479	C57BL/6xC3H	ST_6	1	M	agouti	hemi	ST_1B	21	2019-09-25	2019-12-16	PBS	n/a
