onset	duration	imageid
8	4	500583
12	4	34950
16	4	218874
20	4	465530
24	4	172187
28	4	292087
32	4	252492
36	4	560158
40	4	512948
48	4	293955
52	4	405348
56	4	241522
60	4	324049
64	4	354277
68	4	206369
72	4	436023
80	4	417602
84	4	161609
88	4	477700
92	4	384021
96	4	259676
100	4	306439
104	4	325132
108	4	294811
112	4	313340
116	4	317431
120	4	519703
124	4	340697
128	4	785
132	4	340174
136	4	380729
140	4	489453
148	4	396858
152	4	569251
156	4	312907
160	4	573125
164	4	410436
168	4	110111
172	4	457146
180	4	341628
184	4	537692
188	4	341013
192	4	312890
196	4	423855
200	4	376941
204	4	415222
208	4	409706
212	4	487796
216	4	125129
220	4	340108
224	4	460370
228	4	456146
232	4	490222
236	4	479550
240	4	451397
248	4	363191
252	4	337844
260	4	158254
264	4	360504
268	4	298318
272	4	258509
276	4	494283
280	4	486543
284	4	160811
288	4	379317
292	4	197859
296	4	541856
300	4	314439
304	4	485958
308	4	287418
312	4	307721
316	4	266627
320	4	242973
324	4	518834
328	4	42
332	4	374371
336	4	253415
340	4	486581
344	4	507550
348	4	465080
352	4	281177
356	4	278923
360	4	14439
364	4	329188
368	4	567657
