onset	duration	cueid	targetid
8	4	32	7685
16	4	26	14592
28	4	37	8920
40	4	25	14036
52	4	39	9846
64	4	27	15546
72	4	24	13420
80	4	21	2315
88	4	31	6871
96	4	29	32675
104	4	34	8228
112	4	36	8385
124	4	30	5469
132	4	40	10870
140	4	22	9929
148	4	28	26362
156	4	23	11336
164	4	33	7988
172	4	35	8351
180	4	38	9016
188	4	34	8228
200	4	35	8351
208	4	32	7685
216	4	22	9929
228	4	38	9016
236	4	23	11336
244	4	26	14592
252	4	29	32675
260	4	37	8920
268	4	28	26362
280	4	33	7988
292	4	39	9846
300	4	36	8385
308	4	30	5469
316	4	40	10870
324	4	21	2315
332	4	24	13420
340	4	27	15546
352	4	31	6871
360	4	25	14036
