onset	duration	imageid
8	4	311616
12	4	391419
16	4	312937
20	4	73823
24	4	74217
28	4	370157
32	4	379842
36	4	365645
40	4	243251
44	4	467564
48	4	357696
52	4	169766
56	4	388031
60	4	315092
64	4	252212
68	4	351734
76	4	1000
80	4	579224
84	4	7281
88	4	490529
92	4	320390
96	4	142324
100	4	184201
104	4	180123
108	4	529020
112	4	150838
120	4	329535
124	4	503202
128	4	540097
132	4	243283
136	4	140831
140	4	195510
144	4	264769
148	4	378873
152	4	206112
156	4	240813
160	4	253489
164	4	166482
168	4	482084
172	4	240227
176	4	18918
180	4	486606
184	4	240323
188	4	174103
192	4	534686
196	4	384661
200	4	511752
204	4	198195
208	4	353783
212	4	253742
216	4	185614
220	4	78836
224	4	280094
228	4	271183
232	4	496954
236	4	307603
240	4	39656
244	4	9381
248	4	380097
252	4	509824
256	4	193340
260	4	31250
264	4	237271
268	4	268717
272	4	323646
276	4	42628
284	4	543732
288	4	167235
292	4	179479
296	4	304385
304	4	308430
308	4	441883
312	4	1840
320	4	360951
324	4	200155
328	4	263727
332	4	538912
336	4	511111
340	4	178748
344	4	263995
348	4	441507
352	4	368066
356	4	452852
360	4	174712
364	4	294669
