onset	duration	imageid
8	4	296322
12	4	340923
16	4	523524
20	4	91463
24	4	210015
28	4	18737
32	4	344724
36	4	571661
40	4	506004
44	4	207330
52	4	153604
56	4	426300
60	4	570608
64	4	139658
68	4	426175
72	4	108327
76	4	134829
84	4	512147
88	4	490579
92	4	181992
96	4	310890
100	4	369734
104	4	180002
108	4	9372
112	4	254703
116	4	486921
120	4	17629
124	4	175477
128	4	14432
132	4	551334
136	4	130613
140	4	148422
144	4	371029
148	4	272785
156	4	5180
160	4	551464
164	4	511734
168	4	146602
172	4	577850
176	4	340964
180	4	504608
184	4	312785
188	4	287639
192	4	438448
196	4	239736
200	4	309424
204	4	255248
208	4	185634
212	4	520197
216	4	330554
220	4	274091
228	4	256576
232	4	33940
236	4	138730
240	4	534189
244	4	286149
248	4	322395
252	4	311667
256	4	286888
260	4	387105
264	4	456003
268	4	524110
272	4	343520
276	4	559877
280	4	393125
284	4	335834
292	4	410487
296	4	191054
300	4	276064
304	4	209062
308	4	7307
312	4	304447
316	4	303069
320	4	254568
324	4	550722
328	4	500877
332	4	247037
336	4	140817
344	4	324500
348	4	367428
352	4	292088
356	4	193469
360	4	297669
364	4	254609
368	4	207475
