onset	duration	imageid
8	4	135338
16	4	311394
20	4	99010
24	4	220353
28	4	433915
32	4	310981
36	4	276719
40	4	173284
44	4	559935
48	4	307781
52	4	401088
56	4	424800
60	4	219294
64	4	184611
72	4	254645
76	4	328315
80	4	463284
88	4	502183
92	4	480153
96	4	196311
100	4	336958
104	4	528940
108	4	531395
112	4	313928
116	4	280926
120	4	398438
124	4	169517
128	4	230450
132	4	551459
136	4	198382
144	4	121673
148	4	95202
152	4	175015
156	4	424304
160	4	255971
168	4	308476
172	4	391480
176	4	368595
180	4	234745
184	4	168618
188	4	203006
192	4	4134
200	4	567421
204	4	243268
208	4	566261
212	4	384302
216	4	561270
220	4	4444
224	4	462123
228	4	246843
232	4	495519
236	4	369367
240	4	312199
244	4	335981
248	4	501006
252	4	71631
256	4	280018
260	4	564681
264	4	160772
268	4	215170
272	4	437525
276	4	219606
280	4	231109
284	4	193867
288	4	445327
292	4	489942
296	4	479711
300	4	581223
304	4	526168
308	4	183231
312	4	207844
316	4	503097
320	4	367188
324	4	466259
328	4	404823
332	4	364521
336	4	197437
340	4	519883
344	4	392381
348	4	283678
352	4	246125
356	4	295370
360	4	313256
364	4	495419
368	4	541596
