onset	duration	imageid
8	4	579902
12	4	404759
16	4	443545
20	4	371051
24	4	552066
28	4	122927
32	4	308310
36	4	12428
40	4	510976
44	4	435076
52	4	580951
56	4	475485
60	4	341676
64	4	478148
68	4	165387
72	4	142249
76	4	320770
80	4	453472
84	4	466949
88	4	337525
92	4	498354
96	4	16502
100	4	472841
104	4	4739
108	4	291784
112	4	419232
116	4	409558
120	4	539397
124	4	259513
128	4	155145
132	4	480780
136	4	257204
140	4	408057
144	4	479815
148	4	39000
152	4	149791
156	4	556683
160	4	448547
164	4	243745
168	4	300343
176	4	286284
180	4	484721
184	4	326399
188	4	451131
192	4	322429
196	4	512974
200	4	212559
204	4	209513
212	4	169682
216	4	290410
220	4	541496
224	4	254824
228	4	232551
232	4	517005
236	4	203108
240	4	263328
244	4	313047
252	4	555724
256	4	573943
260	4	368875
264	4	278899
268	4	373140
272	4	245160
276	4	293820
280	4	181666
288	4	459566
292	4	16072
296	4	529887
300	4	178634
304	4	393760
308	4	174934
312	4	181217
316	4	548921
320	4	94185
324	4	570543
332	4	500135
336	4	280429
340	4	340941
344	4	309087
348	4	260347
352	4	459465
356	4	340145
360	4	375580
364	4	552235
368	4	260765
