onset	duration	imageid
8	4	511363
12	4	551596
16	4	263362
20	4	430850
24	4	381957
28	4	412362
32	4	281835
36	4	348197
40	4	373219
44	4	338012
48	4	144695
52	4	340406
56	4	221542
64	4	277659
68	4	533603
72	4	561009
76	4	179186
80	4	521256
84	4	419558
88	4	11723
92	4	274792
96	4	489721
100	4	574940
104	4	192931
108	4	31273
112	4	243970
116	4	310685
124	4	315128
132	4	46813
136	4	568623
140	4	417410
144	4	454832
148	4	558542
152	4	291298
156	4	284582
160	4	343561
164	4	7726
168	4	330660
172	4	550797
176	4	176060
180	4	270906
184	4	464689
188	4	484636
192	4	208327
196	4	293215
200	4	275723
204	4	274599
212	4	196663
216	4	142239
220	4	291004
224	4	72091
228	4	393534
232	4	532912
236	4	201342
240	4	141920
244	4	490294
248	4	278988
252	4	148999
256	4	515660
264	4	526781
268	4	308328
272	4	546499
276	4	203551
280	4	511358
284	4	212800
288	4	337505
292	4	202279
296	4	14226
300	4	279522
304	4	204216
308	4	562227
312	4	261316
316	4	577182
320	4	337011
324	4	22014
328	4	453452
332	4	206363
336	4	474637
340	4	115740
344	4	449958
352	4	513580
356	4	255930
360	4	424760
364	4	383580
368	4	192532
