onset	duration	cueid	targetid
12	4	37	8920
20	4	36	8385
32	4	26	14592
40	4	21	2315
48	4	40	10870
56	4	39	9846
64	4	38	9016
76	4	22	9929
84	4	28	26362
92	4	24	13420
104	4	30	5469
112	4	25	14036
120	4	31	6871
128	4	33	7988
136	4	35	8351
144	4	34	8228
152	4	23	11336
160	4	32	7685
172	4	27	15546
180	4	29	32675
188	4	21	2315
196	4	36	8385
208	4	38	9016
220	4	37	8920
228	4	39	9846
236	4	24	13420
244	4	26	14592
252	4	31	6871
260	4	25	14036
272	4	40	10870
284	4	30	5469
292	4	29	32675
300	4	22	9929
308	4	28	26362
316	4	23	11336
324	4	33	7988
332	4	34	8228
344	4	32	7685
352	4	35	8351
360	4	27	15546
