onset	duration	trial_type	expression	face_id	face_age	face_sex	face_eth	average_attractiveness	catch	rating_score	response_hand	subject_attractiveness	subject_dominance	subject_trustworthiness
6.022492877024888	1.2333051905725372	00STIM099smiling	smiling	99.0	24.0	female	black	-0.15707700437470887	0.0	n/a	n/a	0.14249999999999985	-1.5625	1.33
11.014031636003892	1.241643577429386	01STIM042smiling	smiling	42.0	27.0	male	black	0.3094199585593654	0.0	n/a	n/a	2.4825	-0.7925000000000001	1.3449999999999998
16.013892481778385	1.2416275792202214	02STIM102neutral	neutral	102.0	31.0	female	white	-1.0896645740033664	0.0	n/a	n/a	-2.83	0.9999999999999998	0.81
21.01375212014045	1.2416396533399163	03STIM062smiling	smiling	62.0	30.0	female	black	-0.5256421135917863	0.0	n/a	n/a	0.0874999999999998	-0.4800000000000002	0.1200000000000001
26.013603910324488	1.2416520293127178	04STIM121neutral	neutral	121.0	34.0	male	white	-0.6109769238846047	1.0	n/a	n/a	1.44	0.6775	1.94
29.26357168751838	1.9915897721339209	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
29.91683437115444	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3.0	left	n/a	n/a	n/a
35.02170594629297	1.233305794278749	05STIM027smiling	smiling	27.0	26.0	female	white	1.6394239304088636	0.0	n/a	n/a	0.13249999999999987	0.6524999999999999	1.1575
40.02155834018322	1.2333181702515503	06STIM101neutral	neutral	101.0	37.0	male	white	0.6633562431548157	0.0	n/a	n/a	1.1725	0.9775000000000003	0.72
45.021425223017104	1.2333145480160963	07STIM172neutral	neutral	172.0	40.0	male	white	-1.4098732907211802	0.0	n/a	n/a	-1.4100000000000001	0.4075000000000001	-0.44000000000000006
50.02128878546773	1.2333314517827605	08STIM136neutral	neutral	136.0	54.0	female	white	-0.9827928830175988	0.0	n/a	n/a	0.36750000000000005	0.6125	0.5425
55.01281788515189	1.2416508219002935	09STIM124neutral	neutral	124.0	28.0	female	white	2.4789559211944	0.0	n/a	n/a	1.7275000000000003	1.7074999999999998	0.9674999999999998
60.02103130487194	1.2333018701901892	10STIM144neutral	neutral	144.0	27.0	female	white	0.260657209820611	0.0	n/a	n/a	0.6550000000000002	-0.9625	1.8200000000000003
65.02090271549969	1.2333006627786745	11STIM172smiling	smiling	172.0	40.0	male	white	-1.4098732907211802	0.0	n/a	n/a	-1.4100000000000001	0.4075000000000001	-0.44000000000000006
70.02075752421389	1.2333163591338234	12STIM064smiling	smiling	64.0	25.0	female	west_asian	-0.5857828370362487	0.0	n/a	n/a	1.3	-1.3175	2.1450000000000005
75.02060901254572	1.2333344703129114	13STIM009neutral	neutral	9.0	22.0	female	white	1.393578405517648	0.0	n/a	n/a	0.7375	-1.7225000000000001	2.5075000000000003
80.02047227314324	1.2333317536358663	14STIM061smiling	smiling	61.0	40.0	male	black	-0.8584478737337777	0.0	n/a	n/a	-1.1075	1.635	1.065
85.0203376467125	1.233317264692232	15STIM011smiling	smiling	11.0	36.0	female	white	-0.5049179453778165	0.0	n/a	n/a	-1.1324999999999998	1.7575000000000003	-0.4950000000000001
90.02020120916313	1.2333163591338234	16STIM039neutral	neutral	39.0	27.0	female	white	0.95146281695295	0.0	n/a	n/a	-2.2675	1.3649999999999998	-0.9924999999999998
95.02008348649906	1.23331273689746	17STIM009smiling	smiling	9.0	22.0	female	white	1.393578405517648	0.0	n/a	n/a	0.7375	-1.7225000000000001	2.5075000000000003
100.01995278415598	1.2333109257806427	18STIM082smiling	smiling	82.0	20.0	male	black	-0.14529267342950994	0.0	n/a	n/a	1.0475	-0.46499999999999997	0.6725
105.01980638545864	1.2333057942796586	19STIM012smiling	smiling	12.0	24.0	male	white	-0.13675919240022824	0.0	n/a	n/a	0.27000000000000013	0.5025	0.6800000000000002
110.01967658867487	1.2333157554285208	20STIM036smiling	smiling	36.0	21.0	male	east_asian/white	0.2578127161441838	0.0	n/a	n/a	0.5450000000000002	-2.1125	1.0075
115.01954075483171	1.2332991535140536	21STIM011neutral	neutral	11.0	36.0	female	white	-0.5049179453778165	0.0	n/a	n/a	-1.1324999999999998	1.7575000000000003	-0.4950000000000001
120.01938801722191	1.233317264692232	22STIM039smiling	smiling	39.0	27.0	female	white	0.95146281695295	0.0	n/a	n/a	-2.2675	1.3649999999999998	-0.9924999999999998
125.01926938899851	1.2333169628400356	23STIM137smiling	smiling	137.0	21.0	male	black	-0.2854855760534262	0.0	n/a	n/a	1.21	-0.08250000000000002	0.7825000000000001
136.26895100956244	1.2333127368983696	24STIM061neutral	neutral	61.0	40.0	male	black	-0.8584478737337777	1.0	n/a	n/a	-1.1075	1.635	1.065
139.5022121296006	1.999943553491903	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
141.22727779017075	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	left	n/a	n/a	n/a
145.26870409382082	1.2333160572807174	25STIM117neutral	neutral	117.0	26.0	male	white	-0.46225054023140616	1.0	n/a	n/a	0.99	1.1849999999999998	1.3625
148.50199026765674	1.999935403460768	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
149.4937258347827	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.0	right	n/a	n/a	n/a
154.26847498740514	1.2333169628400356	26STIM092smiling	smiling	92.0	32.0	male	white	-0.8783593294687688	0.0	n/a	n/a	1.2825	-0.9725	-0.30999999999999994
