onset	duration	trial_type	expression	face_id	face_age	face_sex	face_eth	average_attractiveness	catch	rating_score	response_hand	subject_attractiveness	subject_dominance	subject_trustworthiness
6.021441221225358	1.2332879849527671	00STIM044neutral	neutral	44.0	22.0	male	black	-0.24408880070334943	0.0	n/a	n/a	3.465	-1.145	-1.29
11.012957944936717	1.2416375403690836	01STIM064neutral	neutral	64.0	25.0	female	west_asian	-0.35206373935228424	0.0	n/a	n/a	1.3	-1.3175	2.1450000000000005
16.01282241294666	1.2416360311044627	02STIM033smiling	smiling	33.0	28.0	male	white	1.0950808929295444	1.0	n/a	n/a	0.6775	0.905	-1.5125000000000002
19.262762419665705	1.99159218695786	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
19.92949831128408	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.0	right	n/a	n/a	n/a
25.012576704616553	1.2416496144887788	03STIM117smiling	smiling	117.0	26.0	male	white	-0.20996685039437785	0.0	n/a	n/a	0.99	1.1849999999999998	1.3625
30.012442380038923	1.2416375403690836	04STIM101smiling	smiling	101.0	37.0	male	white	1.0847975654391693	0.0	n/a	n/a	1.1725	0.9775000000000003	0.72
35.01230020728235	1.2416411626054469	05STIM043smiling	smiling	43.0	20.0	male	black	-0.4296561195069301	0.0	n/a	n/a	0.5775000000000001	-1.1400000000000001	0.5625
40.012268512718954	1.24153943814963	06STIM124smiling	smiling	124.0	28.0	female	white	3.173247893938916	0.0	n/a	n/a	1.7275000000000003	1.7074999999999998	0.9674999999999998
45.012067780484365	1.2416145995421175	07STIM091neutral	neutral	91.0	20.0	female	white	1.1450952584509126	0.0	n/a	n/a	2.1350000000000002	-1.4899999999999998	2.21
50.020231394461014	1.2333136424576878	08STIM130smiling	smiling	130.0	19.0	male	white	-0.8592187542184938	0.0	n/a	n/a	-3.245	-0.75	-1.47
55.011741477407675	1.2416583682252167	09STIM034smiling	smiling	34.0	24.0	female	east_asian	-0.07955556085735344	0.0	n/a	n/a	-0.7174999999999999	0.9900000000000001	-0.18999999999999997
60.019960028627786	1.2333169628400356	10STIM033neutral	neutral	33.0	28.0	male	white	1.0950808929295444	0.0	n/a	n/a	0.6775	0.905	-1.5125000000000002
65.0116177176842	1.24150200837812	11STIM141smiling	smiling	141.0	23.0	male	white	-0.4086220405493454	0.0	n/a	n/a	-2.9225000000000003	-0.5475	-0.7125000000000001
70.01967055161549	1.2333202832223833	12STIM121smiling	smiling	121.0	34.0	male	white	-0.3810440259160678	0.0	n/a	n/a	1.44	0.6775	1.94
75.01955343265762	1.2333130387505662	13STIM126smiling	smiling	126.0	25.0	female	black	1.0371203198019772	1.0	n/a	n/a	0.13750000000000007	1.4100000000000001	1.5274999999999999
78.25280187486987	1.999944459050312	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
79.84451824414555	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	1.0	left	n/a	n/a	n/a
84.01930380023896	1.2333051905734465	14STIM062neutral	neutral	62.0	30.0	female	black	-0.28288499078067236	0.0	n/a	n/a	0.0874999999999998	-0.4800000000000002	0.1200000000000001
89.0191743053083	1.2333027757495074	15STIM038neutral	neutral	38.0	40.0	female	west_asian	-1.6416864914406455	0.0	n/a	n/a	-0.9400000000000001	0.29249999999999987	-0.265
94.0190369622005	1.233300662777765	16STIM099neutral	neutral	99.0	24.0	female	black	0.1410685562088686	0.0	n/a	n/a	0.14249999999999985	-1.5625	1.33
99.01890143020957	1.2333039831619317	17STIM144smiling	smiling	144.0	27.0	female	white	0.6215804043954702	0.0	n/a	n/a	0.6550000000000002	-0.9625	1.8200000000000003
104.01876770933724	1.2333012664848866	18STIM018neutral	neutral	18.0	19.0	male	white	0.3252336030819434	0.0	n/a	n/a	-2.3825	-3.4375	1.7249999999999999
109.01863006437634	1.2333154535754147	19STIM070smiling	smiling	70.0	31.0	male	west_asian	-1.1999708333313661	0.0	n/a	n/a	-0.18000000000000005	0.4325000000000001	-0.11499999999999999
114.01849423053318	1.2333054924265523	20STIM136smiling	smiling	136.0	54.0	female	white	-0.8087369647202903	0.0	n/a	n/a	0.36750000000000005	0.6125	0.5425
119.01835568001295	1.2333208869285954	21STIM024neutral	neutral	24.0	47.0	male	east_asian	-0.9447573419793385	0.0	n/a	n/a	-1.3075	-2.9625000000000004	2.4699999999999998
124.018212601698	1.2333115294859454	22STIM130neutral	neutral	130.0	19.0	male	white	-0.8592187542184938	0.0	n/a	n/a	-3.245	-0.75	-1.47
129.00975437920806	1.2416351255451443	23STIM091smiling	smiling	91.0	20.0	female	white	1.1450952584509126	0.0	n/a	n/a	2.1350000000000002	-1.4899999999999998	2.21
140.2677843477759	1.2333012664848866	24STIM092neutral	neutral	92.0	32.0	male	white	-0.68860900267364	1.0	n/a	n/a	1.2825	-0.9725	-0.30999999999999994
143.50102886589957	1.9999456664627357	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
144.00422262140637	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2.0	left	n/a	n/a	n/a
149.2592748102779	1.2415675104766706	25STIM012neutral	neutral	12.0	24.0	male	white	0.1644397550506295	0.0	n/a	n/a	0.27000000000000013	0.5025	0.6800000000000002
154.2674019000442	1.2332997572193565	26STIM034neutral	neutral	34.0	24.0	female	east_asian	-0.07955556085735344	1.0	n/a	n/a	-0.7174999999999999	0.9900000000000001	-0.18999999999999997
157.50064853113872	1.9999592498470518	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
158.70906383013426	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-1.0	right	n/a	n/a	n/a
163.2671570972734	1.2333060961318552	27STIM102smiling	smiling	102.0	31.0	female	white	-0.9316694706279521	0.0	n/a	n/a	-2.83	0.9999999999999998	0.81
168.26700466151578	1.2333196795170809	28STIM006smiling	smiling	6.0	31.0	female	west_asian	-0.7171218652605884	0.0	n/a	n/a	0.375	1.4275	0.3524999999999998
173.2586366930682	1.2415503048559913	29STIM024smiling	smiling	24.0	47.0	male	east_asian	-0.9447573419793385	0.0	n/a	n/a	-1.3075	-2.9625000000000004	2.4699999999999998
178.26675110500855	1.2333051905734465	30STIM141neutral	neutral	141.0	23.0	male	white	-0.4086220405493454	1.0	n/a	n/a	-2.9225000000000003	-0.5475	-0.7125000000000001
181.5000016601916	1.9999459683158418	rating	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
183.04487286103267	0.1	response	n/a	n/a	n/a	n/a	n/a	n/a	n/a	-3.0	right	n/a	n/a	n/a
187.26650600038462	1.2333045868672343	31STIM066neutral	neutral	66.0	22.0	female	west_asian	0.9927150420026316	0.0	n/a	n/a	2.125	2.1400000000000006	2.13
192.26635416833324	1.2333229998994284	32STIM018smiling	smiling	18.0	19.0	male	white	0.3252336030819434	0.0	n/a	n/a	-2.3825	-3.4375	1.7249999999999999
197.26623735122848	1.233303681307916	33STIM087smiling	smiling	87.0	31.0	female	east_asian	0.49397365871945664	0.0	n/a	n/a	0.25749999999999984	1.1075000000000002	1.1250000000000002
202.26610030997293	1.2333115294859454	34STIM070neutral	neutral	70.0	31.0	male	west_asian	-1.1999708333313661	0.0	n/a	n/a	-0.18000000000000005	0.4325000000000001	-0.11499999999999999
