onset	duration	trial_type	response_time
0.0	14.312	rest	n/a
14.312	19.395	AM	1.533
33.707	3.232	rest	n/a
36.939	19.391	MA	1.341
56.33	3.233	rest	n/a
59.563	19.397	AM	1.26
78.96	3.231	rest	n/a
82.192	19.39	MA	1.082
101.582	3.233	rest	n/a
104.815	19.398	AM	1.198
124.213	3.231	rest	n/a
127.445	19.395	MA	1.645
146.84	3.232	rest	n/a
150.071	19.396	AM	1.193
169.467	3.231	rest	n/a
172.697	19.395	MA	1.179
192.092	3.232	rest	n/a
195.324	19.393	AM	1.711
214.717	3.234	rest	n/a
217.951	19.395	MA	1.073
237.346	3.231	rest	n/a
240.577	19.395	AM	1.099
259.972	3.231	rest	n/a
263.203	19.396	MA	1.384
282.599	3.23	rest	n/a
285.83	19.396	AM	1.519
305.226	3.231	rest	n/a
308.457	19.395	MA	1.062
327.852	3.236	rest	n/a
331.088	19.391	AM	1.868
350.478	3.239	rest	n/a
353.718	19.387	MA	1.499
373.105	3.234	rest	n/a
376.339	19.392	AM	1.079
395.731	3.239	rest	n/a
398.97	19.388	MA	2.528
418.358	3.232	rest	n/a
421.59	19.4	AM	1.695
440.991	3.233	rest	n/a
444.224	19.395	MA	1.805
463.619	3.231	rest	n/a
466.85	19.391	AM	1.163
486.241	3.235	rest	n/a
489.476	19.396	MA	1.019
508.872	3.231	rest	n/a
512.103	19.391	AM	1.234
531.494	3.233	rest	n/a
534.727	19.399	MA	0.706
554.125	3.231	rest	n/a
557.357	19.395	AM	0.673
576.752	3.231	rest	n/a
579.983	19.395	MA	1.131
599.378	3.232	rest	n/a
602.609	19.395	AM	1.215
622.004	3.231	rest	n/a
625.235	19.394	MA	2.398
644.63	3.232	rest	n/a
647.862	19.395	AM	1.478
667.258	3.231	rest	n/a
670.488	19.396	MA	0.729
689.884	3.0	rest	n/a
