onset	duration	trial_type	response_time
0.0	14.346	rest	n/a
14.346	19.395	AM	1.623
33.74	3.231	rest	n/a
36.972	19.395	MA	0.968
56.366	3.232	rest	n/a
59.598	19.395	AM	1.642
78.993	3.235	rest	n/a
82.228	19.391	MA	1.478
101.62	3.232	rest	n/a
104.852	19.395	AM	1.491
124.247	3.233	rest	n/a
127.48	19.394	MA	1.691
146.873	3.239	rest	n/a
150.112	19.395	AM	1.497
169.507	3.232	rest	n/a
172.739	19.392	MA	1.143
192.131	3.234	rest	n/a
195.365	19.396	AM	1.485
214.76	3.231	rest	n/a
217.992	19.39	MA	3.14
237.382	3.234	rest	n/a
240.616	19.398	AM	0.469
260.014	3.231	rest	n/a
263.244	19.39	MA	1.695
282.634	3.237	rest	n/a
285.871	19.395	AM	1.651
305.267	3.231	rest	n/a
308.497	19.395	MA	2.983
327.893	3.231	rest	n/a
331.124	19.394	AM	1.436
350.518	3.231	rest	n/a
353.75	19.395	MA	1.217
373.145	3.231	rest	n/a
376.376	19.394	AM	1.328
395.77	3.233	rest	n/a
399.004	19.395	MA	2.908
418.399	3.231	rest	n/a
421.63	19.396	AM	1.302
441.025	3.23	rest	n/a
444.256	19.396	MA	1.847
463.651	3.231	rest	n/a
466.883	19.395	AM	2.848
486.278	3.232	rest	n/a
489.51	19.395	MA	3.171
508.905	3.235	rest	n/a
512.14	19.391	AM	1.921
531.532	3.232	rest	n/a
534.763	19.395	MA	1.885
554.158	3.234	rest	n/a
557.392	19.394	AM	1.218
576.785	3.239	rest	n/a
580.024	19.387	MA	0.978
599.411	3.232	rest	n/a
602.644	19.399	AM	1.498
622.043	3.234	rest	n/a
625.277	19.396	MA	2.643
644.672	3.231	rest	n/a
647.904	19.39	AM	1.426
667.294	3.234	rest	n/a
670.528	19.397	MA	0.934
689.925	3.0	rest	n/a
