onset	duration	trial_type	correct
0.0283	20	3	0
20.0087	2	2	0
25.0083	2	2	0
37.0083	2	2	0
44.0082	2	2	0
51.0082	2	2	0
57.0082	2	2	0
62.0082	2	2	0
66.0081	2	2	1
70.0081	2	2	1
76.0081	2	2	0
83.0081	2	2	0
87.0081	2	2	0
98.008	2	2	0
104.008	2	2	0
109.008	2	2	0
113.008	2	2	0
120.0079	2	1	0
124.0078	2	1	0
130.0078	2	1	0
137.0078	2	1	0
141.0078	2	1	0
146.0078	2	1	0
159.0077	2	1	1
165.0077	2	1	0
170.0077	20	3	0
190.0076	2	4	0
195.0076	2	4	0
205.0075	2	4	0
212.0075	2	4	0
216.0075	2	4	0
222.0075	2	4	0
227.0074	2	4	0
233.0074	2	4	0
240.0074	2	1	0
247.0073	2	1	0
252.0073	2	1	0
258.0073	2	1	0
265.0073	2	1	1
271.0073	2	1	0
281.0072	2	1	0
286.0072	2	1	0
290.0072	2	4	0
297.0071	2	4	0
301.0071	2	4	0
312.0071	2	4	0
316.0071	2	4	0
322.007	2	4	0
329.007	2	4	0
335.007	2	4	0
340.007	20	3	0
