onset	duration	trial_type	correct
0.0223	20	3	0
20.0022	2	4	1
26.0022	2	4	1
36.0022	2	4	1
41.0021	2	4	1
47.0021	2	4	1
52.0021	2	4	1
59.0021	2	4	0
63.0021	2	4	1
70.002	2	4	1
76.002	2	4	0
82.002	2	4	1
89.002	2	4	1
93.0019	2	4	1
100.0019	2	4	1
105.0019	2	4	1
115.0019	2	4	1
120.0023	2	2	1
125.0019	2	2	0
129.0019	2	2	1
136.0018	2	2	1
142.0018	2	2	1
147.0018	2	2	1
159.0017	2	2	1
166.0017	2	2	1
170.0016	20	3	0
190.0015	2	1	1
197.0015	2	1	1
209.0015	2	1	1
213.0015	2	1	1
218.0014	2	1	0
224.0014	2	1	1
229.0014	2	1	1
236.0014	2	1	0
240.0014	2	2	1
247.0014	2	2	1
260.0014	2	2	1
265.0014	2	2	1
269.0013	2	2	1
275.0013	2	2	1
280.0013	2	2	1
286.0012	2	2	1
290.0011	2	1	0
295.0011	2	1	0
299.0011	2	1	1
306.0004	2	1	1
310.0011	2	1	1
315.001	2	1	1
327.001	2	1	1
334.001	2	1	1
340.0009	20	3	0
