onset	duration	trial_type	correct
0.0226	20	3	0
20.0026	2	4	1
27.0025	2	4	1
33.0025	2	4	1
38.0025	2	4	1
42.0025	2	4	1
48.0025	2	4	1
61.0024	2	4	0
65.0024	2	4	1
70.0024	2	4	1
77.0023	2	4	1
83.0023	2	4	1
87.0023	2	4	1
94.0023	2	4	1
98.0023	2	4	1
110.0022	2	4	0
115.0022	2	4	1
120.0026	2	2	1
125.0022	2	2	1
131.0022	2	2	1
138.0022	2	2	1
149.0021	2	2	1
153.0021	2	2	1
160.0021	2	2	1
166.0021	2	2	1
170.002	20	3	0
190.0019	2	1	1
197.0019	2	1	1
202.0018	2	1	1
212.0018	2	1	1
219.0018	2	1	1
223.0018	2	1	0
229.0017	2	1	1
234.0017	2	1	1
240.0018	2	2	1
247.0017	2	2	1
251.0017	2	2	1
258.0017	2	2	1
268.0017	2	2	1
273.0017	2	2	1
279.0016	2	2	1
284.0016	2	2	1
290.0015	2	1	1
297.0015	2	1	0
303.0015	2	1	1
309.0014	2	1	1
320.0014	2	1	1
324.0014	2	1	1
329.0013	2	1	1
336.0013	2	1	1
340.0013	20	3	0
