onset	duration	trial_type	correct
0.0255	20	3	0
20.0054	2	1	1
27.0054	2	1	1
33.0054	2	1	1
38.0054	2	1	1
43.0054	2	1	1
47.0053	2	1	1
54.0053	2	1	1
66.0053	2	1	0
70.0052	2	1	1
77.0052	2	1	1
89.0052	2	1	1
94.0052	2	1	1
99.0051	2	1	1
103.0051	2	1	1
110.0051	2	1	1
114.005	2	1	1
120.005	2	4	1
127.005	2	4	1
133.005	2	4	1
137.005	2	4	1
142.005	2	4	1
146.0049	2	4	1
159.0049	2	4	1
164.0049	2	4	1
170.0048	20	3	0
190.0052	2	2	1
195.0048	2	2	1
199.0048	2	2	1
211.0047	2	2	1
218.0047	2	2	1
224.0047	2	2	1
228.0047	2	2	0
233.0047	2	2	1
240.0046	2	4	0
245.0045	2	4	1
251.0045	2	4	1
255.0045	2	4	1
262.0045	2	4	1
266.0045	2	4	1
271.0044	2	4	1
284.0044	2	4	1
290.0044	2	2	1
295.0044	2	2	1
305.0044	2	2	1
309.0043	2	2	0
316.0043	2	2	1
322.0043	2	2	1
328.0043	2	2	1
335.0042	2	2	1
340.0042	20	3	0
