onset	duration	trial_type	correct
0.0238	20	3	0
20.0041	2	2	1
25.0038	2	2	0
32.0037	2	2	1
39.0037	2	2	1
45.0037	2	2	1
57.0036	2	2	1
62.0036	2	2	1
66.0036	2	2	1
70.0036	2	2	0
74.0036	2	2	1
85.0035	2	2	1
92.0035	2	2	1
98.0035	2	2	1
105.0034	2	2	1
109.0034	2	2	1
115.0034	2	2	1
120.0033	2	1	1
125.0033	2	1	1
132.0033	2	1	1
139.0033	2	1	1
145.0032	2	1	1
155.0032	2	1	1
160.0032	2	1	0
164.0031	2	1	1
170.0031	20	3	0
190.003	2	4	1
195.003	2	4	1
202.003	2	4	0
206.003	2	4	0
212.0029	2	4	1
219.0029	2	4	1
231.0029	2	4	1
235.0029	2	4	0
240.0028	2	1	1
247.0028	2	1	1
251.0028	2	1	0
263.0027	2	1	1
268.0027	2	1	0
272.0027	2	1	1
279.0027	2	1	1
284.0027	2	1	1
290.0026	2	4	1
294.0026	2	4	1
299.0026	2	4	0
305.0026	2	4	1
311.0025	2	4	1
316.0025	2	4	1
320.0025	2	4	1
333.0024	2	4	1
340.0024	20	3	0
