onset	duration	weight	trial_type	Resp	Word
0	0	1	V_only_Quiet_InScanner	NA	polo
2.47	2.447	1	NULL	NA	NULL
4.94	2.301	1	V_only_Quiet_InScanner	Yes	rich
9.88	4.722	1	V_only_Quiet_InScanner	Yes	flash
14.82	4.722	1	NULL	NA	NULL
17.29	2.301	1	V_only_Quiet_InScanner	NA	stare
19.76	2.438	1	V_only_Quiet_InScanner	Yes	truth
24.7	4.722	1	NULL	NA	NULL
27.17	2.301	1	AV_p5_SNR	Yes	weather
32.11	4.722	1	NULL	NA	NULL
34.58	2.301	1	AV_p5_SNR	Yes	these
39.52	4.722	1	AV_p5_SNR	NA	floss
41.99	2.436	1	AV_p5_SNR	NA	thorough
44.46	2.445	1	AV_p5_SNR	Yes	wave
49.4	4.722	1	NULL	NA	NULL
51.87	2.301	1	AV_0_SNR	NA	fewer
54.34	2.447	1	AV_0_SNR	NA	although
56.81	2.446	1	AV_0_SNR	Yes	hold
61.75	4.722	1	NULL	NA	NULL
64.22	2.301	1	AV_0_SNR	Yes	wrapper
69.16	4.722	1	AV_0_SNR	NA	need
71.63	2.451	1	NULL	NA	NULL
74.1	2.301	1	A_Quiet	NA	idol
76.57	2.455	1	NULL	NA	NULL
79.04	2.301	1	A_Quiet	NA	power
81.51	2.45	1	A_Quiet	Yes	yoga
86.45	4.722	1	A_Quiet	Yes	final
91.39	4.722	1	A_Quiet	NA	shield
93.86	2.447	1	AV_n5_SNR	Yes	poem
98.8	4.722	1	AV_n5_SNR	NA	trash
101.27	2.452	1	NULL	NA	NULL
103.74	2.301	1	AV_n5_SNR	No	flare
108.68	4.722	1	AV_n5_SNR	NA	what
111.15	2.449	1	NULL	NA	NULL
113.62	2.301	1	AV_n5_SNR	Yes	fly
118.56	4.722	1	NULL	NA	NULL
121.03	2.301	1	AV_n10_SNR	NA	dream
123.5	2.436	1	AV_n10_SNR	Yes	switch
128.44	4.722	1	AV_n10_SNR	NA	leather
130.91	2.44	1	AV_n10_SNR	Yes	north
135.85	4.722	1	NULL	NA	NULL
138.32	2.301	1	AV_n10_SNR	NA	fleet
140.79	2.452	1	AV_Quiet	Yes	move
145.73	4.722	1	AV_Quiet	NA	flight
148.2	2.452	1	NULL	NA	NULL
150.67	2.301	1	AV_Quiet	Yes	higher
155.61	4.722	1	AV_Quiet	NA	purple
158.08	2.454	1	NULL	NA	NULL
160.55	2.301	1	AV_Quiet	Yes	halt
165.49	4.722	1	A_Quiet	NA	rest
167.96	2.447	1	A_Quiet	Yes	done
172.9	4.722	1	NULL	NA	NULL
175.37	2.301	1	A_Quiet	Yes	try
180.31	4.722	1	NULL	NA	NULL
182.78	2.301	1	A_Quiet	Yes	deny
187.72	4.722	1	A_Quiet	NA	force
190.19	2.449	1	AV_p5_SNR	No	fool
195.13	4.736	1	AV_p5_SNR	NA	themes
197.6	2.453	1	NULL	NA	NULL
200.07	2.301	1	AV_p5_SNR	NA	real
202.54	2.449	1	AV_p5_SNR	Yes	open
207.48	4.722	1	NULL	NA	NULL
209.95	2.301	1	AV_p5_SNR	NA	blew
212.42	2.449	1	AV_0_SNR	NA	gloom
214.89	2.456	1	AV_0_SNR	Yes	reel
219.83	4.722	1	NULL	NA	NULL
222.3	2.301	1	AV_0_SNR	NA	self
224.77	2.452	1	NULL	NA	NULL
227.24	2.301	1	AV_0_SNR	No	brave
232.18	4.722	1	AV_0_SNR	Yes	bored
237.12	4.722	1	NULL	NA	NULL
239.59	2.301	1	AV_n5_SNR	Yes	wife
244.53	4.722	1	AV_n5_SNR	Yes	hard
249.47	4.722	1	NULL	NA	NULL
251.94	2.301	1	AV_n5_SNR	NA	ruler
254.41	2.447	1	AV_n5_SNR	NA	love
256.88	2.455	1	AV_n5_SNR	NA	bug
259.35	2.454	1	AV_n10_SNR	NA	wore
261.82	2.453	1	NULL	NA	NULL
264.29	2.301	1	AV_n10_SNR	Yes	spoil
269.23	4.722	1	AV_n10_SNR	NA	lap
271.7	2.452	1	AV_n10_SNR	Yes	water
276.64	4.723	1	NULL	NA	NULL
279.11	2.301	1	AV_n10_SNR	Yes	fierce
284.05	4.722	1	AV_Quiet	NA	flute
286.52	2.451	1	NULL	NA	NULL
288.99	2.301	1	AV_Quiet	NA	this
291.46	2.451	1	AV_Quiet	Yes	pool
296.4	4.722	1	AV_Quiet	NA	fault
298.87	2.456	1	NULL	NA	NULL
301.34	2.301	1	AV_Quiet	Yes	happy
306.28	4.722	1	V_only_Quiet_InScanner	No	movie
311.22	4.722	1	V_only_Quiet_InScanner	NA	cherry
313.69	2.451	1	NULL	NA	NULL
316.16	2.301	1	V_only_Quiet_InScanner	Yes	realm
321.1	4.722	1	V_only_Quiet_InScanner	NA	stop
323.57	2.437	1	V_only_Quiet_InScanner	NA	apple
326.04	2.451	1	NULL	NA	NULL
