onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_p5_SNR	NA	alone
2.47	2.437	1	NULL	NA	NULL
4.94	2.301	1	AV_p5_SNR	Yes	frame
9.88	4.722	1	AV_p5_SNR	Yes	flea
14.82	4.722	1	AV_p5_SNR	Yes	mall
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_p5_SNR	NA	less
24.7	2.437	1	V_only_Quiet_InScanner	Yes	every
29.64	4.722	1	NULL	NA	NULL
32.11	2.301	1	V_only_Quiet_InScanner	NA	poison
34.58	2.447	1	V_only_Quiet_InScanner	Yes	ram
39.52	4.722	1	NULL	NA	NULL
41.99	2.301	1	V_only_Quiet_InScanner	Yes	class
46.93	4.722	1	V_only_Quiet_InScanner	NA	ugly
49.4	2.451	1	AV_Quiet	Yes	either
54.34	4.722	1	NULL	NA	NULL
56.81	2.301	1	AV_Quiet	Yes	seller
61.75	4.722	1	AV_Quiet	Yes	easy
66.69	4.722	1	AV_Quiet	NA	soap
69.16	2.447	1	AV_Quiet	NA	opera
71.63	2.452	1	NULL	NA	NULL
74.1	2.301	1	A_Quiet	Yes	mouse
79.04	4.722	1	A_Quiet	NA	enjoy
81.51	2.456	1	A_Quiet	NA	bought
83.98	2.441	1	NULL	NA	NULL
86.45	2.301	1	A_Quiet	Yes	middle
91.39	4.722	1	NULL	NA	NULL
93.86	2.301	1	A_Quiet	NA	dark
96.33	2.449	1	AV_n10_SNR	NA	job
98.8	2.448	1	NULL	NA	NULL
101.27	2.301	1	AV_n10_SNR	Yes	flame
106.21	4.722	1	NULL	NA	NULL
108.68	2.301	1	AV_n10_SNR	Yes	lunch
113.62	4.722	1	AV_n10_SNR	NA	whose
116.09	2.449	1	AV_n10_SNR	NA	core
118.56	2.446	1	AV_n5_SNR	Yes	pepper
123.5	4.722	1	AV_n5_SNR	Yes	clock
128.44	4.722	1	AV_n5_SNR	No	grief
133.38	4.722	1	NULL	NA	NULL
135.85	2.301	1	AV_n5_SNR	NA	hill
138.32	2.451	1	AV_n5_SNR	NA	fisher
140.79	2.439	1	NULL	NA	NULL
143.26	2.301	1	AV_0_SNR	Yes	fill
148.2	4.722	1	AV_0_SNR	Yes	wealth
153.14	4.722	1	NULL	NA	NULL
155.61	2.301	1	NULL	NA	NULL
158.08	2.301	1	AV_0_SNR	NA	flip
160.55	2.447	1	AV_0_SNR	NA	neither
163.02	2.447	1	AV_0_SNR	NA	birth
165.49	2.437	1	NULL	NA	NULL
167.96	2.301	1	V_only_Quiet_InScanner	No	tree
172.9	4.721	1	V_only_Quiet_InScanner	Yes	ruin
177.84	4.722	1	NULL	NA	NULL
180.31	2.301	1	V_only_Quiet_InScanner	NA	push
182.78	2.449	1	V_only_Quiet_InScanner	NA	tell
185.25	2.453	1	V_only_Quiet_InScanner	NA	myth
187.72	2.438	1	AV_Quiet	Yes	left
192.66	4.722	1	NULL	NA	NULL
195.13	2.301	1	AV_Quiet	NA	olive
197.6	2.449	1	AV_Quiet	NA	keeper
200.07	2.448	1	NULL	NA	NULL
202.54	2.301	1	AV_Quiet	NA	liver
205.01	2.456	1	AV_Quiet	Yes	trail
209.95	4.722	1	NULL	NA	NULL
212.42	2.301	1	AV_n10_SNR	No	cloth
217.36	4.722	1	AV_n10_SNR	Yes	cola
222.3	4.722	1	AV_n10_SNR	NA	sweet
224.77	2.434	1	AV_n10_SNR	NA	fresh
227.24	2.446	1	NULL	NA	NULL
229.71	2.301	1	AV_n10_SNR	Yes	mother
234.65	4.722	1	NULL	NA	NULL
237.12	2.301	1	AV_n5_SNR	NA	floor
239.59	2.441	1	NULL	NA	NULL
242.06	2.301	1	AV_n5_SNR	NA	bother
244.53	2.447	1	AV_n5_SNR	Yes	spy
249.47	4.722	1	AV_n5_SNR	NA	fossil
251.94	2.453	1	AV_n5_SNR	Yes	favor
256.88	4.722	1	NULL	NA	NULL
259.35	2.301	1	A_Quiet	Yes	dual
264.29	4.722	1	A_Quiet	Yes	old
269.23	4.722	1	NULL	NA	NULL
271.7	2.301	1	A_Quiet	NA	state
274.17	2.45	1	A_Quiet	NA	lamp
276.64	2.442	1	A_Quiet	Yes	pass
281.58	4.722	1	AV_0_SNR	NA	player
284.05	2.439	1	AV_0_SNR	NA	bridge
286.52	2.451	1	NULL	NA	NULL
288.99	2.301	1	AV_0_SNR	Yes	bike
293.93	4.722	1	AV_0_SNR	Yes	cool
298.87	4.722	1	NULL	NA	NULL
301.34	2.301	1	AV_0_SNR	Yes	fab
306.28	4.722	1	AV_p5_SNR	Yes	shift
316.16	4.722	1	NULL	NA	NULL
318.63	2.301	1	AV_p5_SNR	NA	five
321.1	2.442	1	NULL	NA	NULL
323.57	2.301	1	AV_p5_SNR	NA	space
326.04	2.447	1	AV_p5_SNR	NA	break
