onset	duration	weight	trial_type	Resp	Word
0	0	1	AV_n5_SNR	No	weary
4.94	4.722	1	AV_n5_SNR	NA	child
7.41	2.451	1	NULL	NA	NULL
9.88	2.301	1	AV_n5_SNR	Yes	spray
14.82	4.722	1	AV_n5_SNR	Yes	attach
19.76	4.722	1	NULL	NA	NULL
22.23	2.301	1	AV_n5_SNR	NA	horse
24.7	2.447	1	A_Quiet	NA	drive
27.17	2.437	1	A_Quiet	Yes	did
32.11	4.722	1	A_Quiet	NA	clear
34.58	2.443	1	NULL	NA	NULL
37.05	2.301	1	A_Quiet	Yes	worn
41.99	4.722	1	NULL	NA	NULL
44.46	2.301	1	A_Quiet	NA	got
46.93	2.447	1	AV_0_SNR	NA	smith
49.4	2.457	1	NULL	NA	NULL
51.87	2.301	1	AV_0_SNR	Yes	charge
56.81	4.722	1	NULL	NA	NULL
59.28	2.301	1	AV_0_SNR	NA	length
61.75	2.452	1	AV_0_SNR	Yes	foil
66.69	4.722	1	AV_0_SNR	NA	win
69.16	2.452	1	AV_p5_SNR	NA	bubble
71.63	2.452	1	NULL	NA	NULL
74.1	2.301	1	AV_p5_SNR	Yes	hammer
79.04	4.722	1	AV_p5_SNR	Yes	shout
86.45	7.192	1	NULL	NA	NULL
88.92	2.301	1	AV_p5_SNR	Yes	right
93.86	4.722	1	AV_p5_SNR	NA	erase
96.33	2.452	1	NULL	NA	NULL
98.8	2.301	1	V_only_Quiet_InScanner	NA	large
101.27	2.45	1	V_only_Quiet_InScanner	Yes	further
106.21	4.722	1	NULL	NA	NULL
108.68	2.301	1	V_only_Quiet_InScanner	Yes	lower
113.62	4.723	1	V_only_Quiet_InScanner	Yes	slower
118.56	4.722	1	V_only_Quiet_InScanner	NA	locker
121.03	2.452	1	AV_Quiet	NA	arms
123.5	2.449	1	NULL	NA	NULL
125.97	2.301	1	AV_Quiet	NA	breathe
128.44	2.446	1	AV_Quiet	Yes	rough
133.38	4.722	1	NULL	NA	NULL
135.85	2.301	1	AV_Quiet	Yes	thumb
140.79	4.722	1	AV_Quiet	Yes	better
145.73	4.722	1	AV_n10_SNR	No	load
150.67	4.722	1	AV_n10_SNR	No	fox
155.61	4.722	1	AV_n10_SNR	NA	play
158.08	2.46	1	AV_n10_SNR	NA	arch
160.55	2.45	1	NULL	NA	NULL
163.02	2.301	1	AV_n10_SNR	NA	level
165.49	2.45	1	NULL	NA	NULL
167.96	2.301	1	AV_0_SNR	Yes	sofa
172.9	4.722	1	NULL	NA	NULL
175.37	2.301	1	AV_0_SNR	Yes	wear
180.31	4.722	1	AV_0_SNR	NA	ship
182.78	2.451	1	AV_0_SNR	Yes	waves
187.72	4.722	1	NULL	NA	NULL
190.19	2.301	1	AV_0_SNR	NA	rally
192.66	2.446	1	AV_p5_SNR	NA	weave
195.13	2.448	1	AV_p5_SNR	NA	rubber
197.6	2.449	1	AV_p5_SNR	Yes	puppy
202.54	4.722	1	NULL	NA	NULL
205.01	2.301	1	AV_p5_SNR	NA	waste
207.48	2.451	1	AV_p5_SNR	Yes	option
212.42	4.722	1	NULL	NA	NULL
214.89	2.301	1	V_only_Quiet_InScanner	NA	shell
217.36	2.453	1	NULL	NA	NULL
219.83	2.301	1	V_only_Quiet_InScanner	NA	camel
222.3	2.451	1	V_only_Quiet_InScanner	NA	foam
224.77	2.45	1	V_only_Quiet_InScanner	Yes	speech
229.71	4.722	1	V_only_Quiet_InScanner	Yes	relay
234.65	4.722	1	NULL	NA	NULL
237.12	2.301	1	AV_Quiet	NA	appeal
239.59	2.451	1	NULL	NA	NULL
242.06	2.301	1	AV_Quiet	NA	file
244.53	2.445	1	AV_Quiet	Yes	leader
249.47	4.722	1	AV_Quiet	NA	choose
251.94	2.447	1	NULL	NA	NULL
254.41	2.301	1	AV_Quiet	Yes	frog
259.35	4.722	1	AV_n10_SNR	NoRs	palm
264.29	4.723	1	NULL	NA	NULL
266.76	2.301	1	AV_n10_SNR	Yes	back
271.7	4.722	1	AV_n10_SNR	Yes	aware
276.64	4.722	1	AV_n10_SNR	NA	fellow
279.11	2.453	1	NULL	NA	NULL
281.58	2.301	1	AV_n10_SNR	NA	lame
284.05	2.452	1	NULL	NA	NULL
286.52	2.301	1	AV_n5_SNR	NA	prime
288.99	2.449	1	AV_n5_SNR	Yes	short
293.93	4.722	1	NULL	NA	NULL
296.4	2.301	1	AV_n5_SNR	NA	never
301.34	2.489	1	AV_n5_SNR	Yes	theme
306.28	4.706	1	AV_n5_SNR	NA	store
308.75	2.45	1	A_Quiet	NA	life
311.22	2.449	1	NULL	NA	NULL
313.69	2.301	1	A_Quiet	Yes	fame
318.63	4.722	1	A_Quiet	NA	fine
321.1	2.435	1	A_Quiet	Yes	great
326.04	4.722	1	A_Quiet	Yes	take
330.98	4.722	1	NULL	NA	NULL
