onset	duration	weight	trial_type	Resp	Word
2.47	0	1	Reading_Aloud	NoRs	long
7.41	4.722	1	Reading_Aloud	NoRs	cherry
9.88	4.722	1	NULL	NA	NULL
14.82	2.301	1	Reading_Aloud	NoRs	apple
19.76	4.722	1	Reading_Aloud	NoRs	awesome
24.7	4.722	1	Reading_Aloud	NoRs	fork
29.64	4.722	1	Reading_Aloud	NoRs	oven
32.11	4.721	1	NULL	NA	NULL
37.05	2.301	1	Reading_Aloud	NoRs	slower
41.99	4.722	1	Reading_Aloud	NoRs	polo
46.93	4.722	1	Reading_Aloud	NoRs	relay
49.4	4.722	1	NULL	NA	NULL
54.34	2.301	1	Reading_Aloud	NoRs	rich
59.28	4.722	1	Reading_Aloud	NoRs	push
64.22	4.722	1	Reading_Aloud	NoRs	safe
69.16	4.722	1	Reading_Aloud	NoRs	time
71.63	4.722	1	NULL	NA	NULL
76.57	2.301	1	Reading_Aloud	NoRs	poison
81.51	4.722	1	Reading_Aloud	NoRs	every
86.45	4.722	1	Reading_Aloud	NoRs	ugly
91.39	4.722	1	Reading_Aloud	NoRs	truth
96.33	4.722	1	Reading_Aloud	NoRs	class
101.27	4.722	1	Reading_Aloud	NoRs	word
103.74	4.722	1	NULL	NA	NULL
108.68	2.301	1	Reading_Aloud	NoRs	ram
113.62	4.722	1	Reading_Aloud	NoRs	trap
118.56	4.722	1	Reading_Aloud	NoRs	further
123.5	4.722	1	Reading_Aloud	NoRs	tree
128.44	4.722	1	Reading_Aloud	NoRs	block
133.38	4.722	1	Reading_Aloud	NoRs	flash
138.32	4.722	1	Reading_Aloud	NoRs	movie
140.79	4.722	1	NULL	NA	NULL
145.73	2.301	1	Reading_Aloud	NoRs	tell
150.67	4.722	1	Reading_Aloud	NoRs	shell
155.61	4.722	1	Reading_Aloud	NoRs	speech
160.55	4.722	1	Reading_Aloud	NoRs	thermal
163.02	4.722	1	NULL	NA	NULL
167.96	2.301	1	Reading_Aloud	NoRs	camel
172.9	4.722	1	Reading_Aloud	NoRs	month
177.84	4.722	1	Reading_Aloud	NoRs	realm
182.78	4.722	1	Reading_Aloud	NoRs	lower
185.25	4.722	1	NULL	NA	NULL
192.66	2.301	1	Reading_Aloud	NoRs	rely
197.6	4.722	1	Reading_Aloud	NoRs	flesh
202.54	4.722	1	Reading_Aloud	NoRs	ruin
207.48	4.722	1	Reading_Aloud	NoRs	flat
212.42	4.722	1	Reading_Aloud	NoRs	wild
217.36	4.722	1	Reading_Aloud	NoRs	booth
219.83	4.722	1	NULL	NA	NULL
224.77	2.301	1	Reading_Aloud	NoRs	locker
229.71	4.722	1	Reading_Aloud	NoRs	large
234.65	4.722	1	Reading_Aloud	NoRs	stop
239.59	4.722	1	Reading_Aloud	NoRs	myth
242.06	4.722	1	NULL	NA	NULL
247	2.301	1	Reading_Aloud	NoRs	foam
251.94	4.722	1	Reading_Aloud	NoRs	shallow
256.88	4.722	1	Reading_Aloud	NoRs	later
