onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.497	6.599	1	Onset	GemM2.mpg	JetM1.mpg	1999	7	7	1
8.096	6.116	2	Offset	DimF2.mpg	HimF1.mpg	2952	7	7	1
14.212	5.599	3	Diff	TapM2.mpg	HisM2.mpg	1860	8	8	1
19.811	5.616	3	Diff	HotF1.mpg	RagF1.mpg	3125	7	8	0
25.427	5.616	3	Diff	FatM2.mpg	JobM2.mpg	1693	8	8	1
31.043	6.1	5	PercY	CheeksM1.mpg	CheeksM1.mpg	1605	7	7	1
37.143	5.599	2	Offset	DamM1.mpg	HamM2.mpg	3370	7	7	1
42.742	5.599	1	Onset	PigM2.mpg	PinM2.mpg	1954	7	7	1
48.341	5.616	2	Offset	KidF1.mpg	LidF1.mpg	1883	8	7	0
53.957	6.599	3	Diff	HitM2.mpg	CapM2.mpg	1827	7	8	0
60.556	6.099	6	PercN	CheeksF1.mpg	TongueF1.mpg	1868	8	8	1
66.655	6.116	2	Offset	GodM2.mpg	NodM2.mpg	2273	7	7	1
72.771	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1013	7	7	1
79.37	5.6	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1038	7	7	1
84.97	5.616	5	PercY	TongueM2.mpg	TongueM2.mpg	2351	7	7	1
90.586	5.599	6	PercN	TeethF1.mpg	CheeksF1.mpg	2431	8	8	1
96.185	5.599	1	Onset	MudF1.mpg	MugF2.mpg	1631	7	7	1
101.784	6.116	3	Diff	GasF1.mpg	PopF2.mpg	1688	8	8	1
107.9	6.083	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1436	8	8	1
113.983	5.599	5	PercY	TeethF1.mpg	TeethF1.mpg	1682	7	7	1
119.582	6.116	3	Diff	SetM2.mpg	JamM2.mpg	1978	8	8	1
125.698	6.099	6	PercN	CheeksM1.mpg	TeethM1.mpg	1839	8	8	1
131.797	5.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1067	8	8	1
137.396	6.116	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1228	7	7	1
143.512	6.599	6	PercN	TeethM1.mpg	TongueM2.mpg	1760	8	8	1
150.111	6.616	3	Diff	PutM2.mpg	LogM2.mpg	1737	8	8	1
156.727	6.616	5	PercY	TongueF1.mpg	TongueF1.mpg	2369	7	7	1
163.343	6.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1241	8	8	1
169.942	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1170	7	7	1
175.541	6.116	3	Diff	HatM2.mpg	PubM2.mpg	1643	8	8	1
181.657	5.599	6	PercN	TongueM2.mpg	CheeksM1.mpg	1919	8	8	1
187.256	6.1	1	Onset	RapF1.mpg	RatF1.mpg	1648	7	7	1
193.356	6.115	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1565	7	7	1
199.471	6.6	3	Diff	JigF1.mpg	PutF1.mpg	2009	8	8	1
206.071	5.599	3	Diff	FunF1.mpg	LipF1.mpg	1810	8	8	1
211.67	6.116	1	Onset	BigM2.mpg	BidM2.mpg	1562	7	7	1
217.786	6.099	5	PercY	CheeksF1.mpg	CheeksF1.mpg	2358	7	7	1
223.885	5.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	3331	7	8	0
229.484	6.616	2	Offset	GapM2.mpg	LapM2.mpg	1604	7	7	1
236.1	6.583	2	Offset	CanF1.mpg	PanF1.mpg	2028	7	7	1
242.683	6.099	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1518	8	8	1
248.782	6.116	3	Diff	MenF1.mpg	CupF2.mpg	1722	8	8	1
254.898	6.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1495	7	7	1
261.497	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1151	8	8	1
268.096	6.616	3	Diff	LogF1.mpg	HatF1.mpg	2264	8	8	1
274.712	6.599	1	Onset	SumF1.mpg	SonF1.mpg	2376	7	7	1
281.311	6.616	6	PercN	TongueF1.mpg	TeethF1.mpg	1769	8	8	1
287.927	6.116	5	PercY	TeethM1.mpg	TeethM1.mpg	1745	7	7	1
