onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.506	6.599	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1206	8	8	1
8.105	6.099	1	HS	home.mpg	deaf.mpg	2199	7	7	1
14.204	6.099	5	PercY	nose.mpg	nose.mpg	1628	7	7	1
20.303	6.583	3	Diff	hear.mpg	because.mpg	1922	8	8	1
26.886	5.599	2	Loc	nut.mpg	not.mpg	2050	7	7	1
32.485	5.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	3698	n/a	7	n/a
38.084	6.083	3	Diff	address2.mpg	bone2.mpg	1572	8	8	1
44.167	6.582	2	Loc	funny.mpg	cute.mpg	1761	7	7	1
50.749	6.1	6	PercN	nose2.mpg	shoulders2.mpg	1467	8	8	1
56.849	6.099	1	HS	challenge2.mpg	meet2.mpg	2624	7	7	1
62.948	6.082	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1524	7	7	1
69.03	5.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1538	8	8	1
74.63	6.099	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1483	7	7	1
80.729	6.599	3	Diff	bored.mpg	experience.mpg	1863	8	8	1
87.328	5.583	5	PercY	shoulders.mpg	shoulders.mpg	1696	7	7	1
92.911	6.115	3	Diff	hour2.mpg	cracker2.mpg	1561	8	8	1
99.026	6.1	3	Diff	snob.mpg	aunt.mpg	2110	8	8	1
105.126	5.599	6	PercN	shoulders2.mpg	hair2.mpg	1733	8	8	1
110.725	5.583	3	Diff	encourage2.mpg	president2.mpg	1619	8	8	1
116.308	5.599	6	PercN	shoulders.mpg	nose.mpg	1557	8	8	1
121.907	6.099	3	Diff	mouse.mpg	dentist.mpg	2733	8	8	1
128.006	5.599	3	Diff	doctor.mpg	children.mpg	1906	8	8	1
133.605	6.583	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1403	7	7	1
140.188	6.599	5	PercY	hair2.mpg	hair2.mpg	1420	7	7	1
146.787	5.599	1	HS	meat2.mpg	earth2.mpg	3827	7	7	1
152.386	6.599	1	HS	dry2.mpg	experienced2.mpg	2054	7	7	1
158.985	6.083	2	Loc	mad.mpg	tiger.mpg	2367	7	7	1
165.068	6.099	5	PercY	nose2.mpg	nose2.mpg	1524	7	7	1
171.167	5.599	5	PercY	shoulders2.mpg	shoulders2.mpg	1489	7	7	1
176.766	6.083	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1586	8	8	1
182.849	5.582	2	Loc	sock2.mpg	star2.mpg	2431	7	7	1
188.431	5.6	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1401	8	8	1
194.031	6.599	1	HS	convince.mpg	hit.mpg	3233	8	7	0
200.63	6.099	6	PercN	nose.mpg	hair.mpg	1522	8	8	1
206.729	6.583	2	Loc	general2.mpg	open-minded2.mpg	1799	7	7	1
213.312	6.599	3	Diff	upset2.mpg	angry-mad2.mpg	1649	8	8	1
219.911	6.616	3	Diff	surprise2.mpg	flower2.mpg	1729	8	8	1
226.527	6.599	5	PercY	hair.mpg	hair.mpg	1610	7	7	1
233.126	6.582	6	PercN	hair2.mpg	nose2.mpg	1754	8	8	1
239.708	6.599	7	FixY	Gen/_Fix_Red.mpg	Gen/_Fix_Red.mpg	1388	7	7	1
246.307	6.1	8	FixN	Gen/_Fix_Green.mpg	Gen/_Fix_Red.mpg	1133	8	8	1
252.407	5.599	1	HS	contact.mpg	game.mpg	2394	7	7	1
258.006	5.583	3	Diff	newspaper.mpg	wood.mpg	2346	8	8	1
263.589	5.599	7	FixY	Gen/_Fix_Green.mpg	Gen/_Fix_Green.mpg	1484	7	7	1
269.188	5.599	3	Diff	know2.mpg	look-for2.mpg	2004	8	8	1
274.787	6.599	8	FixN	Gen/_Fix_Red.mpg	Gen/_Fix_Green.mpg	1197	8	8	1
281.386	6.583	6	PercN	hair.mpg	shoulders.mpg	1550	8	8	1
287.969	5.599	2	Loc	summer2.mpg	ugly2.mpg	1663	7	7	1
