onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.51	5.699	1	PicY	Eng/vase.bmp	Eng/chase.bmp	978	7	7	1
7.209	5.199	1	PicY	Eng/bell.bmp	Eng/well.bmp	1047	7	7	1
12.408	5.7	3	PicN	Eng/mask.bmp	Eng/swing.bmp	1544	8	8	1
18.108	5.199	5	PercY	Eng/perc_mask_white.bmp	Eng/perc_mask_white.bmp	900	7	7	1
23.307	5.216	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	860	7	7	1
28.523	5.199	3	PicN	Eng/surf.bmp	Eng/plug.bmp	1181	8	8	1
33.722	6.2	1	PicY	Eng/snake.bmp	Eng/cake.bmp	934	7	7	1
39.922	5.716	6	PercN	Eng/perc_crawl_white.bmp	Eng/perc_smell_pink.bmp	935	8	8	1
45.638	5.199	3	PicN	Eng/tent.bmp	Eng/sit.bmp	1867	8	8	1
50.837	6.216	3	PicN	Eng/bus.bmp	Eng/crawl.bmp	1450	8	8	1
57.053	5.716	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	674	8	8	1
62.769	5.699	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	2174	8	8	1
68.468	6.199	1	PicY	Eng/nose.bmp	Eng/hose.bmp	1427	7	7	1
74.667	5.716	1	PicY	Eng/steal.bmp	Eng/seal.bmp	1772	8	7	0
80.383	6.199	5	PercY	Eng/perc_seal_pink.bmp	Eng/perc_seal_pink.bmp	904	7	7	1
86.582	6.199	6	PercN	Eng/perc_nose_white.bmp	Eng/perc_fan_brown.bmp	1001	8	8	1
92.781	5.716	3	PicN	Eng/weigh.bmp	Eng/drink.bmp	1394	8	8	1
98.497	5.2	1	PicY	Eng/man.bmp	Eng/fan.bmp	862	7	7	1
103.697	5.699	5	PercY	Eng/perc_bus_pink.bmp	Eng/perc_bus_pink.bmp	622	7	7	1
109.396	5.216	3	PicN	Eng/smoke.bmp	Eng/frog.bmp	1780	8	8	1
114.612	5.199	6	PercN	Eng/perc_frog_brown.bmp	Eng/perc_beard_white.bmp	2171	8	8	1
119.811	5.7	3	PicN	Eng/beard.bmp	Eng/sleep.bmp	2724	8	8	1
125.511	5.216	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	889	8	8	1
130.727	6.182	1	PicY	Eng/purse.bmp	Eng/nurse.bmp	2033	8	7	0
136.909	6.199	3	PicN	Eng/peel.bmp	Eng/smell.bmp	2450	8	8	1
143.108	5.716	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	1843	7	7	1
148.824	6.199	5	PercY	Eng/perc_play_white.bmp	Eng/perc_play_white.bmp	711	7	7	1
155.023	6.2	6	PercN	Eng/perc_paint_pink.bmp	Eng/perc_duck_white.bmp	657	8	8	1
161.223	6.215	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	665	8	8	1
167.438	5.7	1	PicY	Eng/play.bmp	Eng/pray.bmp	2426	8	7	0
173.138	5.699	1	PicY	Eng/sink.bmp	Eng/wink.bmp	2446	7	7	1
178.837	5.733	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	1410	7	7	1
184.57	5.699	6	PercN	Eng/perc_pray_brown.bmp	Eng/perc_steal_pink.bmp	926	8	8	1
190.269	5.199	3	PicN	Eng/stool.bmp	Eng/pan.bmp	2490	8	8	1
195.468	5.216	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	819	8	8	1
200.684	5.2	1	PicY	Eng/ring.bmp	Eng/sing.bmp	947	7	7	1
205.884	6.199	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	972	7	7	1
212.083	5.199	6	PercN	Eng/perc_man_pink.bmp	Eng/perc_saw_brown.bmp	796	8	8	1
217.282	5.216	1	PicY	Eng/suck.bmp	Eng/duck.bmp	1636	8	7	0
222.498	5.699	3	PicN	Eng/bed.bmp	Eng/sweep.bmp	1229	8	8	1
228.197	6.2	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	722	7	7	1
234.397	6.215	3	PicN	Eng/saw.bmp	Eng/drum.bmp	1410	8	8	1
240.612	6.2	1	PicY	Eng/pig.bmp	Eng/wig.bmp	947	7	7	1
246.812	5.715	5	PercY	Eng/perc_well_brown.bmp	Eng/perc_well_brown.bmp	780	7	7	1
252.527	5.2	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	944	7	7	1
257.727	5.199	5	PercY	Eng/perc_look_brown.bmp	Eng/perc_look_brown.bmp	776	7	7	1
262.926	6.183	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1585	8	8	1
269.109	5.716	3	PicN	Eng/paint.bmp	Eng/look.bmp	2443	8	8	1
