onset	duration	trial_type	trial_name	prime_stim	targ_stim	response_time	resp	cresp	acc
1.494	6.233	1	PicY	Eng/belt.bmp	Eng/melt.bmp	1690	7	7	1
7.727	6.199	1	PicY	Eng/fall.bmp	Eng/ball.bmp	1249	7	7	1
13.926	6.199	3	PicN	Eng/point.bmp	Eng/bridge.bmp	1642	7	8	0
20.125	5.716	5	PercY	Eng/perc_whale_white.bmp	Eng/perc_whale_white.bmp	555	n/a	7	n/a
25.841	5.199	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	463	n/a	7	n/a
31.04	5.2	3	PicN	Eng/screw.bmp	Eng/globe.bmp	1560	8	8	1
36.24	5.199	1	PicY	Eng/whip.bmp	Eng/trip.bmp	2896	8	7	0
41.439	5.716	6	PercN	Eng/perc_box_brown.bmp	Eng/perc_cork_pink.bmp	1265	8	8	1
47.155	5.199	3	PicN	Eng/wing.bmp	Eng/roof.bmp	1229	8	8	1
52.354	5.7	3	PicN	Eng/climb.bmp	Eng/hay.bmp	1414	8	8	1
58.054	5.716	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1043	8	8	1
63.77	5.699	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	1247	8	8	1
69.469	5.699	1	PicY	Eng/pet.bmp	Eng/net.bmp	1491	7	7	1
75.168	5.716	1	PicY	Eng/kick.bmp	Eng/lick.bmp	1288	7	7	1
80.884	5.199	5	PercY	Eng/perc_squeeze_pink.bmp	Eng/perc_squeeze_pink.bmp	668	n/a	7	n/a
86.083	6.183	6	PercN	Eng/perc_bridge_white.bmp	Eng/perc_climb_brown.bmp	757	n/a	8	n/a
92.266	5.216	3	PicN	Eng/whale.bmp	Eng/rake.bmp	1990	8	8	1
97.482	5.199	1	PicY	Eng/bear.bmp	Eng/pear.bmp	1126	7	7	1
102.681	6.199	5	PercY	Eng/perc_jar_brown.bmp	Eng/perc_jar_brown.bmp	783	n/a	7	n/a
108.88	6.216	3	PicN	Eng/squeeze.bmp	Eng/bread.bmp	1960	8	8	1
115.096	6.199	6	PercN	Eng/perc_bat_brown.bmp	Eng/perc_trip_white.bmp	720	n/a	8	n/a
121.295	6.2	3	PicN	Eng/vest.bmp	Eng/bat.bmp	2208	8	8	1
127.495	5.216	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	729	n/a	8	n/a
132.711	6.216	1	PicY	Eng/wrench.bmp	Eng/bench.bmp	1441	7	7	1
138.927	5.699	3	PicN	Eng/read.bmp	Eng/drive.bmp	1977	8	8	1
144.626	5.716	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	773	n/a	7	n/a
150.342	5.699	5	PercY	Eng/perc_shark_brown.bmp	Eng/perc_shark_brown.bmp	1105	7	7	1
156.041	5.199	6	PercN	Eng/perc_bite_white.bmp	Eng/perc_bride_pink.bmp	798	n/a	8	n/a
161.24	6.216	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	935	n/a	8	n/a
167.456	6.199	1	PicY	Eng/bark.bmp	Eng/shark.bmp	2103	7	7	1
173.655	5.2	1	PicY	Eng/box.bmp	Eng/fox.bmp	896	n/a	7	n/a
178.855	6.216	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	697	n/a	7	n/a
185.071	5.199	6	PercN	Eng/perc_rake_pink.bmp	Eng/perc_shell_brown.bmp	889	n/a	8	n/a
190.27	6.199	3	PicN	Eng/shell.bmp	Eng/heart.bmp	1241	8	8	1
196.469	5.199	8	FixN	Gen/_Fix_Green.bmp	Gen/_Fix_Red.bmp	682	n/a	8	n/a
201.668	5.716	1	PicY	Eng/match.bmp	Eng/catch.bmp	1163	7	7	1
207.384	5.7	7	FixY	Gen/_Fix_Green.bmp	Gen/_Fix_Green.bmp	776	n/a	7	n/a
213.084	5.715	6	PercN	Eng/perc_kick_pink.bmp	Eng/perc_bench_white.bmp	1372	8	8	1
218.799	5.183	1	PicY	Eng/slide.bmp	Eng/bride.bmp	960	n/a	7	n/a
223.982	5.699	3	PicN	Eng/cork.bmp	Eng/hair.bmp	2193	8	8	1
229.681	5.2	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	975	n/a	7	n/a
234.881	5.716	3	PicN	Eng/jar.bmp	Eng/dress.bmp	2542	8	8	1
240.597	5.699	1	PicY	Eng/bite.bmp	Eng/kite.bmp	1011	7	7	1
246.296	5.199	5	PercY	Eng/perc_net_white.bmp	Eng/perc_net_white.bmp	759	n/a	7	n/a
251.495	6.216	7	FixY	Gen/_Fix_Red.bmp	Gen/_Fix_Red.bmp	833	n/a	7	n/a
257.711	6.199	5	PercY	Eng/perc_catch_pink.bmp	Eng/perc_catch_pink.bmp	936	n/a	7	n/a
263.91	6.216	8	FixN	Gen/_Fix_Red.bmp	Gen/_Fix_Green.bmp	1169	8	8	1
270.126	4.716	3	PicN	Eng/serve.bmp	Eng/pipe.bmp	1745	7	8	0
