onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	5	0	n/a	blackcross.wav	blackcross.wav
4.82	4.4	2	1	1.789	post.wav	cost.wav
9.238	5.2	2	1	2.271	smooth.wav	tooth.wav
14.458999999999996	4.4	4	0	1.762	swap.wav	watch.wav
18.876999999999995	4.4	5	1	1.616	blackcross.wav	blackcross.wav
23.294999999999995	4.0	5	1	1.511	blackcross.wav	blackcross.wav
27.311999999999998	4.8	5	1	1.446	blackcross.wav	blackcross.wav
32.13099999999999	4.4	5	1	1.603	blackcross.wav	blackcross.wav
36.550000000000004	4.0	5	1	1.79	blackcross.wav	blackcross.wav
40.565999999999995	4.8	4	1	1.888	thief.wav	plead.wav
45.386	4.0	6	1	2.158	l.wav	d.wav
49.401999999999994	4.8	4	1	1.771	glow.wav	stove.wav
54.222	4.0	4	1	1.853	port.wav	warm.wav
58.23799999999999	4.4	5	1	1.897	blackcross.wav	blackcross.wav
62.657000000000004	4.0	2	1	1.573	fought.wav	drought.wav
66.673	4.0	5	0	n/a	blackcross.wav	blackcross.wav
70.689	4.0	6	1	1.669	v.wav	w.wav
74.70599999999999	4.0	1	1	2.757	glide.wav	bride.wav
78.72200000000001	4.8	2	1	2.37	scratch.wav	watch.wav
83.542	4.4	4	1	1.608	trial.wav	fall.wav
87.96000000000001	4.4	4	1	1.785	wreath.wav	leap.wav
92.37799999999999	4.8	2	1	2.166	both.wav	cloth.wav
97.19800000000001	4.4	6	1	1.798	r.wav	s.wav
101.61600000000001	4.0	4	1	2.205	grace.wav	fence.wav
105.63300000000001	4.8	5	1	2.067	blackcross.wav	blackcross.wav
110.452	4.4	2	1	1.711	pool.wav	wool.wav
114.87	4.4	1	1	1.595	shove.wav	glove.wav
119.28900000000002	4.0	5	1	2.507	blackcross.wav	blackcross.wav
123.305	4.0	1	0	1.597	scheme.wav	theme.wav
127.321	4.0	5	0	n/a	blackcross.wav	blackcross.wav
131.338	4.8	4	0	1.589	cream.wav	swarm.wav
136.15800000000002	4.0	6	1	2.403	k.wav	t.wav
140.174	4.4	1	1	1.679	harm.wav	farm.wav
144.592	4.0	5	1	2.214	blackcross.wav	blackcross.wav
148.609	4.4	6	1	1.957	i.wav	j.wav
153.02700000000002	4.0	5	1	2.27	blackcross.wav	blackcross.wav
157.043	4.0	3	1	2.799	june.wav	noon.wav
161.06	4.4	5	1	2.065	blackcross.wav	blackcross.wav
165.478	4.0	1	1	1.827	pile.wav	mile.wav
169.494	4.4	1	1	1.575	sweep.wav	creep.wav
173.912	4.0	3	1	1.737	stool.wav	rule.wav
177.929	4.0	5	1	2.32	blackcross.wav	blackcross.wav
181.945	4.4	5	1	2.318	blackcross.wav	blackcross.wav
186.363	4.0	5	1	1.667	blackcross.wav	blackcross.wav
190.38	4.0	5	1	1.598	blackcross.wav	blackcross.wav
194.39600000000002	4.4	5	1	1.942	blackcross.wav	blackcross.wav
198.814	4.4	3	1	1.611	pile.wav	trial.wav
203.233	4.8	6	0	1.614	z.wav	g.wav
208.052	4.8	5	1	2.274	blackcross.wav	blackcross.wav
212.872	4.4	4	1	2.374	gross.wav	post.wav
217.29	4.8	3	0	1.629	wheel.wav	deal.wav
222.10999999999999	4.8	3	0	2.045	flight.wav	spite.wav
226.92999999999998	4.8	2	1	1.641	tomb.wav	comb.wav
231.749	4.0	6	0	2.249	k.wav	l.wav
235.766	4.4	6	1	2.278	a.wav	b.wav
240.184	4.4	3	1	1.909	bluff.wav	tough.wav
244.602	4.0	5	1	1.801	blackcross.wav	blackcross.wav
248.619	4.0	3	1	1.644	chase.wav	grace.wav
252.63500000000002	4.4	3	1	1.501	roast.wav	ghost.wav
257.053	4.0	5	1	2.102	blackcross.wav	blackcross.wav
261.07	4.8	6	1	2.243	w.wav	e.wav
265.88899999999995	4.4	2	0	1.503	swarm.wav	harm.wav
270.30699999999996	4.4	1	1	1.685	goat.wav	float.wav
274.726	4.4	6	1	2.095	m.wav	n.wav
279.14399999999995	4.8	3	1	1.623	stir.wav	blur.wav
283.96299999999997	4.8	5	1	2.503	blackcross.wav	blackcross.wav
288.78299999999996	4.0	5	1	1.899	blackcross.wav	blackcross.wav
292.79999999999995	4.4	2	0	2.031	threat.wav	wheat.wav
297.21799999999996	4.8	6	1	2.372	j.wav	b.wav
302.037	4.4	4	1	2.073	youth.wav	hint.wav
306.455	4.4	6	1	1.586	a.wav	s.wav
310.87399999999997	4.8	5	1	1.906	blackcross.wav	blackcross.wav
315.693	4.0	3	1	1.557	quart.wav	port.wav
319.71	4.4	3	1	1.429	soup.wav	loop.wav
324.128	5.2	4	1	1.484	stamp.wav	tomb.wav
329.349	4.8	1	0	1.662	neat.wav	wheat.wav
334.169	4.8	1	0	1.191	strap.wav	gap.wav
338.989	4.4	2	1	1.753	dose.wav	pose.wav
343.407	4.8	4	0	2.05	flight.wav	threat.wav
348.227	4.8	4	1	1.483	rule.wav	blur.wav
353.046	4.0	5	1	1.967	blackcross.wav	blackcross.wav
357.063	4.4	5	1	1.968	blackcross.wav	blackcross.wav
361.481	4.8	5	1	2.012	blackcross.wav	blackcross.wav
366.301	5.2	1	1	1.521	bull.wav	full.wav
