onset	duration	trial	value	instruction
5305	6	1	1	rest
11202	1	1	2	ready
12235	6	1	3	task
18169	8	1	4	interval
26248	6	2	1	rest
32227	1	2	2	ready
33232	6	2	3	task
39173	8	2	4	interval
47251	6	3	1	rest
53217	1	3	2	ready
54253	6	3	3	task
60184	8	3	4	interval
68260	6	4	1	rest
74219	1	4	2	ready
75252	6	4	3	task
81182	8	4	4	interval
89261	6	5	1	rest
95248	1	5	2	ready
96233	6	5	3	task
102186	8	5	4	interval
110255	6	6	1	rest
116220	1	6	2	ready
117228	6	6	3	task
123182	8	6	4	interval
131261	6	7	1	rest
137219	1	7	2	ready
138253	6	7	3	task
144187	8	7	4	interval
152267	6	8	1	rest
158234	1	8	2	ready
159250	6	8	3	task
165188	8	8	4	interval
173266	6	9	1	rest
179227	1	9	2	ready
180239	6	9	3	task
186193	8	9	4	interval
194263	6	10	1	rest
200230	1	10	2	ready
201267	6	10	3	task
207191	8	10	4	interval
215264	6	11	1	rest
221231	1	11	2	ready
222258	6	11	3	task
228187	8	11	4	interval
236267	6	12	1	rest
242246	1	12	2	ready
243261	6	12	3	task
249195	8	12	4	interval
257269	6	13	1	rest
263260	1	13	2	ready
264261	6	13	3	task
270195	8	13	4	interval
278273	6	14	1	rest
284277	1	14	2	ready
285256	6	14	3	task
291195	8	14	4	interval
299269	6	15	1	rest
305244	1	15	2	ready
306254	6	15	3	task
312198	8	15	4	interval
320273	6	16	1	rest
326231	1	16	2	ready
327261	6	16	3	task
333199	8	16	4	interval
341279	6	17	1	rest
347269	1	17	2	ready
348264	6	17	3	task
354203	8	17	4	interval
362282	6	18	1	rest
368243	1	18	2	ready
369253	6	18	3	task
375204	8	18	4	interval
383282	6	19	1	rest
389268	1	19	2	ready
390262	6	19	3	task
396210	8	19	4	interval
404289	6	20	1	rest
410267	1	20	2	ready
411258	6	20	3	task
417212	8	20	4	interval
