onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
3.252	2.9549	0.1611	0	-14.3333	7.7708	client_2	reject	positive
10.752	2.9549	-0.2659	0	22.6667	-2.2292	client_2	accept	negative
18.252	2.9549	0.1681	0	8.6667	-13.2292	client_1	accept	positive
25.002	2.9549	-0.1449	0	1.6667	-24.2292	client_1	reject	positive
32.252	2.9549	-0.2599	0	-5.3333	-6.2292	client_2	reject	positive
38.752	2.9549	-0.3479	0	3.6667	10.7708	client_1	accept	positive
45.002	2.9549	-0.2819	0	-11.3333	-0.2292	client_1	reject	positive
51.502	2.9549	-0.0439	0	-8.3333	10.7708	client_1	accept	positive
58.002	2.9549	-0.1639	0	15.6667	0.7708	client_2	accept	negative
66.002	2.9549	0.1661	0	10.6667	2.7708	client_2	accept	negative
73.002	2.9549	-0.2849	0	-5.3333	-6.2292	client_1	reject	positive
80.252	2.9549	-0.1459	0	1.6667	11.7708	client_2	accept	positive
86.002	2.9549	-0.2249	0	-12.3333	0.7708	client_1	reject	positive
93.252	2.9549	-0.3609	0	-16.3333	-6.2292	client_1	reject	positive
100.252	2.9549	-0.3569	0	-20.3333	7.7708	client_2	reject	positive
111.752	2.9549	-0.1209	0	-4.3333	-18.2292	client_1	reject	positive
120.002	2.9549	0.8761	0	2.6667	-7.2292	client_1	accept	positive
126.502	2.9549	0.0491	0	14.6667	3.7708	client_2	accept	positive
134.752	2.9549	-0.2259	0	-5.3333	-17.2292	client_1	reject	positive
142.502	2.9549	-0.2969	0	-0.3333	12.7708	client_2	accept	positive
150.752	2.9549	-0.2579	0	-4.3333	11.7708	client_2	accept	positive
156.502	2.9549	0.2281	0	12.6667	-22.2292	client_1	reject	positive
165.002	2.9549	0.0071	0	17.6667	2.7708	client_1	accept	positive
175.002	2.9549	0.2641	0	-8.3333	1.7708	client_1	accept	positive
182.502	2.9549	-0.0599	0	-1.3333	-4.2292	client_1	accept	positive
190.752	2.9549	0.6721	0	0.6667	6.7708	client_2	reject	positive
196.502	2.9549	-0.0739	0	-10.3333	13.7708	client_2	accept	positive
204.252	2.9549	-0.1749	0	-21.3333	8.7708	client_1	reject	positive
210.752	2.9549	-0.2119	0	-21.3333	-1.2292	client_1	reject	positive
216.752	2.9549	0.0621	0	11.6667	4.7708	client_2	accept	positive
224.002	2.9549	0.0191	0	-9.3333	2.7708	client_1	accept	positive
235.002	2.9549	0.2541	0	-11.3333	4.7708	client_2	reject	positive
242.002	2.9549	0.5261	0	16.6667	-20.2292	client_1	reject	negative
248.252	2.9549	0.9791	0	-1.3333	9.7708	client_2	accept	positive
253.752	2.9549	-0.2299	0	-16.3333	18.7708	client_2	accept	positive
262.252	2.9549	0.6211	0	24.6667	-0.2292	client_2	reject	negative
270.002	2.9549	0.1851	0	22.6667	-2.2292	client_1	accept	positive
275.502	2.9549	0.5521	0	5.6667	-28.2292	client_2	reject	positive
281.752	2.9549	-0.2979	0	0.6667	12.7708	client_2	accept	positive
291.752	2.9549	1.5451	1	18.6667	-27.2292	client_1	n/a	negative
298.002	2.9549	-0.1019	0	7.6667	9.7708	client_2	accept	positive
310.502	2.9549	-0.2829	0	-11.3333	-11.2292	client_2	reject	positive
317.252	2.9549	-0.3449	0	9.6667	5.7708	client_1	accept	positive
325.252	2.9549	-0.4249	0	-2.3333	13.7708	client_1	accept	positive
333.502	2.9549	-0.0769	0	-20.3333	-2.2292	client_1	reject	positive
340.252	2.9549	-0.0699	0	-1.3333	12.7708	client_2	accept	positive
352.752	2.9549	0.6161	0	13.6667	1.7708	client_2	accept	negative
358.502	2.9549	-0.2749	0	-0.3333	7.7708	client_2	accept	negative
