onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.752	2.9851	0.1149	0	13.9583	-16.7917	client_1	accept	positive
7.502	2.9851	-0.0141	0	5.9583	10.2083	client_2	accept	positive
13.502	2.9851	-0.0591	0	13.9583	4.2083	client_2	accept	positive
23.502	2.9851	-0.0631	0	7.9583	-11.7917	client_1	accept	positive
30.002	2.9851	-0.0081	0	24.9583	-0.7917	client_1	accept	positive
39.002	2.9851	0.0149	0	-15.0417	3.2083	client_1	reject	positive
45.252	2.9851	0.0249	0	17.9583	0.2083	client_2	accept	negative
53.252	2.9851	-0.1871	0	-23.0417	10.2083	client_1	reject	positive
59.002	2.9851	0.1479	0	-4.0417	9.2083	client_2	reject	positive
65.752	2.9851	-0.2061	0	-12.0417	12.2083	client_1	accept	positive
72.252	2.9851	-0.2991	0	12.9583	7.2083	client_1	accept	positive
78.252	2.9851	0.1629	0	18.9583	-0.7917	client_2	accept	negative
84.502	2.9851	0.0689	0	-14.0417	-7.7917	client_1	reject	positive
90.752	2.9851	-0.0751	0	-11.0417	-10.7917	client_2	reject	positive
99.002	2.9851	-0.3491	0	28.9583	-1.7917	client_1	accept	positive
104.752	2.9851	-0.0561	0	-23.0417	16.2083	client_1	accept	positive
112.752	2.9851	-0.0111	0	18.9583	-21.7917	client_1	accept	positive
125.252	2.9851	0.0389	0	0.9583	-5.7917	client_2	reject	positive
132.502	2.9851	-0.0061	0	26.9583	-0.7917	client_2	reject	negative
142.502	2.9851	0.5169	0	-11.0417	11.2083	client_2	accept	negative
154.502	2.9851	-0.0881	0	20.9583	1.2083	client_2	accept	positive
161.502	2.9851	-0.1851	0	-13.0417	-8.7917	client_1	reject	positive
167.502	2.9851	-0.3141	0	-18.0417	-3.7917	client_1	reject	positive
178.002	2.9851	-0.1341	0	3.9583	11.2083	client_2	accept	positive
187.252	2.9851	0.0999	0	-16.0417	9.2083	client_1	accept	positive
193.752	2.9851	-0.1601	0	-15.0417	18.2083	client_1	accept	positive
201.252	2.9851	0.6959	0	0.9583	-10.7917	client_1	accept	negative
207.502	2.9851	-0.1691	0	2.9583	-24.7917	client_2	reject	positive
218.002	2.9851	-0.0881	0	-13.0417	18.2083	client_2	accept	positive
223.502	2.9851	-0.2371	0	12.9583	7.2083	client_2	accept	positive
230.752	2.9851	-0.0241	0	1.9583	-11.7917	client_1	accept	negative
237.002	2.9851	-0.1401	0	8.9583	-30.7917	client_1	reject	positive
242.752	2.9851	-0.0301	0	-14.0417	13.2083	client_2	accept	negative
254.752	2.9851	-0.1641	0	-9.0417	11.2083	client_1	accept	positive
261.002	2.9851	-0.0781	0	-20.0417	13.2083	client_1	accept	positive
270.252	2.9851	-0.1661	0	-15.0417	15.2083	client_2	accept	positive
276.752	2.9851	-0.0241	0	-11.0417	-10.7917	client_1	reject	positive
286.752	2.9851	0.1679	0	2.9583	-12.7917	client_1	reject	positive
294.752	2.9851	-0.0211	0	-12.0417	17.2083	client_2	accept	positive
306.252	2.9851	0.8219	0	9.9583	-18.7917	client_1	reject	positive
312.253	2.9851	-0.0601	0	-9.0417	16.2083	client_2	accept	positive
318.752	2.9851	-0.1431	0	4.9583	-26.7917	client_1	reject	positive
324.502	2.9851	0.0229	0	-11.0417	0.2083	client_2	reject	positive
330.002	2.9851	-0.2361	0	10.9583	-14.7917	client_2	reject	positive
337.752	2.9851	0.6039	0	11.9583	5.2083	client_2	accept	positive
346.502	2.9851	0.9639	0	-3.0417	8.2083	client_2	accept	negative
353.752	2.9851	-0.2951	0	21.9583	1.2083	client_2	accept	positive
361.002	2.9851	-0.3721	0	-15.0417	3.2083	client_2	reject	positive
