onset	duration	normalized_rt	gains	losses	missing_trials	outcome
2.502	1.0854	-0.0844	6.0	-1.0	0	accept
13.002	1.0854	-0.3804	14.0	5.0	0	accept
18.502	1.0854	-0.5334	-10.0	1.0	0	accept
26.002	1.0854	0.0126	-10.0	-5.0	0	reject
36.252	1.0854	-0.3614	-2.0	1.0	0	accept
39.752	1.0854	-0.1894	-10.0	5.0	0	accept
45.502	1.0854	0.0736	-14.0	-5.0	0	reject
52.752	1.0854	-0.1534	-14.0	-1.0	0	reject
60.752	1.0854	0.7406	2.0	-5.0	0	accept
71.252	1.0854	0.3296	-14.0	1.0	0	reject
75.752	1.0854	0.4106	2.0	-7.0	0	accept
84.252	1.0854	-0.0024	-10.0	-7.0	0	reject
89.002	1.0854	-0.0244	-14.0	7.0	0	accept
92.503	1.0854	-0.3974	2.0	3.0	0	accept
96.752	1.0854	-0.3214	-10.0	3.0	0	accept
100.502	1.0854	-0.3774	14.0	-1.0	0	accept
104.752	1.0854	0.1986	2.0	-3.0	0	accept
109.502	1.0854	-0.1594	2.0	-1.0	0	accept
116.502	1.0854	-0.0194	10.0	-5.0	0	accept
120.752	1.0854	-0.1974	-6.0	1.0	0	accept
125.002	1.0854	0.1066	-14.0	5.0	0	accept
128.752	1.0854	-0.1894	10.0	3.0	0	accept
136.252	1.0854	-0.3034	14.0	3.0	0	accept
142.252	1.0854	-0.4724	-2.0	5.0	0	accept
146.502	1.0854	-0.2124	10.0	1.0	0	accept
154.002	1.0854	0.1506	10.0	-1.0	0	accept
158.502	1.0854	0.1706	-2.0	-7.0	0	accept
162.502	1.0854	0.0466	6.0	-5.0	0	accept
167.252	1.0854	-0.2604	-2.0	7.0	0	accept
171.002	1.0854	-0.4784	6.0	7.0	0	accept
177.002	1.0854	-0.1154	2.0	1.0	0	accept
185.252	1.0854	0.1836	-2.0	-1.0	0	accept
189.002	1.0854	0.0046	-6.0	-1.0	0	accept
192.752	1.0854	0.0286	14.0	-3.0	0	accept
197.502	1.0854	-0.4294	6.0	5.0	0	accept
204.002	1.0854	0.3706	14.0	-7.0	0	accept
208.502	1.0854	0.0106	10.0	-7.0	0	accept
212.252	1.0854	-0.1264	-2.0	-5.0	0	accept
215.752	1.0854	0.9866	-14.0	-7.0	0	reject
219.252	1.0854	0.1176	-14.0	-3.0	0	reject
228.502	1.0854	0.0876	14.0	1.0	0	accept
233.502	1.0854	0.2896	6.0	1.0	0	accept
240.502	1.0854	0.0596	14.0	-5.0	0	accept
247.002	1.0854	-0.3914	10.0	7.0	0	accept
252.002	1.0854	-0.3854	6.0	3.0	0	accept
256.002	1.0854	0.1796	-6.0	7.0	0	accept
259.502	1.0854	0.0266	6.0	-7.0	0	accept
263.502	1.0854	1.1776	-6.0	-5.0	0	accept
269.502	1.0854	0.7586	-10.0	-1.0	0	accept
277.502	1.0854	-0.1014	2.0	5.0	0	accept
281.502	1.0854	-0.1614	2.0	7.0	0	accept
286.002	1.0854	0.0726	-6.0	3.0	0	accept
290.002	1.0854	1.3486	-14.0	3.0	0	reject
298.752	1.0854	0.2226	-10.0	-3.0	0	reject
305.502	1.0854	-0.5044	14.0	7.0	0	accept
309.502	1.0854	-0.2474	-10.0	7.0	0	accept
314.502	1.0854	0.0066	6.0	-3.0	0	accept
318.502	1.0854	0.0196	-6.0	-7.0	0	reject
325.002	1.0854	0.5066	-2.0	3.0	0	accept
332.002	1.0854	1.4146	-6.0	-3.0	1	n/a
342.252	1.0854	-0.3424	10.0	-3.0	0	accept
346.002	1.0854	0.1096	-6.0	5.0	0	accept
349.752	1.0854	-0.3854	-2.0	-3.0	0	accept
360.252	1.0854	-0.5014	10.0	5.0	0	accept
