onset	duration	client	gains	losses	outcome	missing_trials	normalized_rt
1.752	2.0071	client_2	-9.75	0.125	accept	0	0.2569
7.752	2.0071	client_2	-9.75	-1.875	reject	0	-0.0911
16.752	2.0071	client_2	6.25	-7.875	accept	0	1.0979
22.002	2.0071	client_2	-5.75	-5.875	reject	0	-0.2411
27.002	2.0071	client_2	10.25	6.125	accept	0	-0.2691
32.002	2.0071	client_2	14.25	4.125	accept	0	-0.2981
36.752	2.0071	client_2	10.25	4.125	accept	0	-0.4981
45.752	2.0071	client_2	-13.75	-3.875	reject	0	-0.1841
55.002	2.0071	client_1	-1.75	6.125	accept	0	-0.5121
61.752	2.0071	client_1	-5.75	2.125	accept	0	-0.4121
69.252	2.0071	client_2	10.25	-1.875	accept	0	-0.0641
78.002	2.0071	client_2	-5.75	6.125	accept	0	-0.3811
85.002	2.0071	client_1	-9.75	0.125	accept	0	1.0459
90.752	2.0071	client_2	2.25	0.125	accept	0	0.9539
95.252	2.0071	client_1	14.25	2.125	accept	0	-0.5441
101.252	2.0071	client_1	-5.75	-5.875	reject	0	-0.1141
107.002	2.0071	client_1	2.25	-5.875	accept	0	0.2079
112.252	2.0071	client_1	-1.75	4.125	accept	0	-0.3341
118.002	2.0071	client_1	-9.75	-1.875	reject	0	-0.1221
127.502	2.0071	client_2	10.25	2.125	accept	0	-0.4451
136.002	2.0071	client_1	-9.75	-5.875	reject	0	-0.2301
143.502	2.0071	client_2	10.25	-7.875	accept	0	1.3709
151.252	2.0071	client_2	-13.75	2.125	reject	0	0.6049
157.252	2.0071	client_2	14.25	-5.875	n/a	1	1.4929
162.752	2.0071	client_2	-1.75	0.125	accept	0	-0.0251
167.502	2.0071	client_2	-9.75	-5.875	reject	0	-0.0661
172.502	2.0071	client_2	-5.75	-7.875	reject	0	-0.2371
179.252	2.0071	client_2	6.25	6.125	accept	0	-0.4561
185.252	2.0071	client_1	14.25	6.125	accept	0	-0.2991
196.752	2.0071	client_2	10.25	-5.875	accept	0	0.2439
202.502	2.0071	client_1	2.25	-3.875	accept	0	0.1599
207.252	2.0071	client_2	-9.75	2.125	accept	0	-0.2411
217.752	2.0071	client_1	-13.75	2.125	reject	0	1.4769
225.002	2.0071	client_2	6.25	0.125	accept	0	-0.1581
231.502	2.0071	client_1	-5.75	6.125	accept	0	-0.4021
237.002	2.0071	client_2	14.25	0.125	accept	0	-0.2231
247.252	2.0071	client_1	10.25	-1.875	accept	0	-0.1481
253.252	2.0071	client_1	14.25	-3.875	accept	0	-0.4111
258.252	2.0071	client_1	-13.75	-1.875	reject	0	-0.2421
265.752	2.0071	client_2	-5.75	4.125	accept	0	-0.3521
270.252	2.0071	client_2	-13.75	-1.875	reject	0	-0.3411
275.002	2.0071	client_2	-13.75	4.125	reject	0	0.4629
283.502	2.0071	client_2	-1.75	-1.875	reject	0	1.4589
288.502	2.0071	client_2	10.25	-3.875	accept	0	-0.3911
296.502	2.0071	client_2	-9.75	6.125	accept	0	-0.3811
301.502	2.0071	client_1	-5.75	0.125	accept	0	1.1259
307.752	2.0071	client_1	2.25	2.125	accept	0	-0.4551
313.002	2.0071	client_1	6.25	4.125	accept	0	-0.6041
318.502	2.0071	client_2	-1.75	6.125	accept	0	-0.5101
323.252	2.0071	client_1	-1.75	-5.875	n/a	1	1.4929
331.002	2.0071	client_1	-13.75	-5.875	reject	0	-0.1071
340.752	2.0071	client_1	6.25	-3.875	accept	0	-0.2501
346.502	2.0071	client_1	-9.75	2.125	accept	0	0.3859
354.252	2.0071	client_1	6.25	6.125	accept	0	-0.5491
359.002	2.0071	client_1	-9.75	4.125	accept	0	-0.0961
364.002	2.0071	client_1	-5.75	-1.875	accept	0	0.7929
368.752	2.0071	client_1	10.25	0.125	accept	0	-0.2121
376.002	2.0071	client_1	6.25	-7.875	accept	0	0.9799
381.752	2.0071	client_1	6.25	2.125	accept	0	-0.5041
386.502	2.0071	client_1	14.25	4.125	accept	0	-0.2661
392.002	2.0071	client_1	10.25	2.125	accept	0	-0.5341
399.002	2.0071	client_1	-13.75	6.125	accept	0	0.5989
406.002	2.0071	client_2	6.25	-1.875	accept	0	0.2129
413.752	2.0071	client_2	2.25	4.125	accept	0	-0.2321
