onset	duration	normalized_rt	missing_trials	gain	loss	client	investment_suggestion	feedback
1.752	2.9824	0.0686	0	-10.8125	-11.7917	client_1	reject	positive
7.502	2.9824	-0.0734	0	5.1875	-14.7917	client_1	accept	negative
16.252	2.9824	0.0406	0	11.1875	9.2083	client_2	accept	positive
23.502	2.9824	-0.3374	0	-16.8125	17.2083	client_2	accept	positive
31.502	2.9824	-0.1874	0	-4.8125	-5.7917	client_2	reject	positive
37.252	2.9824	0.0066	0	22.1875	1.2083	client_2	accept	positive
43.252	2.9824	-0.2144	0	-8.8125	14.2083	client_2	accept	positive
49.502	2.9824	0.0166	0	17.1875	3.2083	client_1	accept	positive
59.002	2.9824	-0.2114	0	-1.8125	-20.7917	client_1	reject	positive
68.252	2.9824	-0.1994	0	-18.8125	6.2083	client_1	reject	positive
73.752	2.9824	0.6216	0	4.1875	6.2083	client_2	accept	negative
79.752	2.9824	0.2626	0	-8.8125	11.2083	client_2	reject	positive
85.752	2.9824	0.4666	0	10.1875	4.2083	client_2	accept	negative
95.252	2.9824	0.5016	0	10.1875	-19.7917	client_1	accept	negative
102.502	2.9824	-0.1154	0	-2.8125	-19.7917	client_1	reject	positive
111.502	2.9824	-0.1424	0	26.1875	0.2083	client_2	accept	positive
119.252	2.9824	0.1246	0	0.1875	-5.7917	client_1	accept	positive
125.752	2.9824	-0.0744	0	-7.8125	16.2083	client_2	accept	positive
138.252	2.9824	-0.3324	0	-10.8125	18.2083	client_2	accept	positive
148.252	2.9824	0.0196	0	7.1875	7.2083	client_2	accept	positive
157.252	2.9824	-0.1774	0	-12.8125	6.2083	client_1	accept	positive
165.252	2.9824	-0.2514	0	-15.8125	9.2083	client_1	accept	positive
173.252	2.9824	-0.1094	0	-8.8125	17.2083	client_2	accept	positive
179.752	2.9824	0.2026	0	14.1875	-22.7917	client_2	reject	positive
186.502	2.9824	-0.1814	0	6.1875	11.2083	client_1	accept	positive
194.252	2.9824	0.1366	0	-20.8125	13.2083	client_2	reject	positive
200.002	2.9824	0.1456	0	1.1875	7.2083	client_2	accept	negative
206.502	2.9824	-0.1534	0	8.1875	5.2083	client_2	reject	positive
217.752	2.9824	0.0626	0	6.1875	-10.7917	client_1	accept	positive
228.502	2.9824	-0.2624	0	-19.8125	-2.7917	client_2	reject	positive
235.752	2.9824	0.2386	0	-13.8125	19.2083	client_2	accept	positive
243.252	2.9824	-0.2464	0	-7.8125	2.2083	client_1	accept	positive
254.252	2.9824	-0.0564	0	3.1875	-25.7917	client_2	reject	positive
262.502	2.9824	0.4906	0	-17.8125	15.2083	client_2	accept	negative
268.002	2.9824	-0.1774	0	-1.8125	-3.7917	client_1	accept	positive
275.002	2.9824	-0.2604	0	-9.8125	17.2083	client_1	accept	positive
281.252	2.9824	-0.0684	0	25.1875	0.2083	client_1	accept	positive
290.252	2.9824	-0.0664	0	-8.8125	2.2083	client_2	reject	positive
297.252	2.9824	-0.2054	0	-18.8125	-3.7917	client_1	reject	positive
308.002	2.9824	-0.2064	0	-7.8125	-14.7917	client_1	reject	positive
314.002	2.9824	-0.1494	0	18.1875	-26.7917	client_1	reject	positive
320.002	2.9824	-0.2034	0	-5.8125	-5.7917	client_1	reject	positive
325.752	2.9824	0.7236	0	8.1875	7.2083	client_2	accept	positive
333.002	2.9824	0.7296	0	7.1875	10.2083	client_2	accept	positive
338.752	2.9824	-0.2104	0	20.1875	0.2083	client_1	accept	positive
347.252	2.9824	-0.0714	0	5.1875	-27.7917	client_1	reject	positive
354.002	2.9824	-0.0244	0	22.1875	-0.7917	client_1	accept	positive
360.002	2.9824	0.1086	0	3.1875	-13.7917	client_1	reject	positive
