onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	12	clip	94	F
54	8	clip	46	F
70	12	clip	70	F
92	8	clip	6	F
110	12	clip	26	R
138	12	clip	86	F
166	8	clip	35	F
184	16	clip	101	F
208	8	clip	42	F
224	12	clip	40	F
244	8	clip	113	mono
260	12	clip	43	F
282	8	clip	115	mono
306	8	clip	61	F
324	16	clip	108	F
350	12	clip	74	X
372	12	clip	85	R
400	8	clip	23	F
420	8	clip	56	F
442	12	clip	7	F
464	8	clip	119	mono
480	48	Go_NoGo	-1	Go_NoGo
536	12	clip	33	F
556	8	clip	16	F
578	12	clip	80	X
598	16	clip	100	X
626	8	clip	51	F
644	12	clip	3	F
664	8	clip	122	mono
684	12	clip	36	X
704	12	clip	66	F
728	8	clip	64	F
744	12	clip	84	F
770	12	clip	47	F
798	12	clip	15	F
824	8	clip	121	mono
842	8	clip	118	mono
864	8	clip	114	mono
880	12	clip	68	X
902	12	clip	30	F
926	16	clip	98	X
952	12	clip	75	F
972	12	clip	88	X
994	48	Go_NoGo	-1	Go_NoGo
1050	12	clip	89	R
1070	12	clip	29	F
1092	12	clip	9	R
1114	12	clip	18	F
1138	12	clip	13	F
1164	12	clip	1	F
1184	16	clip	105	F
1208	12	clip	65	F
1234	8	clip	14	F
1250	8	clip	57	F
1266	12	clip	8	F
1286	12	clip	78	F
1306	12	clip	79	F
1330	8	clip	54	F
1350	8	clip	5	F
1374	8	clip	50	F
1398	16	clip	97	F
1422	16	clip	103	R
1452	8	clip	116	mono
1470	16	clip	106	F
1502	12	clip	96	F
1522	8	clip	60	R
