onset	duration	trial_type	clip_id	mem_type
10	16	adapt_clip	-1	adapt_clip
34	8	clip	59	X
52	12	clip	2	F
74	12	clip	72	F
94	8	clip	11	X
110	8	clip	124	mono
130	8	clip	4	F
154	8	clip	125	mono
170	8	clip	49	X
190	8	clip	120	mono
212	16	clip	104	F
236	12	clip	20	F
256	8	clip	22	F
274	12	clip	83	F
294	12	clip	87	X
314	12	clip	90	F
334	12	clip	67	F
362	16	clip	107	F
388	12	clip	76	F
414	8	clip	62	F
432	12	clip	92	X
454	16	clip	109	X
478	48	Go_NoGo	-1	Go_NoGo
534	8	clip	63	F
550	8	clip	10	F
570	12	clip	82	X
590	8	clip	44	F
606	8	clip	58	F
628	8	clip	126	mono
652	16	clip	112	F
684	12	clip	41	F
704	12	clip	81	X
726	12	clip	77	R
750	12	clip	27	F
776	12	clip	34	R
800	16	clip	99	R
830	8	clip	117	mono
846	12	clip	73	F
872	16	clip	102	X
900	12	clip	25	F
922	12	clip	48	F
950	8	clip	128	mono
968	12	clip	95	F
992	16	clip	110	F
1018	48	Go_NoGo	-1	Go_NoGo
1074	12	clip	91	F
1094	8	clip	123	mono
1110	8	clip	53	R
1126	12	clip	71	F
1148	12	clip	69	F
1170	8	clip	127	mono
1188	12	clip	32	R
1210	12	clip	38	F
1236	12	clip	45	R
1256	12	clip	12	R
1276	12	clip	93	X
1304	16	clip	111	F
1328	12	clip	21	F
1352	8	clip	55	F
1368	8	clip	52	F
1392	8	clip	19	F
1408	12	clip	31	R
1428	12	clip	39	F
1450	8	clip	28	R
1468	8	clip	17	F
1490	12	clip	24	F
1518	12	clip	37	F
