onset	duration	category
2354879	n/a	MRI_trigger
2365379	n/a	MRI_trigger
2375879	n/a	MRI_trigger
2386379	n/a	MRI_trigger
2396879	n/a	MRI_trigger
2407379	n/a	MRI_trigger
2417879	n/a	MRI_trigger
2428379	n/a	MRI_trigger
2438879	n/a	MRI_trigger
2449379	n/a	MRI_trigger
2459879	n/a	MRI_trigger
2470379	n/a	MRI_trigger
2480879	n/a	MRI_trigger
2491379	n/a	MRI_trigger
2501879	n/a	MRI_trigger
2512379	n/a	MRI_trigger
2522879	n/a	MRI_trigger
2533379	n/a	MRI_trigger
2543879	n/a	MRI_trigger
2554379	n/a	MRI_trigger
2564879	n/a	MRI_trigger
2575379	n/a	MRI_trigger
2585879	n/a	MRI_trigger
2596379	n/a	MRI_trigger
2606879	n/a	MRI_trigger
2617379	n/a	MRI_trigger
2627879	n/a	MRI_trigger
2638379	n/a	MRI_trigger
2648879	n/a	MRI_trigger
2659379	n/a	MRI_trigger
2669879	n/a	MRI_trigger
2680379	n/a	MRI_trigger
2690879	n/a	MRI_trigger
2701379	n/a	MRI_trigger
2711879	n/a	MRI_trigger
2722379	n/a	MRI_trigger
2732879	n/a	MRI_trigger
2743379	n/a	MRI_trigger
2753879	n/a	MRI_trigger
2764379	n/a	MRI_trigger
2774879	n/a	MRI_trigger
2785379	n/a	MRI_trigger
2795879	n/a	MRI_trigger
2806379	n/a	MRI_trigger
2816879	n/a	MRI_trigger
2827379	n/a	MRI_trigger
2837879	n/a	MRI_trigger
2848379	n/a	MRI_trigger
2858879	n/a	MRI_trigger
2869379	n/a	MRI_trigger
2879879	n/a	MRI_trigger
2890379	n/a	MRI_trigger
2900879	n/a	MRI_trigger
2911379	n/a	MRI_trigger
2921879	n/a	MRI_trigger
2932379	n/a	MRI_trigger
2942879	n/a	MRI_trigger
2953379	n/a	MRI_trigger
2963879	n/a	MRI_trigger
2974379	n/a	MRI_trigger
2984879	n/a	MRI_trigger
2995379	n/a	MRI_trigger
3005879	n/a	MRI_trigger
3016379	n/a	MRI_trigger
3026879	n/a	MRI_trigger
3037379	n/a	MRI_trigger
3047879	n/a	MRI_trigger
3058379	n/a	MRI_trigger
3068879	n/a	MRI_trigger
3079379	n/a	MRI_trigger
3089879	n/a	MRI_trigger
3100379	n/a	MRI_trigger
3110879	n/a	MRI_trigger
3121379	n/a	MRI_trigger
3131879	n/a	MRI_trigger
3142379	n/a	MRI_trigger
3152879	n/a	MRI_trigger
3163379	n/a	MRI_trigger
3173879	n/a	MRI_trigger
3184379	n/a	MRI_trigger
3194879	n/a	MRI_trigger
3205379	n/a	MRI_trigger
3215879	n/a	MRI_trigger
3226379	n/a	MRI_trigger
3236879	n/a	MRI_trigger
3247379	n/a	MRI_trigger
3257879	n/a	MRI_trigger
3268379	n/a	MRI_trigger
3278879	n/a	MRI_trigger
3289379	n/a	MRI_trigger
3299879	n/a	MRI_trigger
3310379	n/a	MRI_trigger
3320879	n/a	MRI_trigger
3331379	n/a	MRI_trigger
3341879	n/a	MRI_trigger
3352379	n/a	MRI_trigger
3362879	n/a	MRI_trigger
3373379	n/a	MRI_trigger
3383879	n/a	MRI_trigger
3394379	n/a	MRI_trigger
3404879	n/a	MRI_trigger
3415379	n/a	MRI_trigger
3425879	n/a	MRI_trigger
3436379	n/a	MRI_trigger
3446879	n/a	MRI_trigger
3457379	n/a	MRI_trigger
3467879	n/a	MRI_trigger
3478379	n/a	MRI_trigger
3488879	n/a	MRI_trigger
3499379	n/a	MRI_trigger
3509879	n/a	MRI_trigger
3520379	n/a	MRI_trigger
3530879	n/a	MRI_trigger
3541379	n/a	MRI_trigger
3551879	n/a	MRI_trigger
3562379	n/a	MRI_trigger
3572879	n/a	MRI_trigger
3583379	n/a	MRI_trigger
3593879	n/a	MRI_trigger
3604379	n/a	MRI_trigger
3614879	n/a	MRI_trigger
3625379	n/a	MRI_trigger
3635879	n/a	MRI_trigger
3646379	n/a	MRI_trigger
3656879	n/a	MRI_trigger
3667379	n/a	MRI_trigger
3677879	n/a	MRI_trigger
3688379	n/a	MRI_trigger
3698879	n/a	MRI_trigger
3709379	n/a	MRI_trigger
3719879	n/a	MRI_trigger
3730379	n/a	MRI_trigger
3740879	n/a	MRI_trigger
3751379	n/a	MRI_trigger
3761879	n/a	MRI_trigger
3772379	n/a	MRI_trigger
3782879	n/a	MRI_trigger
3793379	n/a	MRI_trigger
3803879	n/a	MRI_trigger
3814379	n/a	MRI_trigger
3824879	n/a	MRI_trigger
3835379	n/a	MRI_trigger
3845879	n/a	MRI_trigger
3856379	n/a	MRI_trigger
3866879	n/a	MRI_trigger
3877379	n/a	MRI_trigger
3887879	n/a	MRI_trigger
3898379	n/a	MRI_trigger
3908879	n/a	MRI_trigger
3919379	n/a	MRI_trigger
3929879	n/a	MRI_trigger
3940379	n/a	MRI_trigger
3950879	n/a	MRI_trigger
3961379	n/a	MRI_trigger
3971879	n/a	MRI_trigger
3982379	n/a	MRI_trigger
3992879	n/a	MRI_trigger
4003379	n/a	MRI_trigger
4013879	n/a	MRI_trigger
4024379	n/a	MRI_trigger
4034879	n/a	MRI_trigger
4045379	n/a	MRI_trigger
4055879	n/a	MRI_trigger
4066379	n/a	MRI_trigger
4076879	n/a	MRI_trigger
4087379	n/a	MRI_trigger
4097879	n/a	MRI_trigger
4108379	n/a	MRI_trigger
4118879	n/a	MRI_trigger
4129379	n/a	MRI_trigger
4139879	n/a	MRI_trigger
4150379	n/a	MRI_trigger
4160879	n/a	MRI_trigger
4171379	n/a	MRI_trigger
