onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1403.JPG	0	3#	New	1.248	0
3.5	3.5	First	stimuli/objects/setsof2/096b.jpg	96	3#	New	0.959	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1289.JPG	0	5%	None	1.748	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1038.JPG	0	3#	New	1.084	0
14.0	3.5	First	stimuli/objects/setsof2/192a.jpg	192	3#	New	0.979	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1413.JPG	0	3#	New	0.707	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1144.JPG	0	3#	New	0.738	0
24.5	3.5	Foil	stimuli/objects/foils/foil_1192.JPG	0	3#	New	0.985	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1631.JPG	0	3#	New	0.830	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1040.jpg	0	3#	New	0.648	0
35.0	3.5	First	stimuli/objects/setsof2/023a.jpg	23	3#	New	1.126	0
38.5	3.5	Repeat	stimuli/objects/setsof2/096b.jpg	96	1!	Old	1.101	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1059.JPG	0	3#	New	0.751	0
45.5	3.5	First	stimuli/objects/setsof2/092b.jpg	92	3#	New	0.776	0
49.0	3.5	First	stimuli/objects/setsof2/083b.jpg	83	3#	New	0.938	0
52.5	3.5	Lure	stimuli/objects/setsof2/192b.jpg	192	2@	Similar	1.356	2
56.0	3.5	Foil	stimuli/objects/foils/foil_1694.jpg	0	3#	New	1.327	0
59.5	3.5	First	stimuli/objects/setsof2/184b.jpg	184	3#	New	0.942	0
63.0	3.5	Foil	stimuli/objects/foils/foil_1246.JPG	0	3#	New	1.020	0
66.5	3.5	Foil	stimuli/objects/foils/foil_1645.JPG	0	3#	New	0.937	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1588.JPG	0	3#	New	0.964	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1523.JPG	0	3#	New	1.627	0
77.0	3.5	First	stimuli/objects/setsof2/149b.jpg	149	3#	New	0.755	0
80.5	3.5	Foil	stimuli/objects/foils/foil_1082.JPG	0	3#	New	0.771	0
