onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1018.jpg	0	5%	None	1.693	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1362.JPG	0	3#	New	1.596	0
7.0	3.5	First	stimuli/objects/setsof2/002a.jpg	2	3#	New	1.066	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1637.JPG	0	3#	New	1.341	0
14.0	3.5	First	stimuli/objects/setsof2/189b.jpg	189	3#	New	0.847	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1312.JPG	0	3#	New	1.119	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1313.JPG	0	3#	New	0.884	0
24.5	3.5	First	stimuli/objects/setsof2/061a.jpg	61	3#	New	0.911	0
28.0	3.5	Foil	stimuli/objects/foils/foil_1445.JPG	0	3#	New	1.012	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1576.JPG	0	3#	New	0.969	0
35.0	3.5	First	stimuli/objects/setsof2/015a.jpg	15	3#	New	0.813	0
38.5	3.5	Foil	stimuli/objects/foils/foil_1340.JPG	0	3#	New	1.224	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1012.jpg	0	3#	New	0.922	0
45.5	3.5	First	stimuli/objects/setsof2/012b.jpg	12	3#	New	0.832	0
49.0	3.5	Foil	stimuli/objects/foils/foil_1026.jpg	0	3#	New	1.185	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1606.JPG	0	3#	New	1.011	0
56.0	3.5	First	stimuli/objects/setsof2/079b.jpg	79	3#	New	0.767	0
59.5	3.5	Lure	stimuli/objects/setsof2/189a.jpg	189	5%	None	1.745	3
63.0	3.5	Foil	stimuli/objects/foils/foil_1368.JPG	0	3#	New	1.165	0
66.5	3.5	First	stimuli/objects/setsof2/162b.jpg	162	3#	New	1.014	0
70.0	3.5	Lure	stimuli/objects/setsof2/015b.jpg	15	5%	None	1.744	2
73.5	3.5	Lure	stimuli/objects/setsof2/061b.jpg	61	3#	New	1.200	5
77.0	3.5	First	stimuli/objects/setsof2/016b.jpg	16	3#	New	1.052	0
80.5	3.5	Foil	stimuli/objects/foils/foil_1416.JPG	0	3#	New	0.892	0
84.0	3.5	Foil	stimuli/objects/foils/foil_1328.JPG	0	3#	New	0.856	0
87.5	3.5	First	stimuli/objects/setsof2/113b.jpg	113	3#	New	1.211	0
91.0	3.5	Repeat	stimuli/objects/setsof2/079b.jpg	79	5%	None	1.743	0
94.5	3.5	Foil	stimuli/objects/foils/foil_1520.JPG	0	3#	New	1.123	0
98.0	3.5	Repeat	stimuli/objects/setsof2/012b.jpg	12	5%	None	1.742	0
101.5	3.5	Lure	stimuli/objects/setsof2/162a.jpg	162	5%	None	1.742	5
105.0	3.5	Foil	stimuli/objects/foils/foil_1243.JPG	0	3#	New	1.015	0
108.5	3.5	First	stimuli/objects/setsof2/039a.jpg	39	3#	New	1.521	0
112.0	3.5	First	stimuli/objects/setsof2/014a.jpg	14	3#	New	1.018	0
115.5	3.5	Repeat	stimuli/objects/setsof2/016b.jpg	16	5%	None	1.741	0
119.0	3.5	First	stimuli/objects/setsof2/001a.jpg	1	3#	New	1.400	0
122.5	3.5	Lure	stimuli/objects/setsof2/113a.jpg	113	5%	None	1.741	6
126.0	3.5	Foil	stimuli/objects/foils/foil_1711.JPG	0	3#	New	1.382	0
129.5	3.5	First	stimuli/objects/setsof2/035a.jpg	35	3#	New	1.202	0
133.0	3.5	Foil	stimuli/objects/foils/foil_1689.JPG	0	3#	New	0.990	0
136.5	3.5	Foil	stimuli/objects/foils/foil_1434.JPG	0	3#	New	1.062	0
140.0	3.5	Foil	stimuli/objects/foils/foil_1091.JPG	0	3#	New	1.021	0
143.5	3.5	Repeat	stimuli/objects/setsof2/002a.jpg	2	1!	Old	1.503	0
147.0	3.5	Foil	stimuli/objects/foils/foil_1460.JPG	0	3#	New	1.156	0
150.5	3.5	First	stimuli/objects/setsof2/020b.jpg	20	5%	None	1.740	0
154.0	3.5	First	stimuli/objects/setsof2/176a.jpg	176	3#	New	1.072	0
157.5	3.5	Foil	stimuli/objects/foils/foil_1672.JPG	0	3#	New	1.155	0
161.0	3.5	Foil	stimuli/objects/foils/foil_1290.JPG	0	5%	None	1.739	0
164.5	3.5	First	stimuli/objects/setsof2/177a.jpg	177	3#	New	1.182	0
168.0	3.5	Foil	stimuli/objects/foils/foil_1558.JPG	0	5%	None	1.738	0
171.5	3.5	Foil	stimuli/objects/foils/foil_1696.JPG	0	3#	New	0.871	0
175.0	3.5	First	stimuli/objects/setsof2/140b.jpg	140	3#	New	0.911	0
178.5	3.5	Foil	stimuli/objects/foils/foil_1454.JPG	0	3#	New	1.180	0
182.0	3.5	Lure	stimuli/objects/setsof2/039b.jpg	39	2@	Similar	1.542	1
185.5	3.5	Foil	stimuli/objects/foils/foil_1121.JPG	0	3#	New	0.826	0
189.0	3.5	First	stimuli/objects/setsof2/086a.jpg	86	3#	New	1.271	0
192.5	3.5	First	stimuli/objects/setsof2/108b.jpg	108	3#	New	1.070	0
196.0	3.5	Foil	stimuli/objects/foils/foil_1618.JPG	0	3#	New	0.909	0
199.5	3.5	Foil	stimuli/objects/foils/foil_1481.JPG	0	3#	New	0.979	0
203.0	3.5	Foil	stimuli/objects/foils/foil_1187.JPG	0	3#	New	0.921	0
206.5	3.5	Foil	stimuli/objects/foils/foil_1071.JPG	0	3#	New	0.784	0
210.0	3.5	First	stimuli/objects/setsof2/101b.jpg	101	5%	None	1.736	0
213.5	3.5	Foil	stimuli/objects/foils/foil_1691.JPG	0	5%	None	1.736	0
217.0	3.5	First	stimuli/objects/setsof2/167a.jpg	167	3#	New	1.309	0
220.5	3.5	Foil	stimuli/objects/foils/foil_1379.JPG	0	3#	New	1.291	0
224.0	3.5	Repeat	stimuli/objects/setsof2/086a.jpg	86	1!	Old	1.439	0
227.5	3.5	Repeat	stimuli/objects/setsof2/108b.jpg	108	1!	Old	1.621	0
231.0	3.5	Foil	stimuli/objects/foils/foil_1020.jpg	0	3#	New	1.247	0
234.5	3.5	First	stimuli/objects/setsof2/128a.jpg	128	3#	New	1.479	0
238.0	3.5	Lure	stimuli/objects/setsof2/014b.jpg	14	1!	Old	1.360	2
241.5	3.5	Foil	stimuli/objects/foils/foil_1318.JPG	0	3#	New	1.167	0
245.0	3.5	First	stimuli/objects/setsof2/013a.jpg	13	3#	New	1.458	0
248.5	3.5	Repeat	stimuli/objects/setsof2/167a.jpg	167	1!	Old	1.276	0
252.0	3.5	First	stimuli/objects/setsof2/144a.jpg	144	3#	New	1.101	0
255.5	3.5	Foil	stimuli/objects/foils/foil_1311.JPG	0	3#	New	1.443	0
259.0	3.5	First	stimuli/objects/setsof2/010a.jpg	10	3#	New	1.080	0
262.5	3.5	Foil	stimuli/objects/foils/foil_1397.JPG	0	3#	New	0.880	0
266.0	3.5	Repeat	stimuli/objects/setsof2/001a.jpg	1	1!	Old	1.487	0
269.5	3.5	Lure	stimuli/objects/setsof2/035b.jpg	35	5%	None	1.734	3
273.0	3.5	Lure	stimuli/objects/setsof2/101a.jpg	101	5%	None	1.734	2
276.5	3.5	First	stimuli/objects/setsof2/093a.jpg	93	3#	New	1.202	0
280.0	3.5	Lure	stimuli/objects/setsof2/020a.jpg	20	3#	New	1.249	6
283.5	3.5	Foil	stimuli/objects/foils/foil_1556.JPG	0	3#	New	1.413	0
287.0	3.5	First	stimuli/objects/setsof2/137a.jpg	137	3#	New	1.169	0
290.5	3.5	First	stimuli/objects/setsof2/067a.jpg	67	3#	New	0.927	0
294.0	3.5	Lure	stimuli/objects/setsof2/128b.jpg	128	5%	None	1.732	5
297.5	3.5	First	stimuli/objects/setsof2/027b.jpg	27	3#	New	1.200	0
301.0	3.5	Lure	stimuli/objects/setsof2/176b.jpg	176	5%	None	1.732	2
304.5	3.5	Lure	stimuli/objects/setsof2/177b.jpg	177	5%	None	1.732	3
308.0	3.5	First	stimuli/objects/setsof2/171b.jpg	171	3#	New	0.989	0
311.5	3.5	Lure	stimuli/objects/setsof2/140a.jpg	140	2@	Similar	1.445	6
315.0	3.5	Repeat	stimuli/objects/setsof2/013a.jpg	13	1!	Old	1.369	0
318.5	3.5	Repeat	stimuli/objects/setsof2/144a.jpg	144	2@	Similar	1.587	0
322.0	3.5	Repeat	stimuli/objects/setsof2/067a.jpg	67	1!	Old	1.361	0
325.5	3.5	Lure	stimuli/objects/setsof2/010b.jpg	10	5%	None	1.731	4
329.0	3.5	First	stimuli/objects/setsof2/174b.jpg	174	3#	New	1.441	0
332.5	3.5	Repeat	stimuli/objects/setsof2/027b.jpg	27	1!	Old	1.644	0
336.0	3.5	First	stimuli/objects/setsof2/175b.jpg	175	3#	New	1.512	0
339.5	3.5	Lure	stimuli/objects/setsof2/137b.jpg	137	1!	Old	1.211	4
343.0	3.5	Repeat	stimuli/objects/setsof2/171b.jpg	171	1!	Old	1.340	0
346.5	3.5	Foil	stimuli/objects/foils/foil_1357.JPG	0	3#	New	0.901	0
350.0	3.5	Foil	stimuli/objects/foils/foil_1223.JPG	0	3#	New	1.225	0
353.5	3.5	Repeat	stimuli/objects/setsof2/174b.jpg	174	1!	Old	1.127	0
357.0	3.5	Foil	stimuli/objects/foils/foil_1266.JPG	0	3#	New	0.906	0
360.5	3.5	Repeat	stimuli/objects/setsof2/093a.jpg	93	1!	Old	1.055	0
364.0	3.5	Foil	stimuli/objects/foils/foil_1429.JPG	0	3#	New	1.478	0
367.5	3.5	Foil	stimuli/objects/foils/foil_1516.JPG	0	3#	New	0.883	0
371.0	3.5	Repeat	stimuli/objects/setsof2/175b.jpg	175	1!	Old	1.017	0
