onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1346.JPG	0	3#	New	1.196	0
3.5	3.5	Foil	stimuli/objects/foils/foil_1041.jpg	0	3#	New	1.552	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1695.JPG	0	3#	New	0.870	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1322.JPG	0	3#	New	1.080	0
14.0	3.5	First	stimuli/objects/setsof2/172a.jpg	172	3#	New	0.553	0
17.5	3.5	First	stimuli/objects/setsof2/135a.jpg	135	3#	New	0.481	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1237.JPG	0	3#	New	0.419	0
24.5	3.5	Foil	stimuli/objects/foils/foil_1415.JPG	0	3#	New	0.717	0
28.0	3.5	First	stimuli/objects/setsof2/006b.jpg	6	3#	New	0.634	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1690.JPG	0	3#	New	0.731	0
35.0	3.5	First	stimuli/objects/setsof2/147b.jpg	147	3#	New	0.684	0
38.5	3.5	Repeat	stimuli/objects/setsof2/135a.jpg	135	1!	Old	1.184	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1194.JPG	0	3#	New	0.677	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1132.JPG	0	3#	New	0.767	0
49.0	3.5	Foil	stimuli/objects/foils/foil_1674.JPG	0	3#	New	0.605	0
52.5	3.5	Foil	stimuli/objects/foils/foil_1462.JPG	0	3#	New	1.007	0
56.0	3.5	First	stimuli/objects/setsof2/050b.jpg	50	3#	New	0.890	0
59.5	3.5	Foil	stimuli/objects/foils/foil_1597.JPG	0	3#	New	0.772	0
63.0	3.5	First	stimuli/objects/setsof2/033a.jpg	33	3#	New	0.633	0
66.5	3.5	First	stimuli/objects/setsof2/123a.jpg	123	3#	New	0.818	0
70.0	3.5	Repeat	stimuli/objects/setsof2/147b.jpg	147	1!	Old	1.514	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1381.JPG	0	3#	New	0.730	0
77.0	3.5	Foil	stimuli/objects/foils/foil_1678.JPG	0	3#	New	0.707	0
80.5	3.5	Lure	stimuli/objects/setsof2/033b.jpg	33	3#	New	0.698	4
84.0	3.5	Foil	stimuli/objects/foils/foil_1568.JPG	0	3#	New	1.407	0
87.5	3.5	First	stimuli/objects/setsof2/145a.jpg	145	3#	New	1.623	0
91.0	3.5	Foil	stimuli/objects/foils/foil_1120.JPG	0	3#	New	0.787	0
94.5	3.5	Foil	stimuli/objects/foils/foil_1168.JPG	0	3#	New	0.774	0
98.0	3.5	First	stimuli/objects/setsof2/018a.jpg	18	3#	New	0.768	0
101.5	3.5	Lure	stimuli/objects/setsof2/123b.jpg	123	5%	None	1.743	2
105.0	3.5	Foil	stimuli/objects/foils/foil_1387.JPG	0	3#	New	0.697	0
108.5	3.5	First	stimuli/objects/setsof2/111a.jpg	111	3#	New	1.038	0
112.0	3.5	First	stimuli/objects/setsof2/077a.jpg	77	3#	New	0.594	0
115.5	3.5	Foil	stimuli/objects/foils/foil_1359.JPG	0	2@	Similar	1.331	0
119.0	3.5	First	stimuli/objects/setsof2/124b.jpg	124	3#	New	0.684	0
122.5	3.5	Repeat	stimuli/objects/setsof2/018a.jpg	18	1!	Old	1.664	0
126.0	3.5	Foil	stimuli/objects/foils/foil_1336.JPG	0	3#	New	0.886	0
129.5	3.5	First	stimuli/objects/setsof2/069a.jpg	69	3#	New	0.926	0
133.0	3.5	Foil	stimuli/objects/foils/foil_1208.JPG	0	3#	New	0.795	0
136.5	3.5	Lure	stimuli/objects/setsof2/111b.jpg	111	5%	None	1.742	2
140.0	3.5	Foil	stimuli/objects/foils/foil_1432.JPG	0	3#	New	0.780	0
143.5	3.5	Repeat	stimuli/objects/setsof2/077a.jpg	77	1!	Old	1.510	0
147.0	3.5	Foil	stimuli/objects/foils/foil_1129.JPG	0	3#	New	1.076	0
150.5	3.5	First	stimuli/objects/setsof2/102a.jpg	102	3#	New	1.045	0
154.0	3.5	Repeat	stimuli/objects/setsof2/172a.jpg	172	1!	Old	1.297	0
157.5	3.5	First	stimuli/objects/setsof2/063b.jpg	63	3#	New	1.569	0
161.0	3.5	Foil	stimuli/objects/foils/foil_1218.JPG	0	3#	New	1.436	0
164.5	3.5	Lure	stimuli/objects/setsof2/006a.jpg	6	3#	New	0.897	2
168.0	3.5	Foil	stimuli/objects/foils/foil_1514.JPG	0	3#	New	0.821	0
171.5	3.5	First	stimuli/objects/setsof2/051a.jpg	51	3#	New	0.765	0
175.0	3.5	Foil	stimuli/objects/foils/foil_1554.JPG	0	3#	New	0.717	0
178.5	3.5	First	stimuli/objects/setsof2/164b.jpg	164	3#	New	0.769	0
182.0	3.5	Foil	stimuli/objects/foils/foil_1251.JPG	0	3#	New	0.765	0
185.5	3.5	Foil	stimuli/objects/foils/foil_1060.JPG	0	3#	New	1.102	0
189.0	3.5	First	stimuli/objects/setsof2/041b.jpg	41	3#	New	1.710	0
192.5	3.5	First	stimuli/objects/setsof2/042a.jpg	42	3#	New	0.868	0
196.0	3.5	Lure	stimuli/objects/setsof2/124a.jpg	124	2@	Similar	1.428	1
199.5	3.5	Repeat	stimuli/objects/setsof2/050b.jpg	50	3#	New	1.088	0
203.0	3.5	Lure	stimuli/objects/setsof2/069b.jpg	69	2@	Similar	1.314	2
206.5	3.5	Foil	stimuli/objects/foils/foil_1069.JPG	0	3#	New	0.930	0
210.0	3.5	Foil	stimuli/objects/foils/foil_1053.JPG	0	5%	None	1.738	0
213.5	3.5	First	stimuli/objects/setsof2/070a.jpg	70	3#	New	1.108	0
217.0	3.5	Lure	stimuli/objects/setsof2/145b.jpg	145	2@	Similar	1.363	2
220.5	3.5	First	stimuli/objects/setsof2/169a.jpg	169	3#	New	1.728	0
224.0	3.5	First	stimuli/objects/setsof2/011b.jpg	11	3#	New	0.807	0
227.5	3.5	Foil	stimuli/objects/foils/foil_1592.JPG	0	1!	Old	1.391	0
231.0	3.5	Repeat	stimuli/objects/setsof2/051a.jpg	51	1!	Old	1.056	0
234.5	3.5	Foil	stimuli/objects/foils/foil_1374.JPG	0	3#	New	0.933	0
