onset	duration	trial_type	stimulus_name	set_num	keypress	response	rt	similarity_bin
0.0	3.5	Foil	stimuli/objects/foils/foil_1422.JPG	0	3#	New	1.147	0
3.5	3.5	First	stimuli/objects/setsof2/146a.jpg	146	3#	New	0.651	0
7.0	3.5	Foil	stimuli/objects/foils/foil_1608.JPG	0	3#	New	0.974	0
10.5	3.5	Foil	stimuli/objects/foils/foil_1203.JPG	0	3#	New	0.621	0
14.0	3.5	Foil	stimuli/objects/foils/foil_1259.JPG	0	3#	New	0.700	0
17.5	3.5	Foil	stimuli/objects/foils/foil_1461.JPG	0	3#	New	0.458	0
21.0	3.5	Foil	stimuli/objects/foils/foil_1655.JPG	0	3#	New	0.734	0
24.5	3.5	First	stimuli/objects/setsof2/064a.jpg	64	3#	New	0.863	0
28.0	3.5	First	stimuli/objects/setsof2/154a.jpg	154	3#	New	0.676	0
31.5	3.5	Foil	stimuli/objects/foils/foil_1036.JPG	0	3#	New	0.763	0
35.0	3.5	First	stimuli/objects/setsof2/120a.jpg	120	3#	New	0.718	0
38.5	3.5	Foil	stimuli/objects/foils/foil_1503.JPG	0	3#	New	0.575	0
42.0	3.5	Foil	stimuli/objects/foils/foil_1453.JPG	0	3#	New	1.044	0
45.5	3.5	Foil	stimuli/objects/foils/foil_1436.JPG	0	3#	New	0.858	0
49.0	3.5	First	stimuli/objects/setsof2/187a.jpg	187	3#	New	0.849	0
52.5	3.5	Repeat	stimuli/objects/setsof2/154a.jpg	154	5%	None	1.744	0
56.0	3.5	First	stimuli/objects/setsof2/046b.jpg	46	3#	New	0.667	0
59.5	3.5	Foil	stimuli/objects/foils/foil_1624.JPG	0	3#	New	0.659	0
63.0	3.5	Foil	stimuli/objects/foils/foil_1232.JPG	0	3#	New	1.346	0
66.5	3.5	First	stimuli/objects/setsof2/054a.jpg	54	5%	None	1.744	0
70.0	3.5	Foil	stimuli/objects/foils/foil_1628.JPG	0	3#	New	0.843	0
73.5	3.5	Foil	stimuli/objects/foils/foil_1660.jpg	0	3#	New	0.773	0
77.0	3.5	First	stimuli/objects/setsof2/095b.jpg	95	3#	New	0.675	0
80.5	3.5	Lure	stimuli/objects/setsof2/187b.jpg	187	5%	None	1.742	1
84.0	3.5	Foil	stimuli/objects/foils/foil_1595.JPG	0	3#	New	0.870	0
87.5	3.5	Foil	stimuli/objects/foils/foil_1301.JPG	0	3#	New	0.872	0
91.0	3.5	First	stimuli/objects/setsof2/004b.jpg	4	3#	New	0.954	0
94.5	3.5	Foil	stimuli/objects/foils/foil_1398.JPG	0	3#	New	0.850	0
98.0	3.5	First	stimuli/objects/setsof2/043a.jpg	43	3#	New	0.818	0
101.5	3.5	Foil	stimuli/objects/foils/foil_1426.JPG	0	2@	Similar	1.440	0
