onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
2.011	3.000	remember	0.500	retrieval	retprac	face	object	scene	target	face	1	2	63	15	63	115	2.0	n/a
7.046	1.469	correct	1.469	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	2	n/a	n/a	n/a	n/a	n/a	left
9.028	1.328	correct	1.328	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	2	n/a	n/a	n/a	n/a	n/a	left
10.878	1.502	correct	1.502	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	2	n/a	n/a	n/a	n/a	n/a	left
12.894	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	1	2	n/a	n/a	n/a	n/a	n/a	right
14.010	3.000	forget	0.478	retrieval	restudy	scene	object	face	other	face	2	2	88	136	288	140	14.0	n/a
19.046	1.405	correct	1.405	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	2	n/a	n/a	n/a	n/a	n/a	right
20.960	1.179	correct	1.179	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	2	n/a	n/a	n/a	n/a	n/a	left
22.660	1.376	correct	1.376	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	2	n/a	n/a	n/a	n/a	n/a	left
24.543	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	2	2	n/a	n/a	n/a	n/a	n/a	left
26.009	3.000	forget	0.703	retrieval	restudy	scene	face	object	competitor	face	3	2	38	110	262	38	26.0	n/a
31.044	1.207	correct	1.207	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	2	n/a	n/a	n/a	n/a	n/a	right
32.776	1.204	correct	1.204	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	2	n/a	n/a	n/a	n/a	n/a	left
34.492	1.046	correct	1.046	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	2	n/a	n/a	n/a	n/a	n/a	right
36.059	0.450	incorrect	0.450	grate	n/a	n/a	n/a	n/a	n/a	n/a	3	2	n/a	n/a	n/a	n/a	n/a	right
38.007	3.000	remember	0.783	retrieval	retprac	face	scene	object	target	face	4	2	107	35	83	211	38.0	n/a
43.043	0.816	correct	0.816	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	2	n/a	n/a	n/a	n/a	n/a	left
44.374	0.812	correct	0.812	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	2	n/a	n/a	n/a	n/a	n/a	left
45.708	1.742	correct	1.742	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	2	n/a	n/a	n/a	n/a	n/a	left
47.958	0.550	incorrect	0.550	grate	n/a	n/a	n/a	n/a	n/a	n/a	4	2	n/a	n/a	n/a	n/a	n/a	left
50.006	3.000	remember	0.584	retrieval	retprac	scene	object	face	target	scene	5	2	83	131	283	135	50.0	n/a
55.043	1.488	correct	1.488	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	2	n/a	n/a	n/a	n/a	n/a	left
57.040	1.106	correct	1.106	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	2	n/a	n/a	n/a	n/a	n/a	right
58.656	0.874	correct	0.874	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	2	n/a	n/a	n/a	n/a	n/a	left
60.040	0.467	incorrect	0.467	grate	n/a	n/a	n/a	n/a	n/a	n/a	5	2	n/a	n/a	n/a	n/a	n/a	left
62.022	3.000	forget	0.672	retrieval	restudy	face	scene	object	other	object	6	2	108	36	84	212	62.0	n/a
67.058	1.624	correct	1.624	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	2	n/a	n/a	n/a	n/a	n/a	right
69.206	0.989	correct	0.989	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	2	n/a	n/a	n/a	n/a	n/a	right
70.706	0.960	correct	0.960	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	2	n/a	n/a	n/a	n/a	n/a	left
72.189	0.333	incorrect	0.333	grate	n/a	n/a	n/a	n/a	n/a	n/a	6	2	n/a	n/a	n/a	n/a	n/a	left
74.021	3.000	forget	0.624	retrieval	retprac	face	object	scene	competitor	object	7	2	61	13	61	113	74.0	n/a
79.057	1.225	correct	1.225	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	2	n/a	n/a	n/a	n/a	n/a	right
80.805	0.981	correct	0.981	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	2	n/a	n/a	n/a	n/a	n/a	left
82.305	0.873	correct	0.873	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	2	n/a	n/a	n/a	n/a	n/a	left
83.688	0.833	incorrect	0.833	grate	n/a	n/a	n/a	n/a	n/a	n/a	7	2	n/a	n/a	n/a	n/a	n/a	right
86.020	3.000	remember	0.489	retrieval	retprac	face	object	scene	target	face	8	2	57	9	57	109	86.0	n/a
91.056	1.641	correct	1.641	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	2	n/a	n/a	n/a	n/a	n/a	right
93.220	0.829	correct	0.829	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	2	n/a	n/a	n/a	n/a	n/a	left
94.570	1.583	correct	1.583	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	2	n/a	n/a	n/a	n/a	n/a	right
96.670	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	8	2	n/a	n/a	n/a	n/a	n/a	right
98.019	3.000	remember	0.826	retrieval	retprac	scene	object	face	target	scene	9	2	81	129	281	133	98.0	n/a
103.055	5.464	incorrect	5.464	grate	n/a	n/a	n/a	n/a	n/a	n/a	9	2	n/a	n/a	n/a	n/a	n/a	right
