onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.013	2.000	face	1.315	localizer	strong unrelated	1	3	1	37	37	2.0	n/a
6.013	2.000	face	0.698	localizer	strong unrelated	2	3	1	38	38	6.0	n/a
10.013	2.000	face	1.963	localizer	weak unrelated	3	3	1	39	39	10.0	n/a
14.012	2.000	face	0.948	localizer	strong unrelated	4	3	1	40	40	14.0	n/a
18.012	2.000	face	1.427	localizer	weak unrelated	5	3	1	41	41	18.0	n/a
22.012	2.000	face	0.828	localizer	strong unrelated	6	3	1	42	42	22.0	n/a
26.050	0.913	correct	0.913	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
27.479	0.564	correct	0.564	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
28.562	0.465	correct	0.465	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
29.545	0.402	correct	0.402	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
30.462	0.702	correct	0.702	grate	n/a	6	3	n/a	n/a	n/a	n/a	right
31.678	0.740	correct	0.740	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
32.928	3.616	incorrect	3.616	grate	n/a	6	3	n/a	n/a	n/a	n/a	left
38.010	2.000	scene	0.933	localizer	strong unrelated	7	3	2	181	237	38.0	n/a
42.010	2.000	scene	0.805	localizer	strong unrelated	8	3	2	182	238	42.0	n/a
46.009	2.000	scene	n/a	localizer	no response	9	3	2	183	239	46.0	n/a
50.009	2.000	scene	n/a	localizer	no response	10	3	2	184	240	50.0	n/a
54.009	2.000	scene	0.789	localizer	strong unrelated	11	3	2	185	241	54.0	n/a
58.008	2.000	scene	0.798	localizer	strong unrelated	12	3	2	186	242	58.0	n/a
62.047	0.994	correct	0.994	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
63.560	1.002	correct	1.002	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
65.075	0.864	correct	0.864	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
66.459	0.543	correct	0.543	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
67.525	0.477	correct	0.477	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
68.525	0.421	correct	0.421	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
69.458	0.488	correct	0.488	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
70.458	0.504	correct	0.504	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
71.475	0.743	correct	0.743	grate	n/a	12	3	n/a	n/a	n/a	n/a	right
72.725	0.100	incorrect	0.100	grate	n/a	12	3	n/a	n/a	n/a	n/a	left
74.007	2.000	object	0.879	localizer	strong unrelated	13	3	3	109	137	74.0	n/a
78.007	2.000	object	0.519	localizer	strong unrelated	14	3	3	110	138	78.0	n/a
82.023	2.000	object	0.623	localizer	strong unrelated	15	3	3	111	139	82.0	n/a
86.023	2.000	object	0.663	localizer	strong unrelated	16	3	3	112	140	86.0	n/a
90.022	2.000	object	0.671	localizer	strong unrelated	17	3	3	113	141	90.0	n/a
94.022	2.000	object	0.375	localizer	strong unrelated	18	3	3	114	142	94.0	n/a
98.061	0.900	correct	0.900	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
99.473	0.536	correct	0.536	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
100.522	0.583	correct	0.583	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
101.622	0.571	correct	0.571	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
102.705	0.559	correct	0.559	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
103.772	0.437	correct	0.437	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
104.722	0.479	correct	0.479	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
105.722	0.623	correct	0.623	grate	n/a	18	3	n/a	n/a	n/a	n/a	left
106.855	0.458	correct	0.458	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
107.821	0.587	correct	0.587	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
108.921	0.100	incorrect	0.100	grate	n/a	18	3	n/a	n/a	n/a	n/a	right
110.020	2.000	scene	0.936	localizer	strong unrelated	19	3	4	187	243	110.0	n/a
114.020	2.000	scene	0.928	localizer	strong unrelated	20	3	4	188	244	114.0	n/a
118.020	2.000	scene	0.689	localizer	strong unrelated	21	3	4	189	245	118.0	n/a
122.019	2.000	scene	0.465	localizer	strong unrelated	22	3	4	190	246	122.0	n/a
126.019	2.000	scene	0.513	localizer	strong unrelated	23	3	4	191	247	126.0	n/a
130.019	2.000	scene	0.465	localizer	strong unrelated	24	3	4	192	248	130.0	n/a
134.059	1.164	correct	1.164	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
135.736	0.775	correct	0.775	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
137.036	0.765	correct	0.765	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
138.319	0.737	correct	0.737	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
139.569	0.704	correct	0.704	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
140.785	0.638	correct	0.638	grate	n/a	24	3	n/a	n/a	n/a	n/a	right
141.935	0.768	correct	0.768	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
143.218	0.653	correct	0.653	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
144.385	0.167	incorrect	0.167	grate	n/a	24	3	n/a	n/a	n/a	n/a	left
