onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.012	2.000	face	3.001	localizer	strong unrelated	1	1	1	1	1	2.0	n/a
6.012	2.000	face	n/a	localizer	no response	2	1	1	2	2	6.0	n/a
10.012	2.000	face	2.490	localizer	strong unrelated	3	1	1	3	3	10.0	n/a
14.011	2.000	face	2.218	localizer	strong unrelated	4	1	1	4	4	14.0	n/a
18.011	2.000	face	2.514	localizer	strong unrelated	5	1	1	5	5	18.0	n/a
22.011	2.000	face	2.435	localizer	weak unrelated	6	1	1	6	6	22.0	n/a
26.050	1.751	correct	1.751	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
28.313	0.912	correct	0.912	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
29.744	0.977	correct	0.977	grate	n/a	6	1	n/a	n/a	n/a	n/a	right
31.244	1.365	correct	1.365	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
33.127	0.826	correct	0.826	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
34.477	2.067	incorrect	2.067	grate	n/a	6	1	n/a	n/a	n/a	n/a	left
38.009	2.000	object	1.820	localizer	strong unrelated	7	1	2	73	101	38.0	n/a
42.009	2.000	object	2.549	localizer	strong unrelated	8	1	2	74	102	42.0	n/a
46.009	2.000	object	2.572	localizer	weak unrelated	9	1	2	75	103	46.0	n/a
50.008	2.000	object	1.804	localizer	strong unrelated	10	1	2	76	104	50.0	n/a
54.008	2.000	object	1.597	localizer	strong unrelated	11	1	2	77	105	54.0	n/a
58.007	2.000	object	1.501	localizer	strong unrelated	12	1	2	78	106	58.0	n/a
62.046	1.050	incorrect	1.050	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
63.609	1.296	correct	1.296	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
65.424	0.608	correct	0.608	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
66.541	0.563	correct	0.563	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
67.624	0.528	correct	0.528	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
68.674	0.511	correct	0.511	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
69.707	0.493	correct	0.493	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
70.707	0.645	correct	0.645	grate	n/a	12	1	n/a	n/a	n/a	n/a	left
71.874	0.454	correct	0.454	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
72.840	0.100	incorrect	0.100	grate	n/a	12	1	n/a	n/a	n/a	n/a	right
74.023	2.000	scene	n/a	localizer	no response	13	1	3	145	201	74.0	n/a
78.022	2.000	scene	1.430	localizer	strong unrelated	14	1	3	146	202	78.0	n/a
82.022	2.000	scene	1.405	localizer	strong unrelated	15	1	3	147	203	82.0	n/a
86.022	2.000	scene	1.966	localizer	weak unrelated	16	1	3	148	204	86.0	n/a
90.021	2.000	scene	1.550	localizer	strong unrelated	17	1	3	149	205	90.0	n/a
94.021	2.000	scene	1.750	localizer	strong unrelated	18	1	3	150	206	94.0	n/a
98.060	1.331	correct	1.331	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
99.905	1.038	correct	1.038	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
101.454	0.545	correct	0.545	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
102.521	1.054	correct	1.054	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
104.088	0.495	correct	0.495	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
105.104	1.327	correct	1.327	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
106.954	0.813	correct	0.813	grate	n/a	18	1	n/a	n/a	n/a	n/a	left
108.287	0.267	incorrect	0.267	grate	n/a	18	1	n/a	n/a	n/a	n/a	right
110.019	2.000	object	2.679	localizer	strong unrelated	19	1	4	79	107	110.0	n/a
114.019	2.000	object	2.159	localizer	strong unrelated	20	1	4	80	108	114.0	n/a
118.019	2.000	object	2.849	localizer	weak unrelated	21	1	4	81	109	118.0	n/a
122.018	2.000	object	2.360	localizer	strong unrelated	22	1	4	82	110	122.0	n/a
126.018	2.000	object	1.624	localizer	strong unrelated	23	1	4	83	111	126.0	n/a
130.018	2.000	object	2.001	localizer	strong unrelated	24	1	4	84	112	130.0	n/a
134.057	1.374	correct	1.374	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
135.952	0.702	correct	0.702	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
137.168	0.654	correct	0.654	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
138.334	0.904	correct	0.904	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
139.751	0.728	correct	0.728	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
141.001	0.669	correct	0.669	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
142.184	0.733	correct	0.733	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
143.434	0.564	correct	0.564	grate	n/a	24	1	n/a	n/a	n/a	n/a	left
144.517	0.033	incorrect	0.033	grate	n/a	24	1	n/a	n/a	n/a	n/a	right
146.016	2.000	scene	2.314	localizer	strong unrelated	25	1	5	151	207	146.0	n/a
