onset	duration	trial_type	response_time	task_type	response_type	trial_id	run_id	block_id	word_id	img_id	design_onset	grate_orientation
2.014	2.000	object	1.777	localizer	strong unrelated	1	2	1	91	119	2.0	n/a
6.014	2.000	object	2.545	localizer	strong unrelated	2	2	1	92	120	6.0	n/a
10.014	2.000	object	2.465	localizer	strong unrelated	3	2	1	93	121	10.0	n/a
14.013	2.000	object	1.745	localizer	weak unrelated	4	2	1	94	122	14.0	n/a
18.013	2.000	object	1.826	localizer	strong unrelated	5	2	1	95	123	18.0	n/a
22.013	2.000	object	1.715	localizer	strong unrelated	6	2	1	96	124	22.0	n/a
26.052	1.223	correct	1.223	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
27.797	1.205	correct	1.205	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
29.513	1.305	correct	1.305	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
31.329	0.841	correct	0.841	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
32.679	0.995	correct	0.995	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
34.196	0.943	correct	0.943	grate	n/a	6	2	n/a	n/a	n/a	n/a	right
35.662	0.883	incorrect	0.883	grate	n/a	6	2	n/a	n/a	n/a	n/a	left
38.011	2.000	face	1.923	localizer	strong unrelated	7	2	2	19	19	38.0	n/a
42.011	2.000	face	2.444	localizer	strong unrelated	8	2	2	20	20	42.0	n/a
46.011	2.000	face	1.515	localizer	strong unrelated	9	2	2	21	21	46.0	n/a
50.010	2.000	face	2.204	localizer	strong unrelated	10	2	2	22	22	50.0	n/a
54.010	2.000	face	2.076	localizer	strong unrelated	11	2	2	23	23	54.0	n/a
58.009	2.000	face	1.444	localizer	strong unrelated	12	2	2	24	24	58.0	n/a
62.049	1.345	correct	1.345	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
63.911	0.891	correct	0.891	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
65.310	0.700	correct	0.700	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
66.526	0.611	correct	0.611	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
67.660	0.678	correct	0.678	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
68.859	0.631	correct	0.631	grate	n/a	12	2	n/a	n/a	n/a	n/a	left
70.009	0.489	correct	0.489	grate	n/a	12	2	n/a	n/a	n/a	n/a	right
