onset	duration	trial_type	response_time	task_type	update_cond	cate_c	cate_b	cate_o	response_type	response	trial_id	run_id	word_id	img_id	stim_c	stim_b	design_onset	grate_orientation
427.046	1.207	correct	1.207	grate	n/a	n/a	n/a	n/a	n/a	n/a	36	1	n/a	n/a	n/a	n/a	n/a	left
428.761	0.572	correct	0.572	grate	n/a	n/a	n/a	n/a	n/a	n/a	36	1	n/a	n/a	n/a	n/a	n/a	right
429.845	0.577	correct	0.577	grate	n/a	n/a	n/a	n/a	n/a	n/a	36	1	n/a	n/a	n/a	n/a	n/a	right
430.945	0.700	correct	0.700	grate	n/a	n/a	n/a	n/a	n/a	n/a	36	1	n/a	n/a	n/a	n/a	n/a	right
432.161	0.350	incorrect	0.350	grate	n/a	n/a	n/a	n/a	n/a	n/a	36	1	n/a	n/a	n/a	n/a	n/a	left
434.010	3.000	forget	0.702	retrieval	restudy	face	scene	object	other	object	37	1	102	30	78	206	434.0	n/a
439.045	1.008	correct	1.008	grate	n/a	n/a	n/a	n/a	n/a	n/a	37	1	n/a	n/a	n/a	n/a	n/a	right
440.577	2.932	correct	2.932	grate	n/a	n/a	n/a	n/a	n/a	n/a	37	1	n/a	n/a	n/a	n/a	n/a	left
444.027	0.483	incorrect	0.483	grate	n/a	n/a	n/a	n/a	n/a	n/a	37	1	n/a	n/a	n/a	n/a	n/a	right
446.009	3.000	forget	0.431	retrieval	retprac	face	scene	object	competitor	scene	38	1	101	29	77	205	446.0	n/a
451.043	1.665	correct	1.665	grate	n/a	n/a	n/a	n/a	n/a	n/a	38	1	n/a	n/a	n/a	n/a	n/a	left
453.226	0.954	correct	0.954	grate	n/a	n/a	n/a	n/a	n/a	n/a	38	1	n/a	n/a	n/a	n/a	n/a	left
454.693	0.728	correct	0.728	grate	n/a	n/a	n/a	n/a	n/a	n/a	38	1	n/a	n/a	n/a	n/a	n/a	left
455.942	0.567	incorrect	0.567	grate	n/a	n/a	n/a	n/a	n/a	n/a	38	1	n/a	n/a	n/a	n/a	n/a	right
458.008	3.000	forget	0.456	retrieval	restudy	face	object	scene	other	scene	39	1	56	8	56	108	458.0	n/a
463.042	1.370	correct	1.370	grate	n/a	n/a	n/a	n/a	n/a	n/a	39	1	n/a	n/a	n/a	n/a	n/a	right
464.925	0.647	correct	0.647	grate	n/a	n/a	n/a	n/a	n/a	n/a	39	1	n/a	n/a	n/a	n/a	n/a	left
466.091	0.664	correct	0.664	grate	n/a	n/a	n/a	n/a	n/a	n/a	39	1	n/a	n/a	n/a	n/a	n/a	left
467.275	0.625	correct	0.625	grate	n/a	n/a	n/a	n/a	n/a	n/a	39	1	n/a	n/a	n/a	n/a	n/a	right
468.408	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	39	1	n/a	n/a	n/a	n/a	n/a	right
470.007	3.000	forget	0.609	retrieval	restudy	object	scene	face	other	face	40	1	124	76	176	228	470.0	n/a
475.041	0.971	correct	0.971	grate	n/a	n/a	n/a	n/a	n/a	n/a	40	1	n/a	n/a	n/a	n/a	n/a	left
476.524	0.760	correct	0.760	grate	n/a	n/a	n/a	n/a	n/a	n/a	40	1	n/a	n/a	n/a	n/a	n/a	left
477.807	0.797	correct	0.797	grate	n/a	n/a	n/a	n/a	n/a	n/a	40	1	n/a	n/a	n/a	n/a	n/a	right
479.124	0.553	correct	0.553	grate	n/a	n/a	n/a	n/a	n/a	n/a	40	1	n/a	n/a	n/a	n/a	n/a	right
480.190	0.317	incorrect	0.317	grate	n/a	n/a	n/a	n/a	n/a	n/a	40	1	n/a	n/a	n/a	n/a	n/a	left
482.006	3.000	remember	0.585	retrieval	retprac	face	object	scene	target	face	41	1	49	1	49	101	482.0	n/a
487.040	1.035	correct	1.035	grate	n/a	n/a	n/a	n/a	n/a	n/a	41	1	n/a	n/a	n/a	n/a	n/a	left
488.590	0.967	correct	0.967	grate	n/a	n/a	n/a	n/a	n/a	n/a	41	1	n/a	n/a	n/a	n/a	n/a	left
490.073	0.834	correct	0.834	grate	n/a	n/a	n/a	n/a	n/a	n/a	41	1	n/a	n/a	n/a	n/a	n/a	left
491.423	1.083	incorrect	1.083	grate	n/a	n/a	n/a	n/a	n/a	n/a	41	1	n/a	n/a	n/a	n/a	n/a	right
494.021	3.000	forget	0.937	retrieval	restudy	scene	object	face	other	face	42	1	76	124	276	128	494.0	n/a
499.055	2.788	correct	2.788	grate	n/a	n/a	n/a	n/a	n/a	n/a	42	1	n/a	n/a	n/a	n/a	n/a	right
502.355	2.167	incorrect	2.167	grate	n/a	n/a	n/a	n/a	n/a	n/a	42	1	n/a	n/a	n/a	n/a	n/a	right
506.020	3.000	remember	0.618	retrieval	retprac	object	scene	face	target	object	43	1	127	79	179	231	506.0	n/a
511.054	1.060	correct	1.060	grate	n/a	n/a	n/a	n/a	n/a	n/a	43	1	n/a	n/a	n/a	n/a	n/a	left
512.637	1.677	correct	1.677	grate	n/a	n/a	n/a	n/a	n/a	n/a	43	1	n/a	n/a	n/a	n/a	n/a	right
514.837	1.683	incorrect	1.683	grate	n/a	n/a	n/a	n/a	n/a	n/a	43	1	n/a	n/a	n/a	n/a	n/a	right
518.019	3.000	forget	0.717	retrieval	restudy	scene	object	face	other	face	44	1	80	128	280	132	518.0	n/a
523.053	1.397	correct	1.397	grate	n/a	n/a	n/a	n/a	n/a	n/a	44	1	n/a	n/a	n/a	n/a	n/a	right
524.970	1.161	correct	1.161	grate	n/a	n/a	n/a	n/a	n/a	n/a	44	1	n/a	n/a	n/a	n/a	n/a	right
526.653	1.453	correct	1.453	grate	n/a	n/a	n/a	n/a	n/a	n/a	44	1	n/a	n/a	n/a	n/a	n/a	right
528.619	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	44	1	n/a	n/a	n/a	n/a	n/a	left
530.018	3.000	forget	0.739	retrieval	retprac	face	object	scene	competitor	object	45	1	51	3	51	103	530.0	n/a
535.052	5.422	correct	5.422	grate	n/a	n/a	n/a	n/a	n/a	n/a	45	1	n/a	n/a	n/a	n/a	n/a	left
540.985	0.100	incorrect	0.100	grate	n/a	n/a	n/a	n/a	n/a	n/a	45	1	n/a	n/a	n/a	n/a	n/a	left
542.017	3.000	no response	n/a	retrieval	retprac	scene	face	object	no response	no response	46	1	25	97	249	25	542.0	n/a
547.051	1.498	correct	1.498	grate	n/a	n/a	n/a	n/a	n/a	n/a	46	1	n/a	n/a	n/a	n/a	n/a	left
549.068	0.950	correct	0.950	grate	n/a	n/a	n/a	n/a	n/a	n/a	46	1	n/a	n/a	n/a	n/a	n/a	left
550.534	0.980	correct	0.980	grate	n/a	n/a	n/a	n/a	n/a	n/a	46	1	n/a	n/a	n/a	n/a	n/a	left
552.034	0.483	incorrect	0.483	grate	n/a	n/a	n/a	n/a	n/a	n/a	46	1	n/a	n/a	n/a	n/a	n/a	left
554.016	3.000	remember	0.381	retrieval	restudy	object	scene	face	target	object	47	1	122	74	174	226	554.0	n/a
559.050	1.560	correct	1.560	grate	n/a	n/a	n/a	n/a	n/a	n/a	47	1	n/a	n/a	n/a	n/a	n/a	right
561.133	0.853	correct	0.853	grate	n/a	n/a	n/a	n/a	n/a	n/a	47	1	n/a	n/a	n/a	n/a	n/a	left
562.500	2.016	incorrect	2.016	grate	n/a	n/a	n/a	n/a	n/a	n/a	47	1	n/a	n/a	n/a	n/a	n/a	right
566.015	3.000	remember	0.630	retrieval	retprac	object	face	scene	target	object	48	1	5	53	153	5	566.0	n/a
571.049	1.232	correct	1.232	grate	n/a	n/a	n/a	n/a	n/a	n/a	48	1	n/a	n/a	n/a	n/a	n/a	left
572.799	0.658	correct	0.658	grate	n/a	n/a	n/a	n/a	n/a	n/a	48	1	n/a	n/a	n/a	n/a	n/a	right
573.965	0.571	correct	0.571	grate	n/a	n/a	n/a	n/a	n/a	n/a	48	1	n/a	n/a	n/a	n/a	n/a	left
575.049	0.536	correct	0.536	grate	n/a	n/a	n/a	n/a	n/a	n/a	48	1	n/a	n/a	n/a	n/a	n/a	right
576.098	0.416	incorrect	0.416	grate	n/a	n/a	n/a	n/a	n/a	n/a	48	1	n/a	n/a	n/a	n/a	n/a	left
