onset	duration	trial_type	response_time	response_hand	response_accuracy	ori_match	gender	ethn_target	ethn_match	ethn_distractor	emo_match
10.0106	3.745099999999999	control	3.745099999999999	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
15.0188	2.6427999999999994	control	2.6427999999999994	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
20.027	1.5414999999999992	control	1.5414999999999992	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
25.0353	4.399000000000001	control	4.399000000000001	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
30.0435	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
35.0517	3.4253	control	3.4253	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
40.06	4.273799999999994	emotion	4.273799999999994	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
45.0682	3.055500000000002	emotion	3.055500000000002	right	correct	n/a	male	black	black	black	anger
50.0764	4.9	emotion	n/a	n/a	miss	n/a	female	caucasian	caucasian	caucasian	anger
55.0846	3.768899999999995	emotion	3.768899999999995	left	correct	n/a	male	black	black	black	fear
60.0929	4.9	emotion	n/a	n/a	miss	n/a	male	caucasian	caucasian	caucasian	anger
65.1011	3.5970999999999975	emotion	3.5970999999999975	left	incorrect	n/a	female	asian	black	asian	fear
70.1093	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
75.1176	3.2494000000000085	control	3.2494000000000085	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
80.1258	4.9	control	n/a	n/a	miss	vertical	n/a	n/a	n/a	n/a	n/a
85.134	2.155699999999996	control	2.155699999999996	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
90.1422	2.5123999999999995	control	2.5123999999999995	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
95.1505	4.9	control	n/a	n/a	miss	horizontal	n/a	n/a	n/a	n/a	n/a
100.1587	3.661600000000007	emotion	3.661600000000007	right	correct	n/a	female	caucasian	caucasian	caucasian	anger
105.1669	2.7993000000000023	emotion	2.7993000000000023	left	correct	n/a	male	black	black	black	anger
110.1752	2.2809000000000026	emotion	2.2809000000000026	right	correct	n/a	female	caucasian	caucasian	caucasian	fear
115.1834	2.4324999999999903	emotion	2.4324999999999903	left	incorrect	n/a	male	black	black	black	fear
120.1916	2.330200000000005	emotion	2.330200000000005	left	correct	n/a	male	caucasian	caucasian	caucasian	fear
125.1998	3.096800000000016	emotion	3.096800000000016	left	correct	n/a	female	asian	black	asian	anger
130.2081	3.5334000000000003	control	3.5334000000000003	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
135.2163	1.8101000000000056	control	1.8101000000000056	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
140.2245	3.6388000000000034	control	3.6388000000000034	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
145.2328	3.827300000000008	control	3.827300000000008	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
150.241	3.8929999999999723	control	3.8929999999999723	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
155.2492	2.2156999999999982	control	2.2156999999999982	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
160.2574	2.5752999999999986	emotion	2.5752999999999986	left	correct	n/a	male	caucasian	caucasian	caucasian	anger
165.2657	2.084899999999976	emotion	2.084899999999976	left	correct	n/a	female	caucasian	caucasian	caucasian	fear
170.2739	1.9525999999999897	emotion	1.9525999999999897	right	correct	n/a	male	black	black	black	anger
175.2821	2.8041999999999803	emotion	2.8041999999999803	left	correct	n/a	female	black	asian	asian	anger
180.2904	2.7267999999999972	emotion	2.7267999999999972	right	correct	n/a	male	caucasian	caucasian	white	fear
185.2986	2.5024999999999977	emotion	2.5024999999999977	right	correct	n/a	female	asian	asian	black	fear
190.3068	4.5230999999999995	control	4.5230999999999995	right	incorrect	vertical	n/a	n/a	n/a	n/a	n/a
195.315	1.6148000000000025	control	1.6148000000000025	right	correct	horizontal	n/a	n/a	n/a	n/a	n/a
200.3233	1.7314000000000078	control	1.7314000000000078	right	correct	vertical	n/a	n/a	n/a	n/a	n/a
205.3315	3.9069999999999823	control	3.9069999999999823	left	correct	horizontal	n/a	n/a	n/a	n/a	n/a
210.3397	4.7497000000000185	control	4.7497000000000185	left	incorrect	horizontal	n/a	n/a	n/a	n/a	n/a
215.348	2.667299999999983	control	2.667299999999983	left	correct	vertical	n/a	n/a	n/a	n/a	n/a
220.3562	2.701999999999998	emotion	2.701999999999998	right	correct	n/a	male	caucasian	caucasian	caucasian	fear
225.3644	1.7357000000000085	emotion	1.7357000000000085	left	correct	n/a	female	black	asian	asian	fear
230.3726	2.398300000000006	emotion	2.398300000000006	right	correct	n/a	male	caucasian	caucasian	caucasian	anger
235.3809	2.1629000000000076	emotion	2.1629000000000076	left	correct	n/a	male	black	black	black	fear
240.3891	2.1425999999999874	emotion	2.1425999999999874	left	correct	n/a	female	caucasian	caucasian	caucasian	anger
245.3973	1.7761999999999887	emotion	1.7761999999999887	right	correct	n/a	female	asian	asian	black	anger
