participant_id	Age	Gender	Notes
sub-301	20	Man	n/a
sub-302	43	Man	n/a
sub-303	27	Woman	n/a
sub-304	27	Woman	not enough probes completed
sub-305	20	Man	n/a
sub-307	39	Woman	n/a
sub-308	24	Woman	n/a
sub-309	42	Man	n/a
sub-312	21	Woman	n/a
sub-313	24	Nonbinary	n/a
sub-314	24	Woman	n/a
sub-315	20	Man	almost no RTs on SART
sub-317	34	Man	n/a
sub-318	20	Woman	n/a
sub-320	25	Woman	n/a
sub-322	23	Woman	n/a
sub-323	45	Woman	n/a
sub-326	32	Woman	n/a
sub-329	34	Woman	n/a
sub-331	35	Man	n/a
sub-332	38	Woman	n/a
sub-333	32	Man	n/a
sub-334	30	Woman	n/a
sub-335	30	Woman	n/a
sub-336	31	Man	n/a
sub-337	36	Man	n/a
sub-338	23	Woman	n/a
sub-339	41	Woman	n/a
sub-342	27	Woman	n/a
sub-344	30	Woman	n/a
sub-345	45	Man	n/a
sub-346	41	Woman	n/a
sub-348	33	Woman	n/a
sub-349	35	Woman	n/a
sub-351	28	Man	n/a
sub-353	32	Woman	n/a
sub-356	23	Nonbinary	n/a
sub-358	22	Woman	n/a
sub-359	32	Woman	n/a
sub-362	38	Man	n/a
sub-363	23	Woman	n/a
sub-364	23	Nonbinary	n/a
sub-365	35	Man	n/a
sub-366	39	Woman	not enough probes completed
sub-367	23	Woman	n/a
sub-368	36	Man	n/a
sub-370	31	Man	n/a
sub-374	31	Man	n/a
sub-376	21	Man	n/a
sub-379	25	Woman	n/a
sub-381	25	Woman	n/a
sub-384	36	Woman	"only two runs, almost no SART responses"
sub-385	22	Woman	n/a
sub-386	21	Woman	n/a
sub-387	25	Man	n/a
sub-390	33	Woman	n/a
sub-393	38	Woman	n/a
sub-394	25	Nonbinary	n/a
sub-399	37	Man	n/a
sub-400	20	Man	n/a
sub-401	30	Man	n/a
sub-405	21	Woman	n/a
