onset	duration	trial_type	stimulus
8.5	1	L2S	nose
12	1	L2NS	ear
14.5	1	L2NS	rabbit
17	1	L1S	umbrella
20.5	1	L1NS	flag
24	1	L2S	sun
27.5	1	L1S	eye
31	1	L1NS	ruler
36.5	1	L1NS	cloud
41	1	L2S	dog
44.5	1	L2NS	train
50	1	L1S	clock
52.5	1	L1NS	tiger
56	1	L1NS	leg
58.5	1	L2S	flower
62	1	L1S	fish
67.5	1	L2S	chair
71	1	L2NS	book
75.5	1	L1S	tree
78	1	L1NS	window
80.5	1	L2S	cat
83	1	L1S	door
86.5	1	L1NS	monkey
91	1	L2S	car
96.5	1	L2NS	bed
99	1	L1S	foot
104.5	1	L1NS	shoe
110	1	L2S	horse
114.5	1	L2NS	duck
117	1	L2NS	leaf
119.5	1	L1S	snake
125	1	L2S	desk
130.5	1	L2NS	gun
134	1	L1S	apple
137.5	1	L1NS	hand
140	1	L1NS	watch
145.5	1	L2S	mountain
150	1	L2NS	pen
152.5	1	L2NS	pig
157	1	L1S	bird
159.5	1	L1NS	umbrella
164	1	L2S	gun
168.5	1	L1S	ruler
173	1	L2S	rabbit
176.5	1	L2NS	mountain
180	1	L2NS	chair
182.5	1	L1S	window
187	1	L1NS	door
189.5	1	L2S	bed
195	1	L2NS	cat
197.5	1	L1S	watch
200	1	L2S	leaf
204.5	1	L2NS	car
210	1	L2NS	dog
213.5	1	L1S	hand
219	1	L1NS	clock
223.5	1	L2S	book
229	1	L2NS	horse
233.5	1	L1S	cloud
238	1	L1NS	eye
242.5	1	L2S	pig
245	1	L2NS	sun
250.5	1	L1S	tiger
256	1	L1NS	tree
258.5	1	L2S	ear
262	1	L1S	leg
267.5	1	L1NS	apple
272	1	L1NS	foot
275.5	1	L2S	pen
280	1	L2NS	nose
284.5	1	L1S	flag
287	1	L1NS	fish
292.5	1	L2S	train
298	1	L2NS	desk
303.5	1	L2NS	flower
307	1	L1S	shoe
311.5	1	L1NS	snake
317	1	L1NS	bird
320.5	1	L2S	duck
324	1	L1S	monkey
