onset	duration	trial_type	fixdur	fixrank
27.429	0	targetsT3	278	1
28.005	0	targetsT3	564	3
30.297	0	targetsT3	152	9
30.749	0	targetsT3	494	11
32.411	0	targetsT3	584	15
33.765	0	targetsD3	166	18
80.885	0	targetsT1	432	20
103.459	0	targetsD2	90	1
104.337	0	targetsT2	162	4
105.287	0	targetsD2	240	8
106.101	0	targetsD2	464	11
107.303	0	targetsD2	110	14
107.757	0	targetsD2	228	16
108.249	0	targetsT2	184	18
167.169	0	targetsT1	282	3
167.731	0	targetsT1	344	5
170.219	0	targetsD1	234	13
172.053	0	targetsD1	224	20
183.609	0	targetsT2	334	1
187.165	0	targetsT2	98	14
187.619	0	targetsT2	736	16
199.153	0	targetsD3	164	3
199.831	0	targetsT3	350	6
201.521	0	targetsT3	172	12
202.051	0	targetsT3	244	14
203.777	0	targetsD3	238	19
299.759	0	targetsD2	338	1
302.761	0	targetsT2	262	12
303.401	0	targetsT2	166	14
303.829	0	targetsT2	328	16
314.915	0	targetsT2	246	1
315.807	0	targetsD2	194	4
316.969	0	targetsT2	232	8
317.801	0	targetsT2	300	11
318.125	0	targetsD2	298	12
318.681	0	targetsD2	412	14
319.351	0	targetsD2	230	16
319.939	0	targetsD2	268	18
331.971	0	targetsD1	328	3
332.619	0	targetsD1	484	5
335.467	0	targetsT1	282	13
386.275	0	targetsD3	334	1
387.681	0	targetsD3	178	6
388.427	0	targetsD3	208	9
388.897	0	targetsD3	192	11
389.123	0	targetsD3	270	12
389.657	0	targetsD3	298	14
389.987	0	targetsD3	422	15
390.985	0	targetsT3	428	18
391.449	0	targetsT3	244	19
