onset	duration	trial_type	fixdur	fixrank
11.945	0	targetsD3	278	5
13.047	0	targetsT3	378	9
13.839	0	targetsT3	820	11
16.441	0	targetsT3	274	18
28.627	0	targetsT2	158	1
29.655	0	targetsT2	298	5
30.133	0	targetsT2	370	7
31.763	0	targetsT2	304	12
32.387	0	targetsD2	236	14
48.229	0	targetsT1	274	2
51.051	0	targetsD1	262	10
51.337	0	targetsD1	296	11
51.655	0	targetsD1	260	12
52.407	0	targetsD1	338	15
63.697	0	targetsT3	570	5
65.595	0	targetsD3	218	9
66.099	0	targetsT3	148	11
67.737	0	targetsT3	328	15
68.557	0	targetsD3	272	18
81.571	0	targetsD2	36	1
82.771	0	targetsD2	308	4
83.093	0	targetsD2	358	5
83.785	0	targetsD2	268	7
84.395	0	targetsD2	110	9
84.533	0	targetsD2	358	10
84.917	0	targetsD2	312	11
85.247	0	targetsD2	366	12
86.179	0	targetsT2	252	14
86.449	0	targetsD2	358	15
87.479	0	targetsD2	266	17
87.759	0	targetsD2	474	18
88.561	0	targetsD2	302	20
185.547	0	targetsT3	246	3
185.817	0	targetsT3	176	4
186.015	0	targetsT3	256	5
186.293	0	targetsT3	660	6
186.991	0	targetsD3	330	7
187.691	0	targetsD3	310	9
188.395	0	targetsD3	298	11
189.287	0	targetsT3	284	14
189.595	0	targetsD3	440	15
221.407	0	targetsD3	278	3
221.717	0	targetsD3	454	4
222.195	0	targetsD3	434	5
222.663	0	targetsD3	330	6
223.013	0	targetsT3	522	7
223.883	0	targetsT3	284	9
224.725	0	targetsD3	274	11
225.573	0	targetsD3	314	14
239.201	0	targetsT2	180	4
241.995	0	targetsD2	364	12
244.291	0	targetsT2	298	18
244.759	0	targetsT2	198	20
259.099	0	targetsD1	286	2
264.005	0	targetsT1	236	15
333.185	0	targetsT1	384	10
333.893	0	targetsT1	360	12
353.565	0	targetsT2	164	15
354.165	0	targetsT2	534	17
389.087	0	targetsT1	230	11
426.849	0	targetsT2	290	9
427.159	0	targetsT2	526	10
427.709	0	targetsT2	366	11
428.099	0	targetsT2	446	12
