onset	duration	trial_type	fixdur	fixrank
11.592	0	targetsT3	204	2
12.314	0	targetsT3	250	4
12.768	0	targetsT3	412	6
22.714	0	targetsD2	376	1
23.498	0	targetsT2	222	4
23.752	0	targetsT2	190	5
23.968	0	targetsT2	110	6
24.104	0	targetsT2	282	7
92.084	0	targetsD3	416	2
92.524	0	targetsD3	288	3
92.838	0	targetsD3	242	4
93.324	0	targetsT3	496	6
94.41	0	targetsD3	286	9
95.962	0	targetsD3	368	13
96.848	0	targetsT3	514	16
97.606	0	targetsT3	356	18
98.288	0	targetsD3	258	20
112.978	0	targetsT1	752	19
113.968	0	targetsT1	422	21
114.802	0	targetsT1	400	23
126.39	0	targetsT1	256	2
126.9	0	targetsT1	678	4
133.004	0	targetsD1	282	23
165.512	0	targetsT3	270	4
166.212	0	targetsD3	386	6
167.358	0	targetsT3	690	9
170.974	0	targetsD3	274	16
171.504	0	targetsD3	316	18
172.182	0	targetsT3	588	20
185.048	0	targetsT1	298	5
186.064	0	targetsD1	540	8
190.274	0	targetsD1	260	19
190.948	0	targetsD1	320	21
203.352	0	targetsD2	142	1
207.734	0	targetsT2	278	17
208.046	0	targetsT2	254	18
208.332	0	targetsT2	244	19
208.602	0	targetsT2	554	20
235.696	0	targetsT2	156	1
235.87	0	targetsT2	396	2
236.296	0	targetsT2	410	3
236.736	0	targetsD2	268	4
237.018	0	targetsD2	272	5
237.318	0	targetsD2	250	6
237.592	0	targetsD2	264	7
240.246	0	targetsD2	236	17
240.506	0	targetsD2	580	18
242.074	0	targetsD2	320	22
289.146	0	targetsT3	632	3
289.81	0	targetsD3	186	4
290.336	0	targetsD3	264	6
292.354	0	targetsT3	468	13
338.684	0	targetsD1	210	2
339.23	0	targetsD1	234	4
339.488	0	targetsD1	182	5
340.168	0	targetsT1	510	8
355.238	0	targetsD2	438	1
355.708	0	targetsD2	200	2
355.93	0	targetsD2	152	3
356.1	0	targetsD2	296	4
356.66	0	targetsT2	198	6
356.886	0	targetsD2	234	7
360.29	0	targetsD2	276	18
360.588	0	targetsD2	258	19
360.876	0	targetsD2	274	20
361.34	0	targetsT2	274	22
377.03	0	targetsT2	172	1
377.472	0	targetsT2	250	3
382.454	0	targetsT2	514	18
393.752	0	targetsT2	400	1
394.682	0	targetsD2	292	3
395	0	targetsT2	740	4
396.148	0	targetsD2	228	6
396.402	0	targetsT2	332	7
