onset	duration	trial_type	fixdur	fixrank
20.778	0	targetsD1	218	9
21.27	0	targetsT1	188	11
21.724	0	targetsT1	250	13
22.274	0	targetsD1	238	15
22.538	0	targetsD1	226	16
23.056	0	targetsD1	170	18
23.766	0	targetsD1	350	21
34.42	0	targetsT2	192	2
38.444	0	targetsT2	124	17
38.852	0	targetsT2	142	19
80.4	0	targetsT1	276	9
80.942	0	targetsT1	524	11
109.004	0	targetsD3	214	2
110.972	0	targetsT3	232	10
111.242	0	targetsT3	364	11
111.742	0	targetsT3	280	13
112.51	0	targetsD3	190	16
112.722	0	targetsT3	232	17
113.204	0	targetsT3	474	19
126.31	0	targetsD2	234	2
128.034	0	targetsT2	558	9
128.628	0	targetsD2	306	10
129.194	0	targetsD2	230	12
130.486	0	targetsT2	182	17
130.914	0	targetsT2	212	19
144.186	0	targetsD2	188	2
144.81	0	targetsT2	202	5
191.674	0	targetsT2	124	2
192.058	0	targetsT2	206	4
195.078	0	targetsT2	518	14
196.156	0	targetsD2	226	17
196.714	0	targetsD2	254	19
241.51	0	targetsD2	198	4
241.73	0	targetsD2	272	5
242.782	0	targetsD2	386	9
243.208	0	targetsT2	262	10
243.7	0	targetsT2	262	12
244.274	0	targetsD2	232	14
245.024	0	targetsD2	218	17
245.392	0	targetsD2	260	19
260.272	0	targetsT3	174	2
260.67	0	targetsT3	340	4
261.568	0	targetsD3	258	7
263.256	0	targetsT3	294	12
264.496	0	targetsT3	476	16
280.226	0	targetsT1	254	18
294.232	0	targetsD1	192	11
297.122	0	targetsT1	510	21
309.36	0	targetsD3	84	1
309.482	0	targetsT3	278	2
310.13	0	targetsD3	216	4
310.622	0	targetsD3	300	6
310.946	0	targetsT3	756	7
311.728	0	targetsD3	208	8
312.324	0	targetsD3	180	10
312.522	0	targetsD3	248	11
312.79	0	targetsD3	154	12
312.968	0	targetsD3	190	13
313.652	0	targetsD3	280	16
313.956	0	targetsD3	222	17
314.478	0	targetsD3	222	19
326.892	0	targetsT3	446	1
327.358	0	targetsD3	272	2
328.608	0	targetsT3	246	6
329.082	0	targetsT3	422	8
331.472	0	targetsT3	658	16
364.3	0	targetsD1	254	11
364.78	0	targetsD1	218	13
365.55	0	targetsT1	504	16
398.698	0	targetsT1	462	15
