onset	duration	trial_type	fixdur	fixrank
12.098	0	targetsD3	254	3
12.378	0	targetsD3	232	4
12.644	0	targetsD3	224	5
12.896	0	targetsD3	284	6
14.258	0	targetsD3	196	10
14.478	0	targetsT3	250	11
14.85	0	targetsT3	88	12
14.96	0	targetsT3	214	13
15.33	0	targetsT3	186	14
44.156	0	targetsD2	664	23
54.654	0	targetsT1	162	6
54.824	0	targetsD1	132	7
54.978	0	targetsT1	500	8
70.99	0	targetsT1	206	2
91.89	0	targetsT3	226	9
92.148	0	targetsT3	436	10
92.606	0	targetsD3	410	11
93.046	0	targetsD3	418	12
93.512	0	targetsT3	262	13
118.948	0	targetsT3	206	3
119.174	0	targetsD3	188	4
119.38	0	targetsT3	210	5
119.622	0	targetsD3	322	6
120.786	0	targetsT3	228	10
121.048	0	targetsT3	212	11
121.286	0	targetsT3	272	12
121.588	0	targetsD3	398	13
150.548	0	targetsD3	232	3
150.806	0	targetsT3	234	4
151.06	0	targetsD3	368	5
151.446	0	targetsT3	232	6
152.408	0	targetsD3	286	9
152.722	0	targetsD3	264	10
153.022	0	targetsD3	368	11
153.428	0	targetsT3	250	12
153.698	0	targetsD3	142	13
163.822	0	targetsT3	252	3
164.276	0	targetsT3	376	5
165.928	0	targetsT3	230	11
166.182	0	targetsD3	480	12
166.924	0	targetsD3	262	14
167.466	0	targetsD3	200	16
168.276	0	targetsD3	218	19
168.514	0	targetsD3	236	20
178.34	0	targetsD1	270	1
178.634	0	targetsD1	516	2
179.208	0	targetsD1	254	3
180.28	0	targetsD1	224	6
180.52	0	targetsT1	282	7
180.822	0	targetsD1	384	8
182.51	0	targetsD1	216	14
182.964	0	targetsD1	260	16
206.952	0	targetsD2	248	5
207.544	0	targetsD2	224	7
207.786	0	targetsT2	254	8
208.072	0	targetsD2	160	9
211.642	0	targetsT2	212	21
211.87	0	targetsD2	218	22
212.11	0	targetsT2	148	23
225.12	0	targetsT2	268	7
227.536	0	targetsT2	434	15
229.526	0	targetsD2	240	21
276.596	0	targetsT2	262	5
277.244	0	targetsT2	212	7
277.482	0	targetsD2	180	8
277.698	0	targetsT2	380	9
279.598	0	targetsD2	208	15
280.89	0	targetsD2	232	20
281.144	0	targetsD2	192	21
294.688	0	targetsT1	324	14
295.236	0	targetsT1	334	16
324.656	0	targetsT1	162	1
325.072	0	targetsT1	214	3
338.718	0	targetsT3	210	4
339.18	0	targetsT3	278	6
340.36	0	targetsD3	276	11
340.664	0	targetsD3	824	12
342.816	0	targetsT3	250	16
343.356	0	targetsT3	310	19
343.714	0	targetsT3	572	20
354.836	0	targetsD2	304	7
358.99	0	targetsT2	274	20
359.288	0	targetsT2	638	21
359.948	0	targetsT2	346	22
