onset	duration	trial_type	fixdur	fixrank
14.256	0	targetsT2	256	2
16.696	0	targetsD2	148	8
19.896	0	targetsD2	164	16
20.56	0	targetsT2	622	19
30.954	0	targetsT3	472	10
31.452	0	targetsT3	430	11
68.762	0	targetsT1	250	3
70.392	0	targetsT1	446	7
89.03	0	targetsD1	228	3
90.234	0	targetsD1	224	7
93.222	0	targetsT1	260	16
94.18	0	targetsD1	490	19
152.954	0	targetsT1	526	21
170.744	0	targetsT1	532	3
176.056	0	targetsD1	322	19
176.628	0	targetsD1	344	21
239.732	0	targetsD1	230	3
243.984	0	targetsD1	354	16
244.956	0	targetsT1	184	19
245.418	0	targetsT1	264	21
258.984	0	targetsD3	234	4
259.24	0	targetsT3	206	5
260.168	0	targetsT3	748	8
261.246	0	targetsD3	258	10
261.524	0	targetsD3	182	11
261.728	0	targetsD3	306	12
262.458	0	targetsD3	392	14
263.134	0	targetsD3	238	16
264.006	0	targetsD3	672	18
278.404	0	targetsD2	372	8
279.81	0	targetsD2	202	11
280.028	0	targetsT2	886	12
281.794	0	targetsD2	250	16
282.064	0	targetsT2	406	17
295.388	0	targetsT2	436	8
296.852	0	targetsD2	246	12
298.142	0	targetsT2	330	16
298.652	0	targetsT2	422	18
315.844	0	targetsT1	298	19
316.53	0	targetsD1	492	21
330.006	0	targetsT3	258	4
330.286	0	targetsD3	358	5
331.542	0	targetsD3	394	8
334.36	0	targetsT3	516	16
345.478	0	targetsD2	344	2
347.068	0	targetsD2	332	7
347.438	0	targetsT2	232	8
348.276	0	targetsT2	636	11
348.952	0	targetsD2	326	12
349.302	0	targetsD2	338	13
349.658	0	targetsD2	304	14
350.408	0	targetsT2	912	16
351.35	0	targetsD2	340	17
351.708	0	targetsD2	256	18
351.982	0	targetsD2	448	19
352.75	0	targetsD2	710	21
387.532	0	targetsT3	116	12
387.926	0	targetsT3	364	14
389.332	0	targetsT3	812	18
420.354	0	targetsT2	204	12
420.844	0	targetsT2	586	14
423.954	0	targetsT2	758	21
442.806	0	targetsT2	870	7
445.416	0	targetsT2	566	13
