onset	duration	trial_type	onset_response	response_time	news_no	news_type	value
0.023	5	intro&rest	n/a	n/a	n/a	n/a	n/a
5.108	17.891	sharingrating1	23.091	3	2	R	5
26.124	2.907	fixations	n/a	n/a	n/a	n/a	n/a
29.141	17.89	sharingrating1	47.141	3	21	R	2
50.174	2.5	fixations	n/a	n/a	n/a	n/a	n/a
52.774	17.9	sharingrating1	70.773	3	22	R	2
73.807	1.418	fixations	n/a	n/a	n/a	n/a	n/a
75.306	17.919	sharingrating1	93.323	3	13	R	3
96.356	1.405	fixations	n/a	n/a	n/a	n/a	n/a
97.856	17.905	sharingrating1	115.855	3	133	F	1
118.889	1.433	fixations	n/a	n/a	n/a	n/a	n/a
120.422	17.9	sharingrating1	138.421	3	19	R	3
141.454	1.064	fixations	n/a	n/a	n/a	n/a	n/a
142.621	17.897	sharingrating1	160.621	3	120	R	4
163.654	2.748	fixations	n/a	n/a	n/a	n/a	n/a
166.504	17.898	sharingrating1	184.503	3	7	R	4
187.536	2.766	fixations	n/a	n/a	n/a	n/a	n/a
190.403	17.899	sharingrating1	208.403	3	97	R	2
211.436	2.086	fixations	n/a	n/a	n/a	n/a	n/a
213.619	17.903	sharingrating1	231.619	3	109	R	5
234.652	2.722	fixations	n/a	n/a	n/a	n/a	n/a
237.468	17.906	sharingrating1	255.468	3	110	R	3
258.501	1.514	fixations	n/a	n/a	n/a	n/a	n/a
260.118	17.897	sharingrating1	278.117	3	42	F	4
281.15	2.016	fixations	n/a	n/a	n/a	n/a	n/a
283.267	17.899	sharingrating1	301.267	3	8	R	4
304.3	1.886	fixations	n/a	n/a	n/a	n/a	n/a
306.283	17.903	sharingrating1	324.283	3	98	R	2
327.316	2.962	fixations	n/a	n/a	n/a	n/a	n/a
330.382	17.896	sharingrating1	348.382	3	17	R	4
351.415	1.418	fixations	n/a	n/a	n/a	n/a	n/a
352.948	17.885	sharingrating1	370.931	3	129	F	4
373.964	2.181	fixations	n/a	n/a	n/a	n/a	n/a
376.248	17.897	sharingrating1	394.247	3	78	F	2
397.28	2.241	fixations	n/a	n/a	n/a	n/a	n/a
399.614	17.907	sharingrating1	417.613	3	68	F	4
420.546	1.481	fixations	n/a	n/a	n/a	n/a	n/a
422.13	17.897	sharingrating1	440.129	3	67	F	3
443.162	1.764	fixations	n/a	n/a	n/a	n/a	n/a
445.029	17.897	sharingrating1	463.028	3	35	F	3
466.062	2.358	fixations	n/a	n/a	n/a	n/a	n/a
468.512	17.908	sharingrating1	486.528	3	18	R	2
489.561	1.87	fixations	n/a	n/a	n/a	n/a	n/a
491.528	17.903	sharingrating1	509.527	3	117	R	2
512.56	1.838	fixations	n/a	n/a	n/a	n/a	n/a
514.494	17.904	sharingrating1	532.493	3	11	R	4
535.527	2.048	fixations	n/a	n/a	n/a	n/a	n/a
537.676	17.899	sharingrating1	555.676	3	37	F	1
558.709	2.606	fixations	n/a	n/a	n/a	n/a	n/a
561.409	17.906	sharingrating1	579.408	3	43	F	5
582.442	1.527	fixations	n/a	n/a	n/a	n/a	n/a
584.058	17.911	sharingrating1	602.058	3	71	F	4
605.091	2.18	fixations	n/a	n/a	n/a	n/a	n/a
607.358	17.913	sharingrating1	625.357	3	23	R	1
628.39	1.175	fixations	n/a	n/a	n/a	n/a	n/a
629.657	17.908	sharingrating1	647.673	3	123	F	4
650.706	1.399	fixations	n/a	n/a	n/a	n/a	n/a
652.19	17.915	sharingrating1	670.206	3	51	F	2
673.239	2.053	fixations	n/a	n/a	n/a	n/a	n/a
675.389	17.903	sharingrating1	693.388	3	111	R	2
696.322	1.473	fixations	n/a	n/a	n/a	n/a	n/a
697.888	17.907	sharingrating1	715.888	3	132	F	2
718.921	2.251	fixations	n/a	n/a	n/a	n/a	n/a
721.271	17.901	sharingrating1	739.27	3	29	R	2
742.304	2.098	fixations	n/a	n/a	n/a	n/a	n/a
744.487	17.915	sharingrating1	762.503	3	40	F	4
765.536	1.829	fixations	n/a	n/a	n/a	n/a	n/a
767.453	17.912	sharingrating1	785.452	3	87	F	3
788.486	2.395	fixations	n/a	n/a	n/a	n/a	n/a
790.986	17.895	sharingrating1	808.985	3	50	F	3
812.018	2.24	fixations	n/a	n/a	n/a	n/a	n/a
814.352	17.906	sharingrating1	832.351	3	49	F	4
835.384	2.059	fixations	n/a	n/a	n/a	n/a	n/a
837.534	17.909	sharingrating1	855.55	3	130	F	4
858.684	1.456	fixations	n/a	n/a	n/a	n/a	n/a
860.234	17.906	sharingrating1	878.233	3	83	F	4
881.166	1.428	fixations	n/a	n/a	n/a	n/a	n/a
882.683	17.911	sharingrating1	900.699	3	93	R	3
903.732	2.006	fixations	n/a	n/a	n/a	n/a	n/a
905.832	17.906	sharingrating1	923.832	3	122	F	4
