onset	duration	trial	value	instruction
8686	8	1	3	interval
16623	7	2	1	rest
23565	5	2	2	task
28670	8	2	3	interval
36646	7	3	1	rest
43566	5	3	2	task
48667	8	3	3	interval
56616	7	4	1	rest
63561	5	4	2	task
68666	8	4	3	interval
76644	7	5	1	rest
83558	5	5	2	task
88666	8	5	3	interval
96650	7	6	1	rest
103565	5	6	2	task
108673	8	6	3	interval
116633	12	7	1	rest
128675	8	7	2	task
136636	7	7	3	interval
143572	5	8	1	rest
148679	8	8	2	task
156637	7	8	3	interval
163577	5	9	1	rest
168706	8	9	2	task
176649	7	9	3	interval
183590	5	10	1	rest
188703	8	10	2	task
196651	7	10	3	interval
203591	5	11	1	rest
208699	8	11	2	task
216654	7	11	3	interval
223846	5	12	1	rest
228702	8	12	2	task
236669	7	12	3	interval
243594	5	13	1	rest
248704	8	13	2	task
256674	7	13	3	interval
263597	5	14	1	rest
268702	8	14	2	task
276668	7	14	3	interval
283605	5	15	1	rest
288719	8	15	2	task
296685	12	15	3	interval
308708	8	16	1	rest
316674	7	16	2	task
323617	5	16	3	interval
328712	8	17	1	rest
336675	7	17	2	task
343609	5	17	3	interval
348716	8	18	1	rest
356674	7	18	2	task
363615	5	18	3	interval
368719	8	19	1	rest
376674	7	19	2	task
383620	5	19	3	interval
388744	8	20	1	rest
396684	7	20	2	task
403617	5	20	3	interval
408727	8	21	1	rest
416685	7	21	2	task
423626	5	21	3	interval
428730	8	22	1	rest
436703	7	22	2	task
443626	5	22	3	interval
448739	8	23	1	rest
456706	7	23	2	task
463629	5	23	3	interval
468747	8	24	1	rest
476690	7	24	2	task
483628	5	24	3	interval
488741	8	25	1	rest
496692	7	25	2	task
503653	5	25	3	interval
