onset	duration	response_time	answer	type
47632	2500	1510	1	 GLOVE.bmp
53619	2500	1330	1	 ASPARAGU.bmp
59624	2500	986	1	 DEER.bmp
66628	2500	705	1	 FLOWER.bmp
72633	2500	952	1	 GUITAR.bmp
78620	2500	910	1	 CORN.bmp
85625	2500	1801	1	 BRAIN.bmp
92630	2500	931	0	 ACORN.bmp
99619	2500	950	1	 DRAGONFL.bmp
105623	2500	692	1	 ENVELOPE.bmp
112628	2500	694	1	 AIRPLANE.bmp
119633	2500	878	1	 BELT.bmp
125620	2500	1993	1	 AXE.bmp
131625	2500	860	1	 BUTTERFL.bmp
138630	2500	1556	1	 COW.bmp
145618	2500	993	1	 EYE.bmp
152623	2500	875	1	 BEAR.bmp
159628	2500	720	1	 BICYCLE.bmp
166633	2500	840	1	 ARTICHOK.bmp
173621	2500	906	1	 BIRDNEST.bmp
179625	2500	800	1	 CANNON.bmp
186630	2500	803	1	 DOLPHIN.bmp
193618	2500	746	1	 FLAG.bmp
200623	2500	798	1	 BOW.bmp
207628	2500	1010	0	 DOGHOUSE.bmp
214618	2500	1022	1	 DOORKNOB.bmp
221622	2500	735	1	 RAY.bmp
227626	2500	866	1	 DRESSER.bmp
233630	2500	797	1	 CHEESE.bmp
239618	2500	687	1	 CLOWN.bmp
245622	2500	1075	1	 GARBAGEC.bmp
252627	2500	840	1	 BENCH.bmp
258631	2500	1110	1	 EAGLE.bmp
264619	2500	959	1	 CATERPIL.bmp
270623	2500	619	1	 CAT.bmp
276627	2500	731	1	 SCORPION.bmp
282632	2500	790	1	 BROOM.bmp
288619	2500	1836	1	 FRYINGPA.bmp
295624	2500	764	1	 ELEPHANT.bmp
302629	2500	940	1	 frenchcr.bmp
309618	2500	1642	0	 ASHTRAY.bmp
316622	2500	790	1	 CLOUD.bmp
323627	2500	748	1	 EAR.bmp
330632	2500	1070	1	 DONKEY.bmp
337620	2500	625	1	 FORK.bmp
344625	2500	1011	1	 CARROT.bmp
350630	2500	861	1	 ANCHOR.bmp
357618	2500	739	1	 CROWN.bmp
363622	2500	885	1	 BOTTLE.bmp
369626	2500	1506	1	 CAP.bmp
375631	2500	850	1	 ACCORDIO.bmp
381618	2500	748	1	 COMPASS.bmp
387622	2500	1243	1	 DUSTPAN.bmp
394627	2500	1231	1	 GORILLA.bmp
401632	2500	996	1	 FISH.bmp
408621	2500	737	1	 FEATHER.bmp
415626	2500	1078	1	 BIRDCAGE.bmp
422631	2500	1507	0	 DRESS.bmp
428618	2500	1021	1	 BOX.bmp
435623	2500	1162	1	 BOWL.bmp
442628	2500	918	1	 FAUCET.bmp
448632	2500	1473	0	 COAT.bmp
455621	2500	792	1	 FUNNEL.bmp
461625	2500	1305	1	 CHICKEN.bmp
467629	2500	1085	1	 HAMMOCK.bmp
473618	2500	810	1	 ALLIGATO.bmp
479621	2500	841	1	 CAR.bmp
485625	2500	1023	1	 CRAB.bmp
491629	2500	990	1	 APPLE.bmp
497618	2500	860	1	 CUP.bmp
504622	2500	842	1	 BOOT.bmp
510626	2500	920	1	 CHIMNEY.bmp
516630	2500	929	1	 BEE.bmp
522618	2500	rien	0	 FAN.bmp
