onset	duration	response_time	answer	type
53837	2500	1937	1	 MOON.bmp
59841	2500	1039	1	 MONKEY.bmp
66830	2500	886	1	 PICTURE.bmp
73835	2500	930	1	 CIGARETT.bmp
80840	2500	973	1	 NOSE.bmp
87829	2500	1002	1	 STOOL.bmp
93832	2500	828	1	 MICROSCO.bmp
100837	2500	708	1	 PALMTREE.bmp
107842	2500	950	1	 RABBIT.bmp
113830	2500	762	1	 SWAN.bmp
120834	2500	953	1	 SYRINGE.bmp
127839	2500	rien	0	 KNIFE.bmp
134829	2500	950	1	 SCREW.bmp
141833	2500	929	1	 LADDER.bmp
148838	2500	1120	1	 UMBRELLA.bmp
154842	2500	704	1	 WHIP.bmp
160829	2500	1062	1	 ROOSTER.bmp
166834	2500	889	1	 HAT.bmp
172838	2500	1350	1	 HAMMER.bmp
179843	2500	813	1	 WATERING.bmp
186831	2500	1070	1	 SKIRT.bmp
192835	2500	815	1	 PANTS.bmp
198840	2500	1000	1	 ROCKET.bmp
204829	2500	613	1	 GLASS.bmp
210832	2500	A087	1	 HARMONIC.bmp
217837	2500	985	1	 WOLF.bmp
223841	2500	931	1	 WEATHERV.bmp
229829	2500	916	1	 WINDOW.bmp
235833	2500	647	1	 PAINTBRU.bmp
242838	2500	1600	1	 RAT.bmp
248842	2500	1224	1	 SAW.bmp
255830	2500	846	1	 VASE.bmp
261834	2500	757	1	 NAILFILE.bmp
268839	2500	1073	1	 WHEEL.bmp
275829	2500	789	1	 NECKLACE.bmp
282833	2500	993	1	 LIGHTBUL.bmp
288837	2500	848	1	 SHIRT.bmp
295842	2500	1530	1	 TRACTOR.bmp
301829	2500	659	1	 PELICAN.bmp
307834	2500	rien	0	 RING.bmp
314839	2500	2000	0	 WELL.bmp
321843	2500	795	1	 TELEPHON.bmp
327831	2500	1202	1	 LION.bmp
334836	2500	725	1	 PIPE.bmp
340840	2500	917	1	 SHOE.bmp
347829	2500	600	1	 SQUIRREL.bmp
353833	2500	1563	1	 ski.bmp
359837	2500	875	1	 LEG.bmp
366842	2500	865	1	 HARP.bmp
373830	2500	788	1	 TIGER.bmp
379835	2500	1093	1	 PLIERS.bmp
385839	2500	1230	0	 SNAIL.bmp
391843	2500	621	1	 LAMP.bmp
398831	2500	583	1	 Scale.bmp
404836	2500	1055	1	 SKULL.bmp
411841	2500	3045	0	 SPIDER.bmp
417829	2500	675	1	 PEACOCK.bmp
424833	2500	1160	1	 SOCK.bmp
430837	2500	1095	1	 MOTORCYC.bmp
436842	2500	967	1	 PLUG.bmp
443830	2500	695	0	 SNAKE.bmp
449834	2500	982	1	 PIANO.bmp
456839	2500	565	1	 TIE.bmp
463829	2500	868	1	 POT.bmp
470832	2500	1587	1	 LOCK.bmp
476837	2500	984	1	 LADYBUG.bmp
482841	2500	742	1	 NAIL.bmp
489829	2500	845	1	 TRUMPET.bmp
495833	2500	731	1	 PEAR.bmp
501838	2500	859	1	 ZEBRA.bmp
507842	2500	1031	1	 OSTRICH.bmp
514830	2500	1022	1	 MOUNTAIN.bmp
520834	2500	1090	1	 RULER.bmp
527839	2500	607	1	 HYENA.bmp
