onset	duration	Pair	Response	RT	Cond	Q_choice	Q_notchosen	eQdiff	Rv_diff	Beta_Q	alpha_gain	alpha_loss
1.0341	1.1342	Af	Correct	1.122	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
4.5531	1.1843	Ad	Correct	1.174	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
8.5731	1.7681	eA	inCorrect	1.759	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
13.0931	0.9841	eC	inCorrect	0.98	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
21.1161	1.2177	Ab	Correct	1.206	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
29.1401	1.3844	Fd	Correct	1.374	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
32.6591	1.3677	bF	inCorrect	1.359	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
37.1791	1.7014	Ab	Correct	1.687	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
40.6991	0.6505	Ad	Correct	0.641	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
44.7191	1.5679	bE	Correct	1.566	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
48.2551	1.0341	dA	Correct	1.024	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
52.7751	2.5354	Db	inCorrect	2.524	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
56.7951	0.9007	Ef	Correct	0.898	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
64.8181	0.9508	Ce	inCorrect	0.94	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
68.8381	1.1343	bA	Correct	1.12	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
76.8611	1.3844	bC	inCorrect	1.367	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
81.3821	1.0842	cA	Correct	1.078	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
84.9011	0.8006	eC	inCorrect	0.783	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
89.4221	0.7673	Ae	inCorrect	0.759	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
92.4571	1.6847	dC	Correct	1.666	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
96.9781	1.7347	bF	inCorrect	1.724	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
100.9981	0.8173	Ad	Correct	0.812	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
105.0171	0.8173	Ab	Correct	0.815	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
109.5381	0.6839	Ef	Correct	0.68	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
113.0571	1.2343	Cd	Correct	1.225	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
117.5781	0.8007	Ab	Correct	0.784	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
121.0971	0.7673	eC	inCorrect	0.754	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
124.6331	1.0342	Ef	Correct	1.023	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
129.6541	0.9842	eC	inCorrect	0.975	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
133.6741	1.0008	fA	Correct	0.993	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
137.1931	0.9175	bA	Correct	0.899	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
141.2131	1.301	dC	Correct	1.288	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
145.7341	1.8515	fC	Correct	1.835	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
148.7691	0.784	Af	Correct	0.774	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
157.7931	3.0024	bD	omission	0	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
163.7981	1.2177	Ae	Correct	1.209	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
167.3181	1.5846	Fd	Correct	1.57	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
175.3411	0.8173	Ef	Correct	0.807	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
179.8611	1.2009	Af	Correct	1.194	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
183.8811	0.7005	Af	Correct	0.688	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
186.9171	2.2184	bE	Correct	2.203	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
190.9531	2.0182	bC	inCorrect	2.002	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
195.4741	0.9507	Ae	Correct	0.935	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
199.4941	1.4511	Eb	Correct	1.449	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
203.9971	1.1509	Ef	Correct	1.144	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
207.5171	0.9007	Ae	Correct	0.896	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
211.0531	1.3177	Fb	inCorrect	1.303	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
215.5731	1.4345	Ef	Correct	1.429	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
224.0971	1.3178	Cb	inCorrect	1.31	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
227.1331	0.8007	Ad	Correct	0.793	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
231.1691	1.7181	fC	inCorrect	1.712	wl.u	0.2985	0.7128	-0.4143	30	6.7351	0.1155	0.1035
236.1901	1.1676	Db	inCorrect	1.164	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
239.2261	1.0008	Ae	Correct	0.984	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
244.2461	1.3678	Ac	Correct	1.36	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
247.7661	1.7181	Fd	Correct	1.713	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
251.3021	1.8015	Cd	Correct	1.792	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
255.8221	1.0509	eA	Correct	1.045	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
259.8421	1.3011	cA	Correct	1.297	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
264.3631	1.3011	bA	Correct	1.292	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
267.3981	2.3519	eC	inCorrect	2.345	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
271.4351	0.9341	dA	Correct	0.923	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
275.9551	1.7681	bF	inCorrect	1.753	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
279.9751	1.1009	Cf	inCorrect	1.087	wl.u	0.2985	0.7128	-0.4143	30	6.7351	0.1155	0.1035
283.5111	0.8674	dA	Correct	0.854	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
287.5481	1.4678	dE	Correct	1.461	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
292.5691	1.0342	Ac	Correct	1.017	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
300.0911	1.2344	Af	Correct	1.218	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
304.1111	1.618	bD	inCorrect	1.613	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
312.6351	0.9674	dE	Correct	0.957	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
316.1541	0.8507	bA	Correct	0.837	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
323.6941	0.8674	Ac	Correct	0.858	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
328.2141	0.9508	Eb	Correct	0.937	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
332.7341	1.251	bC	inCorrect	1.24	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
339.7731	1.3511	Cd	Correct	1.341	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
344.7941	0.8507	Ae	Correct	0.849	ww	0.7797	0.7867	-0.007	20	6.7351	0.1155	0.1035
348.3141	0.8174	Eb	Correct	0.802	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
352.3341	1.2176	Cb	inCorrect	1.204	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
355.8701	0.6839	Af	Correct	0.68	wl.u	0.7797	0.2985	0.4812	40	6.7351	0.1155	0.1035
359.9061	1.3511	Fb	Correct	1.343	ll	0.2985	0.2895	0.009	20	6.7351	0.1155	0.1035
363.9431	0.8841	dE	Correct	0.87	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
368.9641	1.2177	dF	Correct	1.2	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
372.4831	1.5346	Fb	inCorrect	1.527	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
376.0191	0.834	Ac	Correct	0.818	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
381.0401	0.9174	bA	Correct	0.905	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
384.5591	0.9675	fE	Correct	0.963	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
389.0801	1.2676	Cf	Correct	1.25	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
392.1321	0.7506	Eb	Correct	0.741	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
396.6531	1.3011	dF	inCorrect	1.282	ll	0.2104	0.2985	-0.0881	10	6.7351	0.1155	0.1035
400.2051	1.2677	bC	Correct	1.262	wl.u	0.7128	0.2895	0.4233	50	6.7351	0.1155	0.1035
405.2261	0.7673	Ab	Correct	0.763	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
409.2461	0.834	bC	inCorrect	0.83	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
413.2661	0.7506	eA	inCorrect	0.733	ww	0.7867	0.7797	0.007	20	6.7351	0.1155	0.1035
416.3021	1.8515	bD	inCorrect	1.845	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
420.8221	1.3011	Ef	Correct	1.298	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
424.3581	0.784	dA	Correct	0.78	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
428.8791	1.2176	bD	inCorrect	1.214	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
432.8981	1.2844	fC	Correct	1.281	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
437.4191	1.0842	bA	Correct	1.082	wl.l	0.7797	0.2895	0.4902	60	6.7351	0.1155	0.1035
441.4391	1.151	Cf	Correct	1.14	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
444.4741	0.8173	Cd	Correct	0.804	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
448.5111	0.884	bF	inCorrect	0.867	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
453.5321	1.4011	Cf	Correct	1.396	wl.u	0.7128	0.2985	0.4143	30	6.7351	0.1155	0.1035
457.0511	1.0008	dA	Correct	0.988	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
461.0711	1.1176	Ac	Correct	1.1	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
469.5951	1.0008	Cb	inCorrect	0.989	wl.u	0.2895	0.7128	-0.4233	50	6.7351	0.1155	0.1035
477.1171	1.8014	Fd	Correct	1.798	ll	0.2985	0.2104	0.0881	10	6.7351	0.1155	0.1035
481.1371	0.8173	dA	Correct	0.801	wl.u	0.7797	0.2104	0.5693	50	6.7351	0.1155	0.1035
485.1571	0.9007	Ce	inCorrect	0.889	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
489.6781	1.7348	Cd	Correct	1.726	wl.l	0.7128	0.2104	0.5024	40	6.7351	0.1155	0.1035
493.1971	1.0509	bD	inCorrect	1.037	ll	0.2895	0.2104	0.0791	10	6.7351	0.1155	0.1035
497.2171	1.1343	eC	inCorrect	1.116	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
501.2371	0.734	Ac	Correct	0.722	ww	0.7797	0.7128	0.0669	10	6.7351	0.1155	0.1035
505.7571	1.6347	bE	inCorrect	1.631	wl.u	0.2895	0.7867	-0.4972	40	6.7351	0.1155	0.1035
513.7801	2.135	Eb	Correct	2.126	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
521.3031	0.9007	dE	Correct	0.888	wl.u	0.7867	0.2104	0.5763	30	6.7351	0.1155	0.1035
525.3231	0.8007	Eb	Correct	0.787	wl.u	0.7867	0.2895	0.4972	40	6.7351	0.1155	0.1035
528.8591	0.7006	Ce	inCorrect	0.695	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
533.8801	1.2344	Ef	Correct	1.226	wl.l	0.7867	0.2985	0.4882	20	6.7351	0.1155	0.1035
537.3991	1.4512	bF	inCorrect	1.445	ll	0.2895	0.2985	-0.009	20	6.7351	0.1155	0.1035
541.4191	0.6839	eC	inCorrect	0.676	ww	0.7867	0.7128	0.0739	10	6.7351	0.1155	0.1035
