onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.05	1.7681	FE	E	Correct	1.75	2.1184	0.517	1	0.5	0.5	0.5	56	6.7351	0.1155	0.1035
4.0866	1.7681	EF	F	Incorrect	1.76	6.1549	0.5171	-1	-0.5	0.5	0.5577	56	6.7351	0.1155	0.1035
9.1073	1.3678	FE	F	Incorrect	1.354	10.7753	0.5171	-1	-0.4482	0.4482	0.5577	56	6.7351	0.1155	0.1035
12.1431	1.3844	DC	C	Correct	1.372	13.8278	0.5171	1	0.5	0.5	0.5	34	6.7351	0.1155	0.1035
17.1638	1.4512	DC	D	Incorrect	1.436	18.9152	0.5171	-1	-0.5	0.5	0.5577	34	6.7351	0.1155	0.1035
21.6841	1.3344	FE	E	Correct	1.332	23.3188	0.5171	-1	-0.5577	0.5577	0.4018	56	6.7351	0.1155	0.1035
24.7032	1.8182	AB	B	Incorrect	1.815	26.8216	0.5171	-1	-0.5	0.5	0.5	12	6.7351	0.1155	0.1035
29.7239	1.201	CD	D	Incorrect	1.187	31.2252	0.517	-1	-0.4482	0.4482	0.5577	34	6.7351	0.1155	0.1035
33.7439	1.2176	CD	D	Incorrect	1.2	35.2617	0.5171	-1	-0.4018	0.4018	0.5577	34	6.7351	0.1155	0.1035
36.2959	1.0175	AB	A	Correct	1.015	37.6136	0.5171	-1	-0.5	0.5	0.4482	12	6.7351	0.1155	0.1035
40.8162	1.2344	FE	E	Correct	1.219	42.3508	0.5171	1	0.5	0.5	0.4018	56	6.7351	0.1155	0.1035
44.3524	0.9341	EF	E	Correct	0.926	45.5867	0.5171	-1	-0.5577	0.5577	0.4018	56	6.7351	0.1155	0.1035
48.389	1.7514	EF	E	Correct	1.742	50.4407	0.517	-1	-0.5	0.5	0.4018	56	6.7351	0.1155	0.1035
52.9093	1.1009	BA	A	Correct	1.084	54.3104	0.5171	-1	-0.4482	0.4482	0.4482	12	6.7351	0.1155	0.1035
57.93	1.2344	DC	C	Correct	1.225	59.4646	0.5171	1	0.4423	0.5577	0.3602	34	6.7351	0.1155	0.1035
61.9499	1.3845	BA	B	Incorrect	1.375	63.6346	0.5171	-1	-0.4482	0.4482	0.4018	12	6.7351	0.1155	0.1035
64.4853	1.251	AB	B	Incorrect	1.238	66.0366	0.517	-1	-0.4018	0.4018	0.4018	12	6.7351	0.1155	0.1035
69.506	1.3678	AB	A	Correct	1.353	71.174	0.5171	1	0.5982	0.4018	0.3602	12	6.7351	0.1155	0.1035
72.5418	1.8682	EF	F	Incorrect	1.863	74.7102	0.5171	1	0.5982	0.4018	0.4482	56	6.7351	0.1155	0.1035
77.0621	1.668	EF	E	Correct	1.65	79.0304	0.5171	1	0.5518	0.4482	0.4709	56	6.7351	0.1155	0.1035
81.082	1.7514	BA	B	Incorrect	1.737	83.1337	0.5171	-1	-0.3602	0.3602	0.4709	12	6.7351	0.1155	0.1035
85.6023	1.2677	BA	A	Correct	1.263	87.1703	0.5171	1	0.5291	0.4709	0.3229	12	6.7351	0.1155	0.1035
89.1218	1.7348	DC	C	Correct	1.726	91.1568	0.5171	1	0.3912	0.6088	0.3602	34	6.7351	0.1155	0.1035
92.658	2.1351	EF	E	Correct	2.125	95.0933	0.5171	-1	-0.5119	0.5119	0.4709	56	6.7351	0.1155	0.1035
96.6946	1.3011	AB	A	Correct	1.293	98.2959	0.5171	1	0.468	0.532	0.3229	12	6.7351	0.1155	0.1035
101.7153	1.3678	DC	C	Correct	1.365	103.3833	0.5171	-1	-0.654	0.654	0.3602	34	6.7351	0.1155	0.1035
105.2348	1.5179	DC	D	Incorrect	1.515	107.053	0.517	1	0.6398	0.3602	0.5863	34	6.7351	0.1155	0.1035
108.771	2.0016	DC	D	Incorrect	1.989	111.0729	0.5171	-1	-0.4341	0.4341	0.5863	34	6.7351	0.1155	0.1035
113.2913	1.4345	EF	F	Incorrect	1.432	115.0261	0.517	-1	-0.4709	0.4709	0.4589	56	6.7351	0.1155	0.1035
