onset	duration	RT	Trial_type	Response	SSD
1.5558	0.5171	0	Go	omission	n/a
6.5599	0.5171	467	Stop	Failed_stop	200
11.0635	0.5171	443	Go	correct	n/a
15.5671	0.5171	415	Stop	Failed_stop	200
18.0858	0.5171	604	Stop	Failed_stop	150
26.576	0.5171	398	Go	correct	n/a
31.0796	0.5171	448	Go	correct	n/a
35.0829	0.5171	475	Stop	Failed_stop	100
38.102	0.5171	616	Stop	Failed_stop	50
43.0893	0.5171	439	Go	correct	n/a
46.1084	0.5171	0	Stop	succesful_stop	50
51.0958	0.5171	658	Go	correct	n/a
55.5994	0.5171	683	Go	correct	n/a
58.1181	0.5171	608	Go	correct	n/a
63.6059	0.5171	518	Go	correct	n/a
66.6083	0.5171	531	Go	correct	n/a
70.6115	0.5171	839	Go	correct	n/a
74.131	0.5171	723	Go	correct	n/a
79.1184	0.5171	500	Go	correct	n/a
83.622	0.5171	526	Go	correct	n/a
87.6252	0.5171	0	Stop	succesful_stop	50
91.6285	0.517	848	Go	correct	n/a
95.1313	0.5171	602	Go	correct	n/a
99.1345	0.5171	719	Go	correct	n/a
103.6381	0.5171	0	Stop	succesful_stop	50
106.1568	0.5171	735	Go	correct	n/a
111.1442	0.5171	0	Stop	succesful_stop	50
114.1633	0.5171	0	Stop	succesful_stop	50
119.1507	0.517	652	Go	correct	n/a
122.6535	0.5171	599	Go	correct	n/a
126.6567	0.5171	722	Go	correct	n/a
130.1762	0.5171	563	Go	correct	n/a
135.664	0.5171	615	Go	correct	n/a
139.1668	0.5171	752	Go	correct	n/a
142.6696	0.5171	650	Go	correct	n/a
146.6728	0.5171	541	Go	correct	n/a
150.1923	0.5171	0	Stop	succesful_stop	100
155.6801	0.5171	0	Stop	succesful_stop	150
159.1829	0.5171	692	Go	correct	n/a
162.6858	0.517	624	Stop	Failed_stop	200
166.689	0.5171	0	Stop	succesful_stop	250
171.693	0.5171	0	Stop	succesful_stop	300
175.1958	0.5171	0	Stop	succesful_stop	350
179.6995	0.5171	637	Stop	Failed_stop	400
183.2023	0.5171	0	Stop	succesful_stop	450
187.7059	0.5171	935	Go	correct	n/a
191.7092	0.517	669	Stop	Failed_stop	500
199.7156	0.5171	768	Go	correct	n/a
203.7188	0.5171	714	Stop	Failed_stop	550
206.7213	0.517	1031	Go	correct	n/a
211.2249	0.5171	890	Go	correct	n/a
214.244	0.5171	873	Go	correct	n/a
219.7317	0.5171	709	Go	correct	n/a
223.2346	0.5171	0	Stop	succesful_stop	600
231.7414	0.5171	809	Go	correct	n/a
239.7479	0.5171	718	Stop	Failed_stop	650
242.7503	0.5171	996	Go	correct	n/a
246.7535	0.5171	1392	Stop	Failed_stop	700
250.273	0.5171	1013	Go	correct	n/a
254.76	0.5171	982	Go	correct	n/a
259.2636	0.5171	902	Stop	Failed_stop	750
263.7673	0.517	876	Stop	Failed_stop	800
266.2859	0.5171	1447	Go	correct	n/a
275.2765	0.5171	924	Stop	Failed_stop	800
279.7802	0.517	945	Go	correct	n/a
283.283	0.5171	1188	Go	correct	n/a
286.3021	0.5171	1084	Go	correct	n/a
291.2894	0.5171	943	Stop	Failed_stop	750
295.2927	0.5171	1110	Go	correct	n/a
298.7955	0.5171	0	Stop	succesful_stop	700
302.7987	0.5171	1335	Go	correct	n/a
306.3182	0.5171	0	Stop	succesful_stop	650
310.8052	0.5171	1164	Go	correct	n/a
315.8092	0.5171	834	Go	correct	n/a
319.8124	0.5171	1044	Go	correct	n/a
326.8181	0.5171	596	Stop	Failed_stop	650
331.3217	0.5171	788	Go	correct	n/a
335.8253	0.5171	785	Go	correct	n/a
339.3282	0.5171	838	Go	correct	n/a
343.3314	0.5171	766	Stop	Failed_stop	600
346.8342	0.5171	0	Stop	succesful_stop	550
354.8407	0.5171	926	Go	correct	n/a
359.8447	0.5171	728	Go	correct	n/a
367.8512	0.5171	765	Go	correct	n/a
371.8544	0.5171	789	Go	correct	n/a
374.8568	0.5171	0	Stop	succesful_stop	500
379.3604	0.5171	1125	Go	correct	n/a
382.8633	0.5171	716	Go	correct	n/a
387.8673	0.5171	956	Stop	Failed_stop	500
391.3701	0.5171	1293	Go	correct	n/a
398.3925	0.517	631	Go	Incorrect	n/a
403.3798	0.5171	1679	Go	correct	n/a
406.3989	0.5171	843	Go	correct	n/a
410.8859	0.517	916	Go	correct	n/a
414.4054	0.517	844	Go	correct	n/a
419.3927	0.5171	932	Go	correct	n/a
423.3959	0.5171	949	Go	correct	n/a
426.4151	0.517	1117	Go	correct	n/a
431.9028	0.5171	1076	Go	correct	n/a
435.906	0.5171	1031	Go	correct	n/a
439.4089	0.517	0	Stop	succesful_stop	450
446.4312	0.5171	0	Stop	succesful_stop	450
454.4376	0.5171	752	Go	correct	n/a
459.9254	0.5171	1015	Go	correct	n/a
462.4441	0.5171	996	Go	correct	n/a
467.9319	0.517	0	Stop	succesful_stop	500
471.4347	0.5171	0	Stop	succesful_stop	550
475.9383	0.5171	0	Stop	succesful_stop	600
483.4444	0.517	0	Stop	succesful_stop	650
486.9472	0.5171	0	Go	omission	n/a
492.952	0.5171	1261	Go	correct	n/a
496.9553	0.517	1079	Go	correct	n/a
501.9593	0.5171	1193	Go	correct	n/a
504.478	0.5171	914	Go	correct	n/a
513.969	0.5171	895	Go	Incorrect	n/a
521.9754	0.5171	1068	Go	Incorrect	n/a
524.9778	0.5171	1089	Go	correct	n/a
528.9811	0.5171	828	Go	correct	n/a
532.9843	0.5171	947	Go	correct	n/a
537.4879	0.5171	913	Go	correct	n/a
541.4912	0.517	785	Go	correct	n/a
544.5103	0.517	895	Stop	Failed_stop	700
549.998	0.5171	807	Go	correct	n/a
553.0004	0.5171	1109	Go	correct	n/a
556.5199	0.5171	924	Go	correct	n/a
562.0077	0.5171	607	Stop	Failed_stop	750
565.5105	0.5171	0	Stop	succesful_stop	800
569.5137	0.5171	1145	Go	correct	n/a
573.517	0.5171	990	Stop	Failed_stop	850
576.5361	0.5171	1197	Go	correct	n/a
581.023	0.5171	1151	Go	correct	n/a
585.5267	0.517	0	Stop	succesful_stop	900
588.5458	0.517	1202	Stop	Failed_stop	950
592.549	0.5171	1193	Go	correct	n/a
597.0359	0.5171	971	Stop	Failed_stop	1000
600.5554	0.5171	1011	Stop	Failed_stop	1050
610.0464	0.5171	1122	Go	correct	n/a
614.0497	0.517	732	Go	correct	n/a
617.5525	0.5171	934	Go	correct	n/a
620.5716	0.5171	924	Go	correct	n/a
625.5589	0.5171	743	Go	correct	n/a
630.0626	0.517	770	Go	correct	n/a
633.5654	0.5171	1399	Go	Incorrect	n/a
637.0682	0.5171	1130	Go	correct	n/a
641.5718	0.5171	899	Stop	Failed_stop	1100
645.0747	0.517	1535	Go	correct	n/a
649.0779	0.5171	1058	Go	correct	n/a
653.0811	0.5171	1012	Go	correct	n/a
658.0852	0.517	1285	Stop	Failed_stop	1100
661.0876	0.5171	1467	Go	correct	n/a
