onset	duration	Pair	Choice	Response	RT	Feedback_Onset	Feedback_duration	Balance	RPE	Q_chosen	Q_notchosen	npair	Beta_Q	alpha_gain	alpha_loss
0.05	1.1509	BA	A	Correct	1.139	1.9515	0.5171	1	0.1607	0.8393	0.2895	12	6.7351	0.1155	0.1035
5.0707	0.8507	AB	A	Correct	0.836	6.672	0.5171	1	0.1421	0.8579	0.2895	12	6.7351	0.1155	0.1035
8.1065	1.4345	DC	C	Correct	1.42	9.8412	0.5171	1	0.2063	0.7937	0.3127	34	6.7351	0.1155	0.1035
13.1272	0.7506	BA	A	Correct	0.748	14.1781	0.517	1	0.1257	0.8743	0.2895	12	6.7351	0.1155	0.1035
16.163	1.0508	FE	E	Correct	1.033	17.5141	0.5171	-1	-0.7176	0.7176	0.3229	56	6.7351	0.1155	0.1035
21.6841	1.2844	CD	C	Correct	1.268	23.2687	0.5171	1	0.1825	0.8175	0.3127	34	6.7351	0.1155	0.1035
24.7032	1.4512	DC	C	Correct	1.437	26.4546	0.5171	1	0.1614	0.8386	0.3127	34	6.7351	0.1155	0.1035
28.2394	1.5512	CD	C	Correct	1.534	30.0909	0.5171	1	0.1428	0.8572	0.3127	34	6.7351	0.1155	0.1035
33.7605	1.201	BA	A	Correct	1.187	35.2617	0.5171	-1	-0.8888	0.8888	0.2895	12	6.7351	0.1155	0.1035
36.2959	0.884	FE	E	Correct	0.879	37.4802	0.5171	-1	-0.6433	0.6433	0.3229	56	6.7351	0.1155	0.1035
41.817	1.201	DC	C	Correct	1.197	43.3182	0.5171	-1	-0.8737	0.8737	0.3127	34	6.7351	0.1155	0.1035
44.3524	1.2176	BA	A	Correct	1.201	45.8703	0.5171	1	0.2032	0.7968	0.2895	12	6.7351	0.1155	0.1035
49.3731	1.4512	CD	C	Correct	1.439	51.1245	0.5171	-1	-0.7832	0.7832	0.3127	34	6.7351	0.1155	0.1035
53.8934	0.9007	FE	E	Correct	0.889	55.0944	0.5171	-1	-0.5767	0.5767	0.3229	56	6.7351	0.1155	0.1035
57.4129	1.4845	CD	C	Correct	1.471	59.1977	0.5171	-1	-0.7021	0.7021	0.3127	34	6.7351	0.1155	0.1035
61.4328	1.4512	DC	C	Correct	1.434	63.1842	0.5171	-1	-0.6294	0.6294	0.3127	34	6.7351	0.1155	0.1035
65.9531	1.251	CD	C	Correct	1.242	67.5044	0.5171	-1	-0.5643	0.5643	0.3127	34	6.7351	0.1155	0.1035
69.4726	0.8841	CD	C	Correct	0.874	70.6569	0.5171	-1	-0.5058	0.5058	0.3127	34	6.7351	0.1155	0.1035
73.9929	1.4679	BA	A	Correct	1.45	75.761	0.5171	1	0.1797	0.8203	0.2895	12	6.7351	0.1155	0.1035
77.5125	0.934	EF	E	Correct	0.92	78.7468	0.5171	-1	-0.517	0.517	0.3229	56	6.7351	0.1155	0.1035
80.5482	1.1843	DC	C	Correct	1.177	82.0328	0.517	1	0.5465	0.4535	0.3127	34	6.7351	0.1155	0.1035
85.569	1.251	CD	C	Correct	1.248	87.1202	0.5171	1	0.4834	0.5166	0.3127	34	6.7351	0.1155	0.1035
89.5889	0.8173	EF	E	Correct	0.802	90.7064	0.5171	-1	-0.4635	0.4635	0.3229	56	6.7351	0.1155	0.1035
93.1084	1.1509	BA	A	Correct	1.146	94.5595	0.5171	1	0.159	0.841	0.2895	12	6.7351	0.1155	0.1035
98.1291	1.301	CD	C	Correct	1.286	99.7304	0.5171	-1	-0.5724	0.5724	0.3127	34	6.7351	0.1155	0.1035
100.6645	1.351	AB	A	Correct	1.346	102.3158	0.5171	1	0.1406	0.8594	0.2895	12	6.7351	0.1155	0.1035
106.1856	0.9174	BA	A	Correct	0.906	107.4032	0.5171	1	0.1244	0.8756	0.2895	12	6.7351	0.1155	0.1035
